评论,时间,点赞数,标签
那个小的转接头是啥牌子？,2021-03-01 08:50:16,3,0
扩展器对于普通人来说可能有点贵，而且用的很少，我觉得买个三星T7的移动硬盘还是蛮有必要的，至于给电脑戴保护壳的我是真心没办法理解，人家拼了命做薄，然后你给它整厚整丑…,2021-02-17 14:15:29,3,0
up  转接头 是 什么品牌的？？？,2021-02-09 15:25:45,3,0
16寸macbook和m1 13寸macbook，到底买哪个啊，我已经对着屏幕纠结了69分钟了。。。。。。,2021-02-08 13:47:18,2,0
https://b23.tv/Nlyd1F好家伙 耳朵还在日本兼职[doge],2021-02-08 02:37:33,1,0
磁铁会对电脑有影响吧 风扇之类的,2021-02-07 18:05:34,4,0
大耳朵 yyds 速速更新[抠鼻],2021-02-07 15:18:04,1,0
别买那个绿包类似的软包，掉到地上电脑直接边角凹陷，包和电脑全部损坏，亲测有效[OK],2021-02-07 14:19:00,1,0
up up 我现在特别想学习 学习你的舌头与嘴唇 我真的实在不知道该怎么发那种 弹舌音 而且超级想做成鬼畜 可否授权一下[doge][doge],2021-02-07 12:25:54,1,0
81.8%太惨了吧哈哈哈哈哈哈哈哈哈哈,2021-02-07 04:34:23,1,0
太不专业了… 不是每秒10个GB，接口处写的10Gb/s，是bit，换算字节理论是是1.25GB/s,2021-02-07 02:30:18,4,0
大耳朵，转接头啥牌子鸭，我找了你好多视频木有看到ರ_ರ 心塞,2021-02-06 17:37:04,3,0
问一下up，第一个保护套如果MacBook还戴着硬壳，可以套进去吗[微笑][微笑][微笑],2021-02-06 14:44:30,1,0
某宝没有呀，inateck 收纳包,2021-02-06 14:15:19,1,0
好家伙都咋找到这些歌填词[嗑瓜子],2021-02-06 13:59:04,1,0
inateck 收纳包哪位找到国内有的链接,2021-02-06 13:01:32,1,0
收纳包，某宝我怎么搜不到,2021-02-06 12:58:46,1,0
首先，你得有马克布克[doge],2021-02-06 12:54:44,1,0
收纳包，淘宝京东都找不到,2021-02-06 12:49:04,1,0
"mac不想其他本 不耐燥 ,稍微一碰就一个口,所以保护套必须的整",2021-12-11 06:39:11,0,0
up主已经把16寸卖了，你想想吧,2021-02-17 16:07:09,0,0
卧槽真的像,2021-02-11 05:08:45,0,0
mba没风扇的话那就没事了[doge],2021-02-07 18:06:53,0,0
感谢指正,2021-02-07 03:30:40,1,0
某宝没有呀，inateck 收纳包,2021-02-06 14:15:42,5,0
某宝搜skinpro就能找到,2021-02-06 12:15:21,4,0
TB有款类似的 PeakDesign Tech Pouch2,2021-02-06 16:41:07,3,0
某宝没有呀，inateck 收纳包,2021-02-06 14:15:42,5,0
某宝搜skinpro就能找到,2021-02-06 12:15:21,4,0
TB有款类似的 PeakDesign Tech Pouch2,2021-02-06 16:41:07,3,0
