评论,时间,点赞数,标签
阿咧咧，真有理的怀表又停了，明明才刚上过发条[脱单doge],2023-02-02 04:00:12,12,0
up感觉可以把这视频发到油管，欧美那边石头门貌似也很火，说不定还能拉到投资[脱单doge],2023-02-16 12:21:50,5,0
比起辉光管，我更对你手搓的车床感兴趣[笑哭],2023-02-02 09:34:09,11,0
"进来之前：大概是买了成品辉光管，自己用单片机控制吧
进来之后：啥？[囧]",2023-02-02 10:24:27,10,0
EL PSY CONGROO,2023-02-02 05:01:53,5,0
我能看到这个视频，也是命运石之门的选择吗[打call][点赞],2023-02-27 16:34:38,2,0
在热门看见命运石之门，世界线又变动了？[哦呼][哦呼][哦呼],2023-02-02 04:57:18,10,0
"@阿万音s 
打工战士记一次迟到[脱单doge]",2023-02-02 06:32:31,8,0
除了贵，别的都还好[辣眼睛],2023-02-19 11:06:48,2,0
这个价位我还是会选择进口的库存大厂辉光管 这不冲汞就是大号的QS30,2023-02-01 13:45:39,38,0
El Psy Congroo,2023-02-01 09:36:24,7,0
EL PSY CONGROO,2023-02-02 10:20:56,5,0
想起了胡子男的歌曲《Pretender》的封面,2023-02-07 15:22:18,3,0
所以说你tm是怎么失业的[惊讶][惊讶][惊讶][惊讶],2023-02-01 22:44:45,7,0
祝贺，练习了一坤年终于成功了[doge],2023-02-02 15:21:23,23,0
牛蛙，辉光管用一颗少一颗，还非常小众，终于有大佬做这东西了，一来比较新，更耐用，二来可以冲击市场价格，三来开发不同规格，使用场景也不那么单一了，比淘宝那些假液晶好太多[支持][支持][支持],2023-02-02 01:28:24,10,0
管子真漂亮！单管一根500，其实圆顶辉光管的话价格还可以，in18也差不多这个价，像5440这种就更贵了，不过没充汞蒸气对寿命有影响吧，不知道最后寿命如何(｀・ω・´) 最后祝up越做越好吧,2023-02-02 08:01:48,9,0
价格确实支付不起，但是希望up主生意越来越好[笑哭],2023-02-01 14:55:35,11,0
"充电支持！
大佬们快去订购，
up量产  把价格压下去。[滑稽]",2023-02-01 14:26:37,7,0
看了眼淘宝，和in18一个价，800一根，说实话能买得起的也早买in18了，如果跟in14一个价就无脑入了，希望老哥能把辉光管价格打下来。,2023-02-02 10:14:10,5,0
又开始死亡吟唱了,2023-02-02 04:08:10,0,0
车床结构看着比较简单些，直线模组加几个步进或者伺服马达，会写PLC就能整出个初步方案,2023-02-04 16:40:32,0,0
有汞蒸汽，视频没放出来不代表没有哦,2023-02-01 14:08:47,12,0
回复 @机智的Sadudu :没放出来，自然就认为没有！ 毕竟我没有在旁边看，只能以发出来的视频来说 。,2023-02-03 01:37:46,9,0
回复 @零糖葡萄 : 里面是充了汞的，老化测试里就有几个发出了少量绿色的光。,2023-02-07 13:51:03,1,0
看up第二个视频,2023-02-02 01:44:09,0,0
毕业即失业,2023-02-01 23:57:17,0,0
你别相信那些说什么绝版绝版，既然是人做出来的，只要利益足够，就不可能绝版,2023-02-04 03:30:35,3,0
回复 @千山独秀 : 苏产确实绝版，因为苏已经没了[滑稽],2023-02-04 14:55:07,4,0
