评论,时间,点赞数,标签
[提摩西小队第二弹_BGM],2023-03-15 13:50:46,0,0
可以可以，一个人干了波士顿动力的活,2023-03-15 13:48:07,0,0
人家的毕设[喜欢]，我的毕设[笑哭],2023-03-15 11:54:20,1,0
本来看到名字，想进来评论一句，叼毛，你跟我重名。然后看了一下视频内容，不好意思，大佬，很荣幸跟你一个名字[傲娇],2023-03-15 05:00:22,0,0
换我踹一脚，就别想起来,2023-03-15 04:25:14,1,0
有点可爱（？,2023-03-14 22:41:36,0,0
上大里面的？,2023-03-14 16:19:20,0,0
最近正在看大佬的论文哈哈哈，这就刷到大佬了[打call][打call][打call],2023-03-14 13:02:35,1,0
大佬有考虑过开源吗？我也想学习学习。,2023-03-14 12:38:08,0,0
好奇xdog和x战警什么关系[doge][doge],2023-03-14 11:17:53,0,0
大佬，现在关注我就是老粉了，向大佬学习！,2023-03-14 08:16:08,0,0
[打call][打call],2023-03-11 13:40:28,0,0
大佬牛,2023-03-11 13:40:28,0,0
波士顿公司的机械狗也长这样。当然还是很厉害的,2023-03-11 13:39:06,1,0
校友？,2023-03-11 13:35:57,1,0
男生减速带[星星眼][星星眼][星星眼],2023-03-11 03:51:00,2,0
首页推送了2020年视频，感觉穿越了。好吧，我从未来2023年坐时空隧道过来的,2023-03-11 03:25:49,1,0
大佬校友！我是电影学院的[星星眼],2023-03-11 01:34:37,0,0
"王师兄[打call][打call][打call]
prototype就十分震撼了",2023-03-11 01:12:58,0,0
已经很牛逼了,2023-03-11 01:07:42,0,0
