评论,时间,点赞数,标签
可以,2023-02-25 09:18:43,1,0
就图一乐的东西，本质还是最后面的转一圈一分钟。毫无新奇的东西,2023-02-28 11:33:37,1,0
[滑稽]建议下面再放一个感应开关和报时电路，下面钢珠通过一定次数就可以整点报时。,2023-03-10 12:39:34,1,0
[doge]没用的东西增加了（不是）,2023-02-24 11:44:48,8,0
我想起以前玩具，叫什么云霄飞车,2023-02-28 19:19:50,1,0
为啥我注册不了,2023-02-25 10:50:53,1,0
[脱单doge]过几天UP做了个计数器，根据钢珠的数量和位置把时间换算过来以后通过LED显示出来,2023-03-03 15:23:40,1,0
耶比耶比[星星眼],2023-02-24 23:56:20,1,0
不对呀，我记得我关注过@黑人黑科技的，等等，好像在列表最下面找到TA了[脱单doge],2023-02-24 13:08:07,4,0
帅啊妈的,2023-02-25 02:44:42,1,0
先把三地打印机的地址发出来吧！,2023-03-08 04:58:08,0,0
虽然有种脱裤子放屁的感觉，但是很好玩[doge],2023-02-26 02:23:06,1,0
吖，c++？,2023-02-28 01:11:57,1,0
有没有DIY的材料？,2023-02-25 01:09:54,0,0
地址打不开,2023-02-25 03:24:29,0,0
脱裤子放屁。还以为纯机械,2023-02-28 03:20:59,1,0
这个在北京科技馆有差不多的,2023-02-25 02:41:15,0,0
用的什么牌子型号的3D打印机,2023-02-24 16:49:29,0,0
这个需不需要一直换钢珠[doge],2023-02-25 00:16:26,1,0
[辣眼睛]要是无声就好了,2023-02-25 01:20:26,0,0
好好好,2023-02-28 13:00:24,0,0
[笑哭],2023-02-25 00:24:07,0,0
正好我想把我这台出了,2023-03-08 05:12:03,0,0
回复 @黑人黑科技 :所有，一套，动手扭扭调调就能玩到成品那种拼装,2023-02-25 04:57:11,0,0
啥？零件嘛？,2023-02-25 03:45:39,0,0
可以晚上再试试，或者科学上网,2023-02-25 03:50:03,0,0
嗯，这种时钟很早就有了，有的贼复杂,2023-02-25 03:49:03,0,0
这个是云图创智响尾蛇,2023-02-25 00:25:09,0,0
回复 @黑人黑科技 :知道了,2023-02-25 09:20:37,0,0
钢珠会一直循环的，除非你把珠子弄掉地上，那就找不着了,2023-02-25 00:23:14,0,0
那就没那味儿了，就得哗啦哗啦的[滑稽],2023-02-25 03:46:03,1,0
下pdf要账号，能不能发个组装的说明书[笑哭],2023-02-25 07:06:06,9,0
回复 @炎发灼眼の夏娜の : 看页面的图片就行，PDF里也是这点东西，一样的,2023-02-25 07:14:36,18,0
我缺的是项目原地址吗。我缺的是3D打印机,2023-03-13 10:53:30,0,0
下pdf要账号，能不能发个组装的说明书[笑哭],2023-02-25 07:06:06,9,0
回复 @炎发灼眼の夏娜の : 看页面的图片就行，PDF里也是这点东西，一样的,2023-02-25 07:14:36,18,0
我缺的是项目原地址吗。我缺的是3D打印机,2023-03-13 10:53:30,0,0
