评论,时间,点赞数,标签
你他娘的真是个人才[doge],2023-01-21 17:07:09,6,0
"我也想过用这种方式玩gta，再做两个踏板按键，一个控制W一个控制S，还能再弄一个手刹控制空格
另一种想法是用手柄，踏板用杠杆调整到螚控制油门深浅，转向也可以控制手柄摇杆",2023-01-21 15:45:15,13,0
有的东西该花钱还是得花[doge]这玩意一激动不就直接散架了,2023-01-21 15:04:13,16,0
请务必出教程，谢谢[吃瓜],2023-01-21 14:57:07,6,0
贫民玩家福音，顶！,2023-01-21 10:06:40,6,0
卧槽，up天才啊[嗑瓜子],2023-01-22 04:42:51,13,0
有没有一中可能，用乐高来一套零件花的钱堪比方向盘[笑哭],2023-01-21 09:35:02,7,0
你用这个开一把看看啊，别光展示[妙啊],2023-01-22 07:18:30,12,0
学到了设备哪里领[抠鼻][抠鼻][抠鼻],2023-01-22 05:13:45,11,0
乐高真是无所不能啊,2023-01-21 22:20:36,5,0
[笑哭]确实可以申请专利了，整一个吧,2023-01-21 16:07:39,14,0
你的油门怎么办，单手开方向盘吗,2023-01-21 09:01:18,5,0
极妙[歪嘴],2023-01-20 10:34:11,5,0
刚开始我还以为是用乐高做了个盘子呢，但我一想，怎么这么小了，原来这鼠标，牛逼,2023-01-21 14:20:32,11,0
反馈有丶慢啊，延迟再低点,2023-01-22 06:58:58,4,0
我看了看我手上的103 说：“别看了 没那条件 知道塞拉斯不 当年就是被困在这里了 别羡慕这103了昂 大不了我现在给你抠抠四号键里面的泥呗”,2023-01-22 06:01:17,4,0
军具精巧，方保无虞,2023-01-22 04:28:53,11,0
沃日，老哥三连了求个教程,2023-01-21 18:07:50,4,0
游戏靠鼠标转向啊[吃瓜]，可以加点齿轮不然感觉转起来有点飘[doge],2023-01-21 14:48:02,4,0
b友的创造力我是肯定的[doge],2023-01-21 13:49:36,11,0
这只是个原型，投了之后肯定会改进的嘛，感觉缺点就是没有力反馈,2023-01-21 15:20:11,1,0
回复 @与死者同行 :不会，这个没什么机械结构，其实就中间一个套筒，留点余量不可能卡的,2023-01-21 14:51:16,1,0
这玩意也不是乐高啊,2023-01-21 09:58:24,1,0
视频中就那几个零件 没那么贵,2023-01-21 09:38:31,1,0
回复 @Blue_Beaker :雷蛇光轴可以模拟开度[吃瓜],2023-01-21 13:31:18,1,0
做个踏板，连杆连到键盘按键上[doge],2023-01-21 13:10:31,1,0
鼠标左右键还有侧键[doge],2023-01-21 11:22:55,0,0
这反馈已经很快了吧，就是纯罗技的2.4g延迟，除了有线没有比这延迟更低的了吧,2023-01-22 07:18:53,0,0
另辟蹊径博君乐，盛世美景百戏中awa,2023-01-22 04:48:36,1,0
回复 @柿子小仙丨年更咕咕 :杀友,2023-01-22 07:12:42,0,0
《一种基于积木搭建用于鼠标转向作用的赛车游戏方向盘制作方法》,2023-02-12 11:59:35,1,0
回复 @吉尔-德-雷-Santa :你是懂实用新型的[doge],2023-02-15 04:53:26,0,0
合金大佬也来开始整活了啊[脱单doge],2023-01-22 14:18:16,0,0
《一种基于积木搭建用于鼠标转向作用的赛车游戏方向盘制作方法》,2023-02-12 11:59:35,1,0
回复 @吉尔-德-雷-Santa :你是懂实用新型的[doge],2023-02-15 04:53:26,0,0
合金大佬也来开始整活了啊[脱单doge],2023-01-22 14:18:16,0,0
