评论,时间,点赞数,标签
so 大概需要会什么软件，,2023-02-25 05:36:48,0,0
少见多怪的老外[doge],2023-02-17 12:55:23,2,0
大哥，抽个奖吧。。这个一套抽给我。。。[脱单doge],2023-02-23 04:05:29,0,0
"大哥能传授一下风扇怎么调速吗？
和你同款rgb集成
我的机箱6个风扇太吵了，bios转速调最低也吵
有一个英文界面的软件弄不明白，好像也不行
换风扇又怕同样吵  现在用的是 光影2
花点钱买也没关系",2023-02-19 07:47:26,4,0
老哥老哥出个教程，我刚好想要个手提机箱(方便带[点赞],2023-02-22 10:27:19,0,0
年更up是吧,2023-02-21 15:37:11,0,0
@吃饭团的佳乐同学 你的洗洁精机箱,2023-02-20 15:27:45,1,0
我有点想笑，虽然是别人的设计图，但是是作者自己做出来的,2023-02-22 09:34:40,0,0
扣个6,2023-02-21 10:34:12,1,0
这个无极调速接哪的,2023-02-21 05:44:48,0,0
这是ltt哪集啊，有无传送门,2023-02-20 23:42:23,0,0
难道不是说的卡式炉的旋钮吗？,2023-02-21 00:38:14,0,0
能不能帮我整一个 我只要matx 用集显就行,2023-02-19 09:17:43,1,0
话说是怎么把配件装进去的 吧下面开了吗,2023-02-18 15:38:19,1,0
我感觉 那个 野炊灶 不错  把那个调节火的旋钮改成rgb风扇灯光,2023-02-20 19:15:50,1,0
要是有全透明的桶就好了,2023-02-18 06:08:13,1,0
太6了，还可以玩3a[星星眼],2023-02-17 06:40:44,4,0
他们不逛贴吧的吗[doge],2023-02-20 16:41:45,1,0
那为啥不试试，按一下泵嘴，换一个颜色呢[脱单doge],2023-02-21 03:10:00,0,0
给我看呆了,2023-02-19 03:33:01,1,0
会单片机，支架模型已经有了，拿去钣金店加工就行,2023-02-25 06:20:47,0,0
回复 @伟大的Lord :[doge],2023-02-23 09:32:28,0,0
回复 @KDA帅 :要不直接寄[星星眼],2023-02-23 09:21:20,0,0
抽奖要电磁力7级，现在up才3级，所以你懂的,2023-02-23 04:26:14,0,0
应该是bios没调对,2023-02-19 09:00:39,1,0
回复 @Best_Loser :参考百度 应该可以自己去bios调的,2023-02-20 16:05:58,0,0
回复 @KDA帅 :好的👌谢谢 ，看来我还是拔掉一部分风扇的电源吧[笑哭],2023-02-20 08:07:07,0,0
回复 @KDA帅 :呜呜呜[大哭],2023-02-22 14:08:39,0,0
没有专业设备不好拍摄,2023-02-22 10:37:53,0,0
被发现了,2023-02-21 15:50:56,0,0
额  其实设计图也是我做的[doge],2023-02-22 09:54:54,1,0
用的单片机,2023-02-21 06:20:47,0,0
回复 @KDA帅 :谢谢up喵,2023-02-21 02:10:02,0,0
【【官方双语】新春中国特辑！科技UP吐槽中国观众装机！#linus谈科技-哔哩哔哩】 https://b23.tv/eGVD4gJ,2023-02-21 00:24:52,0,0
是，但是卡式炉高度太矮，没空间放显卡，所以选了洗洁精,2023-02-21 00:40:58,0,0
只能支持itx,2023-02-19 15:50:00,0,0
两个前风扇位是通的,2023-02-18 21:40:14,0,0
全透明就看见乱七八糟的线了，就这样的挺好,2023-02-18 06:22:41,2,0
回复 @坐我腿上1 :10L,2023-03-05 21:46:03,0,0
回复 @KDA帅 :请问这罐子要买多少升的才能都装下,2023-03-05 18:39:19,0,0
有考虑过 找到rgb不同模式的代码就可以加,2023-02-21 03:14:10,2,0
回复 @KDA帅 :我也想试试了,2023-02-22 02:01:11,0,0
《技术水平不够》,2023-02-22 03:37:29,37,0
图拉丁吧是吧,2023-02-25 16:12:54,9,0
回复 @千次万次中一次 :反正这技术力肯定不是胡图图吧,2023-02-28 05:28:16,2,0
《技术水平不够》,2023-02-22 03:37:29,37,0
图拉丁吧是吧,2023-02-25 16:12:54,9,0
回复 @千次万次中一次 :反正这技术力肯定不是胡图图吧,2023-02-28 05:28:16,2,0
