评论,时间,点赞数,标签
02:45 王冠加冕[鼓掌][鼓掌][鼓掌],2023-03-04 11:37:42,180,0
卖给主播，有小礼物就撞一下。劳斯莱斯中档五分钟。嘉年华高速档十分钟。,2023-03-04 15:08:05,33,0
建议改成声控：听到一千次我错了再停止,2023-03-04 15:16:54,33,0
有没有那种用在腰部的忏悔版本[妙啊],2023-03-05 13:27:57,22,0
老哥，能不能做一个自动扇耳光机[嗑瓜子],2023-03-13 07:59:16,2,0
有一说一耿哥哭的比某些演员太子像多了[吃瓜],2023-03-04 13:03:07,108,0
"建议广大高校购买，放在考场后面[脱单doge]
上面放个微信收款码，付钱就能使用[吃瓜]
我相信四六级以后一定盈利颇丰[歪嘴]",2023-03-04 10:55:42,158,0
能不能给机器做成人的外观，我已经想到了一个不错的脸模了,2023-03-04 13:04:13,136,0
耿哥给它也整一个,2023-03-08 13:43:42,2,0
@桥上一只鹿 @文火慢炖GLC @YFsang @秋野宁,2023-03-14 17:50:44,4,0
不错的发明，能调到腰部的位置就完美了[星星眼][星星眼][星星眼],2023-03-05 11:20:00,19,0
我要定制一架可以躺着忏悔的[doge],2023-03-06 05:34:21,11,0
带上这个帽子之后，人世间的情欲你不能再沾半点（直接撞成植物人）[tv_晕][灵魂出窍][tv_鬼脸],2023-03-04 23:57:31,13,0
有没有腰部撞墙套件，没别的意思，我有个想锻炼身体[滑稽],2023-03-05 15:40:58,8,0
4年了4年了，大人他竟然还没招吗？,2023-03-05 14:09:58,9,0
耿哥，我有一个想法，你这个忏悔器可不可以不带头上？绑腰上可以吗？[崩坏3·光辉矢愿_让我摸摸][Hiiro二周年_击剑][Hiiro二周年_流口水],2023-03-06 01:10:51,8,0
我想帮公知们订一批订单。简配版就行，不要头盔的那种。海外版名字我都想好了就叫“反思机”。,2023-03-04 22:02:28,148,0
我有一个大胆的想法 比如安装到腰间,2023-03-06 08:41:26,7,0
悔恨的时候也可以自扇逼兜，再做个极速螺旋扇逼兜神器吧，为悔恨增加更多选择[脱单doge],2023-03-05 14:55:50,12,0
当你想起那段真挚的感情没有珍惜时，把这个放在腰间会怎么样[doge],2023-03-06 04:38:12,9,0
欲戴王冠必承其重[doge],2023-03-04 12:25:16,11,0
孩子，当你出生的时候，整个洛丹伦的森林轻声唤出了你的名字[雪花][雪花][雪花][雪花],2023-03-04 12:56:44,10,0
回复 @看丶有亮光 : 二傻子[脱单doge],2023-03-06 02:54:45,0,0
你是懂点播的,2023-03-04 16:50:33,3,0
撒旦背后纹你,2023-03-05 11:41:00,2,0
你小子是无孔不入。,2023-03-05 13:29:41,2,0
你最好是用来忏悔的[响指],2023-03-05 13:32:37,1,0
自从用上这个隔壁邻居都夸我好猛[doge][doge][doge],2023-03-04 14:10:38,5,0
你用你也哭,2023-03-05 03:20:09,6,0
什么叫像多了，耿哥笑都比某些演员哭的更像哭[脱单doge],2023-03-08 04:31:55,1,0
高中生考清华秘密武器！！！,2023-03-04 11:17:12,2,0
成人的外观？你想干嘛？,2023-03-04 16:47:53,3,0
出现了，合理哥！,2023-03-04 17:54:47,0,0
回复 @猪脚粉加板板 : 啥？做 成人？,2023-03-05 00:25:44,0,0
[辣眼睛],2023-03-05 11:26:04,2,0
[辣眼睛],2023-03-06 04:41:23,2,0
跪着忏悔[脱单doge],2023-03-06 05:40:25,1,0
卧龙凤雏[doge],2023-03-06 12:19:51,1,0
你最好真的没别的意思[doge],2023-03-05 15:42:30,0,0
什么打桩机[妙啊],2023-03-06 01:16:17,1,0
头盔还是要吧，后脑勺的钉子加长一点就行。,2023-03-04 22:10:17,12,0
回复 @聋子瞎子哑巴簧 :谢谢你活阎王[妙啊],2023-03-05 02:22:51,2,0
我感觉你该给反思家来一套，让他们物理好好反思一下，反思家太多了[妙啊],2023-03-05 07:50:43,0,0
我也有个大胆的想法，这就给老婆买一台,2023-03-06 08:43:33,1,0
小心弄不好撞折咯,2023-03-06 08:49:42,2,0
回复 @卑鄙的乐乐 :不是可以调速度么？233,2023-03-06 09:07:18,0,0
