评论,时间,点赞数,标签
当年嫦娥就是带着这个兔子去月宫的吧，不然天宫哪有那么多云雾缭绕的[吃瓜],2023-01-17 10:24:59,75,0
我也做了一个兔子加湿器，你们看看,2023-01-17 10:06:41,1548,0
"根据卫星云图观测 , 保定地区农村周边地区忽然出现大范围雾气升腾 , 疑似化学燃料泄露 . 根据气象气球采集回的样本 , 发现该雾气主要成分为H2O . 这到底是怎么一回事 ? 请观看本期的<<走近科学>> . [脱单doge]",2023-01-17 12:48:46,69,0
我们这里买一个可以骑着玩，还可以拍照，我肯定去[脸红] 因为谁能拒绝有腮红的兔兔捏[脸红],2023-01-17 14:38:23,438,0
他居然还做了五辆，工程量巨大！甚至感觉甲方爸爸赢麻了！,2023-01-17 10:26:37,68,0
第一次带儿子看耿哥的视频，不到二十秒，儿子发出了灵魂感叹:想要一个这样的爸爸[微笑],2023-01-17 11:17:30,256,0
耿哥现在造的东西越来越实用了，已经有人开始担心后期维修了。我想说最开始不应该是刑具吗？[doge],2023-01-17 10:53:30,62,0
本以为造了个小兔，没想到，捅了老挝[doge]结尾一堆兔子笑死我了,2023-01-17 10:30:21,62,0
装点LED，半夜吓人[doge],2023-01-17 11:43:48,188,0
这游乐园不得来一套？直接把后面加湿器改成泡泡机，对于我们二十多岁的小朋友刚刚好。[脱单doge][脱单doge][脱单doge],2023-01-17 13:00:55,58,0
说实话，直到视频兔子做完我都毫无感觉，直到他说还有四只兔子[点赞],2023-01-17 11:58:26,186,0
"Rabbit！！Tank！！
Super Best Match！！！！[热词系列_知识增加][热词系列_知识增加][热词系列_妙啊]",2023-01-17 13:16:27,57,0
你可以质疑手工耿的实用性，但是不能质疑他的用料,2023-01-17 12:11:02,174,0
11:56 这兔子放的挺响[doge],2023-01-17 10:02:16,71,0
耿老师真是个实在人，说焊一个兔子他是真焊呀[捂脸][捂脸],2023-01-17 10:21:58,677,0
这兔子满腹痉挛，吃多了吧，排量那么大，甚至还有声浪哈哈哈哈[doge][doge][doge][doge][doge],2023-01-17 14:37:13,56,0
往屁股里塞一点麦丽素，这样开起来更像兔子了[滑稽],2023-01-18 07:09:14,182,0
南方冬天最离谱的皮肤干，但是感觉被子和空气潮[笑哭],2023-01-17 10:05:41,90,0
晚清末年扬雾运动代表人物：耿工手[吃瓜],2023-01-17 12:15:17,151,0
不好了，有想买的冲动。。。,2023-01-17 10:45:07,52,0
[偷笑],2023-01-17 10:29:58,0,0
口水兔,2023-01-17 10:44:02,15,0
开始加湿：呸呸呸呸呸  呸呸呸呸呸[热词系列_优雅],2023-01-17 10:44:58,51,0
"回复 @打鱼小舟 :有没有可能是
开始加湿：咳咳咳，咳咳咳咳咳咳，咳咳咳咳咳咳咳，咳咳咳[滑稽][OK]",2023-01-18 02:46:54,2,0
究竟是人性的扭曲，还是道德的沦丧,2023-01-17 12:54:42,3,0
凡是接触过一氧化二氢的水生霸主，如奇虾邓氏鱼喜鱼巨齿鲨梅鲸…都灭绝了[doge],2023-01-17 13:00:39,4,0
你该说谁能拒绝一个坐骑呢？,2023-01-18 09:04:34,7,0
电动车为什么不能做成这样,2023-01-19 06:23:05,5,0
回复 @璀璨星河伴我独行 :不让上路,2023-02-01 04:14:31,1,0
甲方给得太多了，只做一辆耿哥都不好意思,2023-01-31 20:52:26,4,0
哈哈我也这么想,2023-01-19 02:31:06,5,0
我爸就是啥都会做木工电焊都会但是我爸很懒让他给我做东西鸽我大半年[热词系列_咕咕],2023-01-19 18:07:40,9,0
关键现在是“有用良品”了[doge],2023-01-17 10:57:45,2,0
损还是你比较损[笑哭],2023-01-17 12:39:28,3,0
回复 @蓝星居民825 :到时候云雾缭绕的，还时不时亮灯[doge]，兔子眼也冒光[doge],2023-01-17 15:31:16,12,0
咋这么坏[喜极而泣],2023-01-18 00:09:23,4,0
不要质疑网易的钱,2023-01-18 05:52:30,3,0
Are you ready[doge],2023-01-18 05:32:10,2,0
没有危险扳机不是很认可,2023-01-18 06:21:21,1,0
回复 @盗乔 :危险扳机不在耳朵上呢吗  没看都喷火了吗[脱单doge],2023-01-18 10:45:12,0,0
不是说要喷水蒸汽才行吗？有人说空气中细菌溶解到水里肺水肿,2023-01-17 12:17:06,3,0
回复 @EmptyDoggy :别理那些沙兰籽,2023-01-17 12:51:59,1,0
回复 @EmptyDoggy :风湿病还靠谱点[偷笑],2023-01-17 12:53:07,3,0
谢谢你，截哥[脱单doge],2023-01-17 10:04:56,6,0
我看到他把外面那层铁皮一个个对比，手工敲出来再焊上去的时候就觉得这工程量不是一般的大，这还造了五只woc，真的牛批,2023-01-17 10:34:08,99,0
《焊捂帝金口玉言》,2023-01-17 10:42:46,15,0
回复 @顾家安笙 :有他弟弟和老爸帮忙，好很多，那也算大工程。,2023-01-17 12:10:23,9,0
哈哈哈哈哈,2023-01-18 08:39:23,1,0
你是懂兔子的。,2023-01-19 13:23:16,5,0
哈哈哈哈哈哈好笋！,2023-02-13 10:35:56,0,0
最潮的还得是棉拖鞋,2023-01-17 10:09:50,4,0
皮肤干还掉那种壳，真真是烦人[笑哭],2023-01-17 10:10:30,2,0
id属实离谱[吃瓜],2023-01-17 10:10:13,0,0
[笑哭],2023-01-17 12:18:38,2,0
你骚跟你混,2023-01-17 12:47:02,2,0
[doge]耿工手 ： 物人表代动运雾扬清晚,2023-01-18 12:53:59,2,0
好可爱啊，疯狂心动，耿哥太厉害了,2023-01-20 16:19:31,1,0
