评论,时间,点赞数,标签
给他投币，不要让他进厂上班，不然就浪费了这么一个羽毛球的好苗子[doge],2023-02-24 03:10:22,3,0
跪了跪了跪了,2023-02-23 02:38:52,11,0
36cmPROPLUSMAX级CPU,2023-02-23 09:47:20,15,0
末世来临时，你就是人类科技复兴的唯一希望[脱单doge],2023-02-21 17:37:37,55,0
已经不是一般的牛了，需要凑齐各种技能和知识才能实现，而且还得有超强的耐心和意志，牛人中的牛人了属于是。,2023-02-21 17:18:21,56,0
"听说,电路规模大到一定程度的时候会经常出现一些不可排除的干扰和一些难以修复的bug,[doge]",2023-02-22 05:00:02,15,0
我记得以前网上好像有个叫“龙少”的人自制过一个类似的cpu，能够播放视频，他好像是技校毕业，后来就捣鼓无人机和模块化大屏了，这个人你认识吗？,2023-02-23 08:49:00,3,0
赶紧加入华为，助力制造中国芯，不要老让外国人欺负。,2023-02-23 01:22:52,3,0
最先进的14m+++工艺[藏狐],2023-02-22 05:46:01,8,0
离大厂又近了一步，你什么就不缺，就缺钱了。,2023-02-23 06:05:06,3,0
您好，这颗cpu可以搭载在我的晨光笔记本上吗，或我省顿早饭换个得力笔记本也行。[脸红],2023-02-22 11:19:14,11,0
我有一堆沙子，咱能不能合作下[滑稽],2023-02-22 04:30:03,7,0
本文科生有个想法，能不能造一个不需要电的机械CPU，大不了CPU比摩天大厦还大。,2023-02-23 09:22:47,4,0
什么计组大作业[hanser_流啤],2023-02-22 03:37:32,6,0
全芯制作人大家好，这是用时2年半制作的第一款初芯太美[doge][doge][doge],2023-02-23 04:51:33,5,0
把up绑在流水线上，这光刻机不就出来了[doge],2023-02-22 00:10:30,14,0
我在想他要是接错一根线 要怎么排查出来[惊讶],2023-02-22 04:51:58,11,0
大神麻烦告诉一下，这是几纳米的CPU啊？[doge],2023-02-22 03:21:35,7,0
北京开源芯片研究院欢迎你[脱单doge],2023-02-23 04:03:44,4,0
cm级工艺，点赞[脱单doge][脱单doge],2023-02-22 03:13:43,6,0
李老师[脱单doge]逮到！,2023-02-23 08:17:50,0,0
ultra,2023-02-27 04:23:02,0,0
[2023][兔年],2023-02-23 12:47:32,0,0
回复 @阿瑞今天飙车了没 :末世工业崩盘，供应链击垮，土匪满街跑，人吃饱饭都是难事，废土上找到一盒三极管都是稀罕事情，科技复兴的开头还真得看这种用基础元件手搓CPU的软硬兼修人才,2023-02-22 05:20:10,5,0
几块强磁铁确实难找，但十米导线很难找是吧？稳压电路里的器件很难找齐是吧？我们电工实习都手搓过稳压电路，接上都能手摇开发，工业停滞是指生产不出新的元器件，无法大量供应原件，一个两个管子你扒拉三四天还能找到，但是手搓CPU需要上万个二极管三极管，加上其他的器件，你扒拉几年都不一定搞得齐,2023-02-22 06:17:38,3,0
虽然很棒，但是不至于,2023-02-22 02:34:31,2,0
回复 @Dawn丶_晨曦 :我是说板板半导体，线材，,2023-02-27 21:45:31,0,0
回复 @kyanu :这跟单片机没关系，纯晶体管的(应该是)冯诺依曼架构计算机,2023-02-27 14:20:14,0,0
拼多多一大把，买回来自己装，一套一套的单片机零件，,2023-02-24 04:50:32,0,0
最明显就是串扰，高频电路电流变化产生电磁场，其他线路也会感应出电流，特别是像这种直接飞线的，高频信号下跟直接用线圈没有区别。别说现在都是ghz了，khz估计都够呛。,2023-02-22 18:57:59,7,0
最明显的问题就是因为物理延迟，频率提不上去,2023-02-22 14:38:11,4,0
因为不可能存在绝对稳定的工作场景吧，灰尘金属腐蚀过热过冷水气潮湿什么的问题,2023-02-22 18:14:32,1,0
回复 @翡冷翠的小羊 :不是 https://www.bilibili.com/video/BV1uU4y1E7t3,2023-02-28 04:27:41,1,0
回复 @珞林ltyxh :感谢指路[呲牙],2023-02-28 04:50:27,0,0
回复 @珞林ltyxh :跟这位up是同一个人吧,2023-02-28 02:12:44,0,0
up的毅力非常值得敬佩，当作整活儿的话也整得很棒。但是现代半导体产业和这个完全不是一码事，觉得搞这种东西有助于国内半导体产业实现突破，只能说是奇观误国了,2023-03-03 15:27:30,1,0
[笑哭],2023-03-02 20:54:16,0,0
其实没那么神，一些大学相关专业的本科水平[tv_笑哭],2023-02-28 00:52:40,0,0
不至于，14mm[笑哭],2023-02-22 08:52:25,2,0
14m，一台机器一个村子大是吧,2023-02-27 05:08:36,0,0
回复 @吴彦祖本站分祖 :所以是➕嘛[滑稽],2023-02-23 07:24:57,0,0
你问问运算能是多少,2023-02-22 17:11:11,0,0
差分机，200年前有人搞过了，失败了,2023-02-23 09:42:46,8,0
就是差分机，机械美学巅峰之作,2023-02-23 17:34:00,5,0
可以是可以，主要是造他没意义,2023-02-23 09:32:50,5,0
所以才做了两年哇，大部分时间都在找线纠错,2023-02-22 04:55:05,1,0
回复 @bili_3-1412526 :小米对比法了[微笑],2023-02-22 23:56:31,1,0
跨时代技术突破，一千万纳米制程，对比友商七纳米。超越一个世纪,2023-02-22 03:25:36,0,0
大概，1cm?,2023-02-22 03:22:54,0,0
