评论,时间,点赞数,标签
还是那句话，别人不更新观众会说又鸽，你不更新观众真心觉得你是不是趋势了[tv_笑哭],2023-01-18 03:43:41,30,0
"马鹿：开整！
茄子：老马啊，老马，啊~~~~~~(抱头)",2023-01-18 03:06:30,30,0
提醒一下马鹿，快手的猴子盗马鹿视频了,2023-01-18 02:51:25,73,0
我在想马鹿可不可以把这套系统用在邪神的沉浸式魔改上[doge],2023-01-18 07:04:23,63,0
废弃炮机不要扔，这样改，暖心男友一整天[脱单doge],2023-01-18 03:33:01,34,0
马鹿为了防止账号变成纪念账号赶紧跑过来发新视频了，他真的，我哭死。[笑哭]（（（,2023-01-18 02:21:21,62,0
看来这次真的不是存货了，上次是真住院了[doge],2023-01-18 03:03:17,29,0
建议加个坦克猎手模式[doge]左肩一枪右肩一枪,2023-01-18 03:01:04,55,0
"别人拖更很久的反应：你还有脸回来？
马鹿blyat拖更很久观众的反应：原来up主没出事",2023-01-18 02:08:31,28,0
他没有把枪口对向妇孺，而是选择对向自己。紧紧握住的是人性中的野蛮，涌溅出的是精神之海的浊秽。风雨大作之后呆滞的眼神是马鹿最后的倔强。[妙啊][妙啊],2023-01-18 05:38:28,59,0
我发布了一篇笔记，快来看看吧~,2023-01-18 03:49:01,35,0
"医生:怎么受伤的
家长:玩游戏玩的",2023-01-18 09:40:38,50,0
时隔几个月刑部上书开发出了此等之物[doge],2023-01-18 06:51:44,53,0
我超，马鹿还活着[妙啊]老马呀！！！！哎！！！老马啊！！！,2023-01-18 04:46:04,26,0
每次你担心马鹿这小子还活没活着，他就整出新活了[doge],2023-01-18 02:33:03,26,0
他更新只是为了证明他活着,2023-01-18 02:44:55,60,0
6[doge],2023-01-18 07:58:36,25,0
能不能模拟一下中弹啊，枪都打完了不中枪我不试很能认可[给心心][给心心][给心心][给心心],2023-01-18 03:18:38,25,0
出院了吧，康复运动做的很好，在游戏中也不忘锻炼自己的身体，这要是玩个几天，麒麟臂就撞出来了,2023-01-18 02:58:59,41,0
不懂就问距离上一次更新过了半年了[脱单doge]up是因为上次视频住院了才出来嘛,2023-01-18 02:06:40,33,0
上去,2023-01-20 02:18:10,2,0
上去,2023-01-18 03:00:11,1,0
双厨狂喜,2023-01-18 11:11:30,0,0
知天易[跪了][跪了],2023-01-18 03:40:30,1,0
肩膀都给你捅错位[脱单doge],2023-01-18 03:14:12,1,0
左肩一枪，右肩一枪，十字勋章，后方养伤[大笑],2023-01-18 03:37:10,0,0
您就是活阎王？,2023-01-18 03:34:41,0,0
我的反应：命挺硬啊,2023-01-18 02:21:20,0,0
花老师的文采还是一如既往的好[奥比岛_点赞],2023-01-18 05:44:40,1,0
如果能给马鹿筹一个自动的就好了。[doge],2023-01-30 08:07:06,0,0
回复 @不平凡的呆毛 :[妙啊],2023-01-18 05:53:31,0,0
迫不及die（）,2023-01-18 03:54:43,0,0
这屁股，nikke即视感(￣ε(#￣) Σ,2023-01-18 05:39:16,0,0
打游戏安上这个纯纯血压飙升器,2023-01-18 06:59:53,1,0
回复 @菜狴 :[doge],2023-01-18 07:41:18,1,0
这项目我王多鱼投了[doge],2023-01-24 12:08:19,0,0
虽然但是，warming也说过，马鹿只是忙活而已[笑哭],2023-01-18 02:47:48,1,0
这里也有你，不过也算硬核改装硬件[妙啊],2023-01-18 08:04:47,0,0
[妙啊],2023-01-18 08:35:41,0,0
捕捉[热词系列_知识增加],2023-01-18 10:08:32,0,0
回去翻视频，有一期是模拟中单的，电鸡小子[tv_笑哭],2023-01-20 03:18:19,1,0
你是懂模拟真实的[脱单doge],2023-01-18 03:21:15,1,0
还真有一期，非常蛋疼[辣眼睛],2023-01-28 17:35:19,0,0
