评论,时间,点赞数,标签
想问问00:53的文本编辑界面是哪个软件的，感觉比Editplus好看多啦[脸红],2023-01-26 08:07:47,2,0
点赞,2023-01-26 04:28:25,2,0
投两个币入股,2023-01-25 11:58:05,2,0
"在platformio.ini中添加一句：
board_build.partitions = huge_app.csv
就可以解决容量不够的问题了",2023-01-25 11:24:25,24,0
这种up主很难不去支持[支持],2023-01-25 09:53:24,2,0
能出个教程吗（？）有点想学[笑哭],2023-01-25 07:54:45,2,0
关注了[2233娘_卖萌],2023-01-25 05:07:39,2,0
为什么我很不喜欢这个太空人[笑哭],2023-01-25 02:16:21,2,0
弹幕有妒忌无能黑子没东西黑，黑up的普通话不标准，笑死我了,2023-01-25 00:55:39,14,0
好久前用attiny85做过超小的，自己画的PCB，自己用吹焊机焊的，我记得我跑了贪吃蛇，最近学业压力大这些东西都找不到了[doge],2023-01-25 00:07:25,7,0
牛啊牛啊！这硬币不要也罢，一键三连,2023-01-24 23:57:31,6,0
可以直接移植nes游戏，玩点魂斗罗超级玛丽啥的，立创有开源方案,2023-01-24 09:22:25,5,0
图片放代码区也不够？,2023-01-24 09:22:10,6,0
春节快乐！,2023-01-24 09:06:48,6,0
支持就完了！！,2023-01-24 15:33:26,5,0
现在压力给到义乌这边[doge],2023-01-24 15:37:02,5,0
[打call][打call][打call],2023-01-24 10:19:22,8,0
更新了叫我,2023-01-27 12:47:44,3,0
火速给我更新[打call],2023-01-26 08:49:26,4,0
太简单了，我也不会[doge],2023-01-26 05:18:59,3,0
Arduino IDE,2023-01-26 09:01:14,1,0
回复 @黑人黑科技 :阿里嘎多黑人黑科技桑[doge],2023-01-26 14:02:22,0,0
感谢支持,2023-01-26 05:58:42,0,0
感谢支持,2023-01-26 06:01:58,0,0
回复 @黑人黑科技 : 其实就是修改程序和data的分区大小，默认给data留了很大的空间，但up现在貌似没在data里存东西，就白白空着了。在Arduino IDE里也有相关的设置方法。,2023-01-25 12:17:02,12,0
回复 @天狐一狼 :对1310720这个数字比较敏感[捂脸]恰好前段时间刚遇到这个问题,2023-01-28 06:27:42,2,0
不明觉厉[鼓掌]。层主咋知道他没有那样做？,2023-01-28 05:31:05,2,0
感谢支持，当前的代码也发了，感兴趣可以瞅瞅，在置顶评论,2023-01-25 10:43:31,0,0
参考代码看置顶评论，不过还不完善,2023-01-25 10:44:51,0,0
感谢支持,2023-01-25 10:46:23,0,0
嗯 萝卜青菜各有所爱，任何动图都能显示的,2023-01-25 10:48:02,0,0
厉害,2023-01-25 03:25:24,0,0
感谢支持,2023-01-25 03:25:32,0,0
我去瞅瞅,2023-01-24 11:06:13,0,0
回复 @黑人黑科技 :看代码好像已经定义在代码区了，那应该是芯片flash不够了,2023-01-24 11:25:09,1,0
可能行吧，这个没试[呲牙],2023-01-24 11:06:58,0,0
春节快乐,2023-01-24 11:08:28,0,0
感谢支持,2023-01-25 03:28:56,0,0
我加油,2023-01-26 09:01:02,1,0
"蓝奏
https://wwqy.lanzouo.com/ifEzO0lsqe7c",2023-01-25 12:20:58,16,0
up难道真的觉得我们能学会吗[笑哭]我现在学C语言学得跟个啥一样,2023-01-25 15:07:06,49,0
我有个想法，那个按钮会让整体变大，不如移到侧边，可以在加上表带方便随身携带，在加入一些软件，我决定叫这个东西为智能手表，希望up别不识好歹，赶紧给我版权费[吃瓜],2023-01-26 09:15:36,7,0
"蓝奏
https://wwqy.lanzouo.com/ifEzO0lsqe7c",2023-01-25 12:20:58,16,0
up难道真的觉得我们能学会吗[笑哭]我现在学C语言学得跟个啥一样,2023-01-25 15:07:06,49,0
我有个想法，那个按钮会让整体变大，不如移到侧边，可以在加上表带方便随身携带，在加入一些软件，我决定叫这个东西为智能手表，希望up别不识好歹，赶紧给我版权费[吃瓜],2023-01-26 09:15:36,7,0
