评论,时间,点赞数,标签
感觉在二踢脚上半段可以包上一层薄薄的的铁皮，会更酷[微笑],2023-01-23 08:24:21,8,0
放炮好卷 门槛高了很多啊,2023-01-23 07:54:30,8,0
感觉视频拍不出来在现场的那种感觉  昨天跑了60公里就是为了二踢脚结果也就买了20来个[笑哭],2023-01-23 06:59:21,8,0
这批军火不错，我们河南要了。最近瞅着山东那边武装直升机正愁着没办法呢，你这家伙事儿可太及时了。,2023-01-23 06:55:24,21,0
李团长～我看到的不是你的政委和指导员！而是你身后的机枪和迫、迫、迫击炮啊[冷][冷][冷],2023-01-23 03:57:55,20,0
"法律分析：枪支，是指以火药或者压缩气体等为动力，利用管状器具发射金属弹丸或者其他物质，足以致人伤亡或者丧失知觉的各种枪支。
对不能发射制式弹药的非制式枪支，按照《枪支致伤力的法庭科学鉴定判据》(GA/T 718-2007)的规定，当所发射弹丸的枪口比动能大于等于1.8焦耳/平方厘米时，一律认定为枪支。[妙啊][妙啊][妙啊][妙啊]",2023-01-23 00:50:49,21,0
螺纹钢管，雷汞击发,2023-01-22 17:12:20,46,0
为啥它能自动连发[奸笑]是因为引线吗,2023-01-22 15:35:03,8,0
"首页通知书
    尊敬的up主，您好，由于您的作品过于出色，现己被放上首页，希望您的作品能做得更好。
                                            bilibili观众认证💮",2023-01-22 11:23:48,8,0
当年秀琴看见这个炮，就不会喊你开炮啊，会喊你打准点！[tv_doge],2023-01-22 10:30:44,8,0
当初李云龙有了它，秀琴就炸没了,2023-01-23 07:23:01,16,0
口径小些，炮管底部封死，才能增加膛压和射程，最好炮管内部扣线，才能保证打出去的方向稳定性。炮的药量在足一些，顶端加个锥形金属头，穿甲力就更高一些。[doge],2023-01-22 16:14:36,10,0
很符合我一个理工男....啊，走错片场了。哪个男生不希望有这样一个意大利炮呢,2023-01-22 13:05:10,16,0
这个射击的还是很有技术含量的,2023-01-23 07:25:13,7,0
这种设计浪费了太多动能……起码也要佛郎机级别的气密吧,2023-01-23 07:22:23,7,0
"如果发到外网。
BBC:（）民间已具备规模，制造武装能力，疑是为挑起战争做准备[脱单doge]",2023-01-23 06:46:27,14,0
"“我认为这样坐牢一点也不酷”
“所以我想了一个更酷的坐牢方法”[doge]",2023-01-23 06:40:09,7,0
up能做多少？我这里需要大批装备，一个营起步，支援豫鲁前线！,2023-01-22 14:11:20,15,0
滑膛设计应该给二踢脚加装尾翼，前方布置锥形罩。试射十发标注角度和落点。钢管加厚且和二踢脚大小差不多。应该刻膛线的，毕竟射速低。其实二踢脚直射比较好。肩扛比较合理可以靠重力直接放弹夹。[doge]。,2023-01-23 07:19:04,14,0
当年李云龙要是有这个，估计早就解放日本了[doge][doge],2023-01-23 02:01:04,9,0
为啥这么少,2023-01-23 15:08:35,0,0
[脱单doge][脱单doge][脱单doge][脱单doge][doge][doge][doge][doge][OK][OK][OK][OK],2023-01-28 13:15:37,0,0
回复 @bili_92199559490 :哈哈😄,2023-01-23 05:06:53,0,0
谢宝庆是吧[doge],2023-01-23 04:42:37,0,0
"回复 @中老年电子ED患者 :“我们击穿了对面的装甲”x
“我们蹭掉了年兽的漆”✓",2023-01-23 15:21:37,1,0
再加个脱壳尾翼稳定……[微笑],2023-01-23 14:28:43,1,0
刑啊,2023-01-23 13:21:25,1,0
回复 @一鬏尾巴 :[思考]看出来你确实没玩过二踢脚，这是一种二合一鞭炮，引线点燃的是下半部分火药，并且因为这种鞭炮的封底通常都是比较软的泥巴，下半火药爆炸时会将上半部分推起，上下两部分中间有石膏或者紧实的封泥，并且通过引线联通上下部分火药，待上半火药被炸起到半空后，通过二次引信引爆，这就是地下一个响天上一个响:“双响炮”也称二踢脚,2023-01-22 15:49:09,7,0
回复 @一鬏尾巴 :因为那是二踢脚，本来就是两响的，先炸一下飞出去，然后空中炸第二下。,2023-01-22 15:47:38,1,0
回复 @一鬏尾巴 :[脱单doge]窜天猴进化版[喜极而泣],2023-01-23 00:37:02,0,0
没它也炸没了,2023-01-23 07:31:45,0,0
太刑了,2023-01-22 16:46:58,0,0
咱就说二踢脚这种定时引信你想让它飞多远（）,2023-01-23 07:36:43,0,0
专业人士,2023-01-23 07:23:09,0,0
就不想买点别的吗？[抠鼻],2023-01-26 06:48:40,1,0
错啦，是台海前线[抠鼻],2023-01-22 14:15:39,1,0
hhhh,2023-01-22 14:14:59,1,0
好，但是看不懂[doge],2023-01-23 07:25:50,0,0
是不是还得打出一个射线表[doge],2023-01-23 07:33:57,0,0
哟，懂得挺多啊，肘，跟我回硕里备个案[歪嘴],2023-02-09 13:52:59,0,0
