评论,时间,点赞数,标签
米哈游！！！！你快点卷,2023-03-13 11:55:18,3,0
那个，可不可以用这个玩那种游戏，就是那种游戏[吃瓜],2023-03-11 10:49:34,20,0
有没有一种可能 可以大声喊出台词然后角色自己放技能自己平？,2023-03-12 13:43:05,3,0
我要看0人开e[脱单doge],2023-03-11 15:40:06,34,0
十年前这玩意叫跳舞垫[吃瓜],2023-03-12 18:55:11,4,0
我好像知道海哥的肱二头肌怎么练出来的了[藏狐],2023-03-13 09:01:57,3,0
有个问题，魈的攻击动作有一个撑杆跳+前空翻，霄宫有一个后空翻[doge]，对于没有武术功底的普通人来说，要怎么实现呢？,2023-03-11 15:08:36,347,0
打完浑身酸痛，原神一天要肝的地方还挺多的，怕不是玩个几天就练出肌肉了（）,2023-03-11 19:00:27,4,0
草神和可莉的普攻动作我很好奇啊[吃瓜]，不会真得猛男跳格子吧？,2023-03-13 02:30:29,3,0
说个价格让我死心,2023-03-11 23:58:53,17,0
健身房的话可能不会考虑，但这个如果做出来放家里我觉得很nice[脱单doge],2023-03-12 19:17:31,7,0
万人血书求珊瑚摆件1/10000[脱单doge],2023-03-11 08:42:30,30,0
想看凯亚偷渡稻妻,2023-03-11 18:38:02,13,0
[哦呼]一斗的给我砸怎么演示？拿着遥控器还是手机直接朝大屏幕砸过去？[哦呼],2023-03-12 04:44:56,6,0
已经一键三连，如果真能普及那拿来锻炼身体真会很不错…,2023-03-14 15:02:36,2,0
建议在腰上做一个铠甲勇士那样的腰带，扭一下旋钮就切一个游戏角色,2023-03-15 01:54:05,2,0
关注喽！可以出一期崩三嘛？（虽然画质比原神差些）,2023-03-14 15:44:09,2,0
用这个去刷本，终于知道树脂为什么叫体力了,2023-03-14 11:36:09,2,0
魈、万叶、早柚：快整快整[脱单doge][脱单doge][脱单doge],2023-03-11 15:56:39,14,0
到底什么时候能真正实现人机交互，我真的很想看到真正的提瓦特,2023-03-14 05:42:32,2,0
说清楚了 哪种游戏[doge],2023-03-11 11:23:36,1,0
哪种游戏我康康,2023-03-12 14:14:36,0,0
你小子,2023-03-19 13:49:58,0,0
也是个好主意呢[doge],2023-03-13 15:04:07,0,0
小黑子露出鸡脚了吧[doge],2023-03-12 00:04:23,0,0
或许，只要做成拿武器杵地触发“插秧”即可，其他靠脑补[原神_喝茶],2023-03-11 15:10:18,39,0
"[藏狐]和你动作没关系，你动作瞎做也指识别按键指令。
而且除非加携带式震动反馈，不然也就视频看着好看，实力游玩其实很尬，操作也很蛋疼。",2023-03-12 14:49:42,21,0
对于角色的武术高难度动作可能确实比较难。不过期待不久的将来可以攻克这些难题，技术成熟就可以面向广大消费者了[原神_哇],2023-03-11 15:18:40,7,0
惯性动补几万，光学的几十万起步吧[妙啊],2023-03-12 02:15:33,2,0
也许这得催阿B？[藏狐],2023-03-11 08:43:45,2,0
回复 @透镜朋克 :shut up and take my money[生气][生气],2023-03-11 11:18:22,0,0
万叶跳一下就可以了还是比较好弄的，魈要插地，早柚要滚就有点勉强了…,2023-03-13 00:06:23,1,0
回复 @土豆不长痘呢 :还有凌华莫娜冲刺判定[脱单doge],2023-03-14 16:45:04,0,0
@透镜朋克 @透镜朋克 电影里面头号玩家的万向跑步机，如果可以用一个非常大的球状做成跑步机应该就能做成万向跑步机,2023-03-12 12:06:55,78,0
原神并没有多少人关心能不能虚拟现实，重要的Minecraft实现最简单量产的就能世界革命,2023-03-12 19:48:47,23,0
回复 @叫我威威喵喵鱼 :我也想到那个万向跑步机了[脱单doge],2023-03-12 19:53:09,4,0
@透镜朋克 @透镜朋克 电影里面头号玩家的万向跑步机，如果可以用一个非常大的球状做成跑步机应该就能做成万向跑步机,2023-03-12 12:06:55,78,0
原神并没有多少人关心能不能虚拟现实，重要的Minecraft实现最简单量产的就能世界革命,2023-03-12 19:48:47,23,0
回复 @叫我威威喵喵鱼 :我也想到那个万向跑步机了[脱单doge],2023-03-12 19:53:09,4,0
