评论,时间,点赞数,标签
大佬,2023-03-04 23:15:13,0,0
up，末端执行器平移这个能反馈么？只靠imu应该只能反馈旋转？ 还是说平移这块是开环的,2023-03-05 01:05:14,0,0
陀螺仪漂移问题 考虑用最便宜的6500，然后做温度控制电路 让陀螺仪恒温 谬论,2023-03-04 17:18:57,2,0
用的什么舵机,2023-03-04 11:46:21,0,0
牛的啊  足底传感器用的是什么方式呢,2023-03-04 10:28:02,0,0
这是真的吊[支持],2023-03-05 08:37:46,0,0
哇，太帅了。走起来怎么样？,2023-03-05 07:30:52,0,0
厉害啊 机器人正逆解是自己写的吗,2023-03-04 15:35:25,0,0
牛逼的一塌糊涂，先受我一拜,2023-03-06 03:48:42,0,0
纯好奇，这是不得博士才能做得出来？,2023-03-05 04:45:39,1,0
666,2023-03-04 16:07:57,0,0
本来挺喜欢的,2023-03-05 04:02:38,0,0
这么详细的简介真的不多见,2023-03-05 01:24:55,0,0
算法应该问题不大舵机的锅,2023-03-05 13:23:43,0,0
大佬厉害[打call],2023-03-04 14:51:25,0,0
牛啊，使用的什么舵机[星星眼],2023-03-04 14:58:57,0,0
大佬[打call],2023-03-04 10:30:34,0,0
看起来害怕，掉san,2023-03-05 00:59:16,0,0
为啥我想给他套个笨笨的外壳[笑哭],2023-03-04 23:02:15,0,0
舵机做到这个水平真的很厉害,2023-03-04 16:48:03,0,0
刚看到up主回复。之前用imu测位移发现漂移太大了，看了GitHub和油管上一些up主，也问了几个研究人员，发现imu位移反馈这块确实难以解决。角度的话有些imu模块可以融合磁偏角，结果会比较准。所以问下up主是怎么解决imu位移反馈漂移这个问题的。github内容我看了一下，up主最后好像是用开环？如果是的话，开环效果看起来还蛮不错，有点意外,2023-03-19 02:22:02,0,0
imu可以反馈平移的，具体可以在github页面有描述,2023-03-05 01:27:00,0,0
详见视频简介,2023-03-04 15:19:07,0,0
回复 @张飞尘 : 力传感器,2023-03-04 15:26:42,0,0
回复 @xu_ming :传感器移位寄存器？,2023-03-04 15:19:58,0,0
足底压力传感器还没加上去，打算用fsr,2023-03-04 10:40:19,0,0
回复 @xu_ming :求解用啥语言和软件写，up啥大学专业啊[打call][打call][打call]请教，牛,2023-03-10 14:43:41,0,0
是啊,2023-03-04 15:49:52,0,0
up大学毕业后的三年里断断续续做的。来自简介,2023-03-05 06:29:21,0,0
视频简介进github有详细介绍,2023-03-04 15:18:41,0,0
