评论,时间,点赞数,标签
超导体具有完全抗磁性,2023-02-02 08:34:13,5,0
建议改成：超导体磁悬浮,2023-02-01 10:22:49,7,0
有个说液氮有多贵的，你自己知道液氮有多贵吗？,2023-02-01 09:02:02,9,0
这不刘建刚吗[脱单doge],2023-02-01 06:14:12,3,0
这个原up名叫啥 想看看他其他视频[保卫萝卜_哇],2023-01-31 11:58:51,1,0
我记得小时候买过一个磁悬浮的地球仪，不用低温也能悬浮，看起来悬浮用到的就是一个电磁铁和一个磁铁，我自己用这俩东西试过，没成功，问一下这种是啥原理,2023-01-31 09:28:03,1,0
曾经打算买一些像视频里的钕磁铁买玩。但看见价格让我死心。,2023-01-31 08:45:03,3,0
为啥需要冻一下？,2023-01-30 11:26:26,1,0
飞碟太重，需要的瞬间磁力相当大,2023-01-30 06:38:03,1,0
为什么磁铁不会一个反面然后全都反过来吸在一起？,2023-01-30 06:26:46,1,0
磁铁这样用会失去磁性吗,2023-01-29 14:37:48,4,0
我想知道在哪能买到液氮,2023-01-29 12:55:45,1,0
看起来像是吊了一根绳子，但绳子却不存在,2023-01-29 12:54:09,1,0
什么时候能做成象棋呢，什么材料能隔开棋子和这个磁铁不被冻到还能保留磁性呢,2023-01-29 12:43:38,1,0
看这毛量一定是外国人,2023-01-29 10:06:56,9,0
手直接推不会冻伤吗,2023-01-28 21:19:53,6,0
那个圆柱形的黑色的东西是什么材料啊,2023-01-28 14:00:54,1,0
´_>`酷[打call][打call][打call][打call][打call][打call],2023-01-27 07:44:21,2,0
这块黑色的是什么材质的？,2023-01-27 04:48:09,6,0
好酷,2023-01-25 16:22:04,5,0
回复 @石流n :能通过外物看到他，有个视频里用了个玻璃罩上下装了两个电极，中间装了个磁铁，然后通电升压，里面的电流产生的辉光以3D的形式把磁场勾勒出来了。,2023-02-06 05:52:14,1,0
回复 @鬼清明 :我只是碰巧大学专业课在学习,2023-02-06 06:09:41,0,0
回复 @鬼清明 :你说得对,2023-02-06 06:08:04,0,0
竞标成功[doge],2023-02-03 09:12:22,0,0
液氮不贵，贵的是存储的容器。,2023-02-01 12:36:03,7,0
"回复 @RMGCCZJ :能有多贵，工厂很常见，800一吨，一个保温
钢瓶就可以装",2023-02-02 15:20:20,4,0
就正常喝水的保温杯大小的一瓶10来20块钱左右,2023-02-13 17:12:09,1,0
回复 @正版小老虎 :那你在哪儿搬的[惊讶],2023-02-01 08:27:39,1,0
回复 @龍鉉黑泡 :忘了，老早的了,2023-02-01 10:09:41,0,0
不知道啊,2023-01-31 12:55:05,0,0
电磁铁通的交流电，然后另外一块应该是软磁体,2023-02-02 13:08:44,1,0
因为只有在低温条件下材料才展现出超导特性,2023-01-30 12:51:49,2,0
回复 @枫糖霜 :原来，恕我眼拙了,2023-01-30 09:10:42,0,0
底下是铁板,2023-01-30 08:23:44,0,0
回复 @宅书菌 :也就是说磁悬浮列车就是给磁通电，不是单纯的靠磁力运转是嘛[笑哭]我以为磁悬浮列车用一段时间就要换块磁铁呢[尴尬],2023-01-29 18:13:02,1,0
磁铁可以加磁消磁，也不一定要用永磁体，可以用电磁铁[tv_困],2023-01-30 11:38:36,0,0
回复 @大可爱和大宝贝 :[嘟嘟]明白了,2023-01-30 00:23:29,0,0
拼d多,2023-01-29 13:36:34,0,0
回复 @GiliGili弹幕网 :好主意,2023-01-30 04:14:59,0,0
装电池搞电磁铁？,2023-01-29 13:21:47,0,0
液氮蒸发快，只要呆的不久不会冻伤,2023-01-29 02:00:28,1,0
不会,2023-01-29 01:49:51,1,0
就像是燃烧的蜡烛火苗，用手指去弹不会烫伤差不多道理。,2023-01-29 06:04:15,0,0
Ybco吧,2023-01-28 14:26:35,0,0
回复 @没吃饭的亭亭 :我是说真的，人体接触液氮最终出现的是烫伤而非冻伤,2023-01-28 09:23:31,1,0
塑料吧，防冻手,2023-01-27 05:08:17,1,0
黑的是海苔,2023-01-29 06:14:51,0,0
