评论,时间,点赞数,标签
男生真正会要的：瑞士军刀,2023-01-25 18:20:32,0,0
凭我日常习惯来说的话，多功能=没功能,2023-01-24 02:16:08,0,0
"视频突然很火，感觉有必要简单介绍几个点
1.这玩意儿没有任何实际用处，你可以理解为单纯的解压玩具，也和很多类似的商品一样，不存在性价比的概念
2.它不是一把模型枪，既不是为了还原，更不是为了发射，只是用创意的设计来模拟一些小玩法，这款用了一些手枪的元素罢了
3.关于价格，这玩意儿1799，所有部件都是cnc，还存在一些手工进行的表面处理，总体来说成本是很高的，之所以会比一些真家伙还要贵，是因为制作数量和工艺要求存在很大的差异，军火只要能用就行，但这玩意儿不能接受任何的磕碰划痕，而且生产的数量也很有限，不会有任何的大型工厂愿意为小批量的产品优化工艺路线，甚至是改造机器，所以工费实际是要更高的。
4.关于性质，你可以理解为金属制作的文玩，和模型手办娃娃文玩手串等一切小众圈子一样，都只是为了满足一小部分人的精神需求，如果理解不了，也不用强行理解，这只说明你的兴趣不在于此，但也不要以一种很奇怪的姿态，用莫名其妙的优越感来审判这一切。是不是智商税，到底值不值，真正的玩家心里清楚，也会用脚投票
5.感谢观看，如果能三连的话，就更好了[OK]",2023-01-23 11:59:41,1,0
淘宝上几块钱我买的多功能卡片刀用了好几年，螺丝，起子，刻度，定位，锯子，刀等等，不比这个好用？,2023-01-20 16:54:07,0,0
我又不哭[罗小黑战记_棒棒],2023-01-19 14:40:25,0,0
额，瑞士军刀它不香吗？,2023-01-16 15:24:37,0,0
要什么，能给你饭吃,2023-01-16 12:58:35,0,0
各位看看得了,2023-01-14 14:17:31,0,0
我哭了 你呢,2023-01-07 05:36:00,0,0
嘎,2023-01-01 07:47:38,0,0
不如钥匙[傲娇],2022-12-30 15:19:19,0,0
呜呜呜我变性了[大哭],2022-12-25 12:42:50,0,0
叫什么啊？,2022-12-19 09:46:58,0,0
我还以为是传说中的生命卡手枪[doge],2022-12-19 09:28:32,0,0
SOG的腰带扣比这个好用，除了不好上地铁之外,2022-12-13 14:45:56,0,0
在哪里买,2022-12-13 06:11:37,0,0
“生命卡”手枪也差不多，除了取钱啥都能干[脱单doge],2022-12-10 03:03:48,0,0
我选择海啸,2022-12-07 14:43:24,0,0
红卡,2022-12-07 11:57:05,0,0
抽我抽我抽我吧,2022-11-26 17:05:07,0,0
我来～[doge],2022-09-12 13:16:09,1,0
柱子哥  柱子哥[脱单doge],2022-09-25 09:53:36,1,0
咳咳，内个，现在还抽吗[doge],2023-02-06 16:49:02,1,0
我来～[doge],2022-09-12 13:16:09,1,0
柱子哥  柱子哥[脱单doge],2022-09-25 09:53:36,1,0
咳咳，内个，现在还抽吗[doge],2023-02-06 16:49:02,1,0
