评论,时间,点赞数,标签
"滑道尽头是骨科，球场尽头医务室。
泳池尽头呼吸机，跑道尽头火葬场。",2022-03-10 10:05:01,31,0
滑板都可上天，你为什么不可以呢[doge],2022-03-10 13:52:54,26,0
冒昧问一句，up主什么时候也能飞[doge][滑稽][脱单doge],2022-03-11 04:28:27,7,0
这么重的滑板不错的完成了几个基本难度技术动作，看来遥控技术长进不少啊，居然没有炸[支持],2022-03-10 10:22:43,24,0
这下有起落架了[藏狐],2022-03-10 10:16:24,7,0
啊这我以为的飞是指人踩在上面一起飞，结果就只是滑板自己飞。。,2022-03-10 15:39:51,33,0
文字游戏玩的挺溜,2022-03-11 01:32:07,16,0
牛啊，我觉得我家带轮子的碳烤炉也可以试试飞一飞了,2022-03-10 10:05:15,26,0
要求滑板带人飞太难了，加个自动寻路和一键召唤吧[脱单doge],2022-03-12 11:00:38,19,0
总有一天，我要让全世界高看我一眼,2022-03-11 02:58:08,6,0
真的好想猫和老鼠Tom插了一对翅膀[笑哭][笑哭],2022-03-10 15:28:46,13,0
我也有过类似的想法，不过是纯地效飞行器,2022-03-10 14:38:07,6,0
买个无线正义高达粘在上面[脱单doge][脱单doge],2022-03-10 14:17:00,14,0
这次降落是我感觉最不用担心的，起落架够结实[笑哭][笑哭],2022-03-10 13:56:32,16,0
造个安225,2022-03-10 11:20:30,6,0
请务必整个布丁飞上天,2022-03-10 10:29:36,6,0
"搓。。。搓衣板：我！我！我！[doge]
砧板：我先来的[妙啊]
烫衣板：都让开！[OK]",2022-03-10 10:25:30,6,0
珍贵的梅塞施密特运输机试飞录像，1944，上色版,2022-03-10 10:23:04,15,0
人没飞，差评[傲娇],2022-03-10 10:14:21,6,0
飞RTX3090,2022-03-10 11:47:45,13,0
飞机跑道,2022-03-10 10:06:27,2,0
"高中生总是会有一种嗯莫名其妙的优越感，随时随地会来一句莫名其妙的建议。
我的评价是：春春的飞舞[保卫萝卜_白眼]",2022-03-11 06:46:59,7,0
你人在下面，飞行器在上面还有可能，这视频里飞行器在下面，人在上面，又明显不是直接提供垂直升力。。真的稍微想想都基本不可能，那速度得多快[笑哭],2022-03-11 13:29:29,4,0
回复 @Tanking的瓶中暴雪 :这螺旋桨明显动力不够，飞了机翼也承受不住，最后不是专业敢死队的怕是板子一离地人就寄了。。,2022-03-11 13:39:46,2,0
这有啥，直接插个锚点直接传送吧[脱单doge],2022-03-21 23:20:26,1,0
好家伙你这条评论怎么直接窜出来，吓我一跳。,2022-03-10 15:29:27,1,0
