评论,时间,点赞数,标签
这不初诞者圣墓老七[doge],2022-03-22 05:58:51,21,0
小天线一动一动的有点可爱,2022-03-22 05:53:55,26,0
特别可爱 关注啦,2022-03-21 14:40:47,2,0
哔哩哔哩版厄加特？[doge],2022-03-21 09:53:05,2,0
让何同学运作一下，不得1000万➕[妙啊],2022-03-21 03:35:54,18,0
重装玩家狂喜[doge],2022-03-21 02:31:11,5,0
提个建议，可以把头部做成蓝牙音响[滑稽],2022-03-21 02:29:51,8,0
《儿子对它充满了好奇》,2022-03-21 01:04:18,8,0
这小表情可太逗了,2022-03-20 12:12:53,2,0
崽崽真可爱！[喜欢]给姐姐贴贴[喜欢][喜欢][喜欢],2022-03-20 12:08:45,2,0
蠢萌蠢萌的,2022-03-20 11:44:18,2,0
这是我第一次没有白嫖[热词系列_你币有了],2022-03-20 11:08:23,2,0
先赞再看[doge],2022-03-20 10:58:19,4,0
《儿子对他充满了好奇》,2022-03-23 08:33:55,3,0
up主打算出教程吗？打算自己做一个，玩模型正好有3d打印机和工具。没用过控制板，也没写过程序。,2022-03-23 02:30:40,4,0
换人家某同学已经1000w+，热搜挂7天，股票涨50%了[脸红][脸红][脸红],2022-03-21 04:06:18,6,0
想问下各位大佬，要完成up这可爱的小电视，硬件方面得学什么吗？不然51单片还是32，大一生一个，c语言已经学了[辣眼睛],2022-03-23 11:10:14,4,0
萌新核心bilibili限定皮肤[doge],2023-01-27 07:33:19,2,0
感谢开源，有无大佬来个星际争霸的寡妇雷？[doge],2022-05-26 13:53:45,4,0
第二天，某音:一外国小哥……,2022-04-17 03:10:54,2,0
除了客户端到处都是窝窝粉[doge][doge],2022-03-27 07:35:06,0,0
黑度伦斯，做好了给茶队每人一个[doge],2022-03-22 23:15:55,0,0
还不去更新涩色[保卫萝卜_哇][嘟嘟],2022-03-23 12:50:11,1,0
多谢支持！,2022-03-21 14:54:08,1,0
厄加特哔哩哔哩皮肤,2022-03-21 12:40:24,1,0
何同学在我黑名单里 你说我做得对吗？,2022-03-21 04:26:34,3,0
同学，建议先了解一下工作量。且不提含金量难度钻研点啥的，建议先了解下工作量，做这些东西需要多长时间多少人。,2022-03-27 06:16:50,0,0
我还真有,2022-03-21 10:49:28,1,0
嘿嘿,2022-03-20 13:37:51,1,0
得先排号[滑稽],2022-03-20 13:36:03,1,0
怪阿姨[tv_调侃],2022-03-20 12:19:06,0,0
恩，很喜感,2022-03-20 13:34:14,0,0
多谢支持！[脱单doge],2022-03-20 11:31:39,1,0
年入百万[脱单doge],2022-03-20 11:29:27,1,0
合作嘛，我只会控制板和程序 [捂眼],2022-04-24 05:20:34,0,0
回復 @黑人黑科技 :你挺厉害了，加油,2022-03-24 15:13:52,2,0
回復 @信封tegami :一上来就高中物理知识，以为全天下就你高中毕业了是吧[辣眼睛],2022-03-24 15:10:54,1,0
回復 @信封tegami :对对对你内涵，反讽看不出来吗，何同学低含金量低创热度恰饭热度还那么大，这个up含金量不高多了。就你以为自己有个嘴巴呗内行人[星星眼][星星眼][星星眼][给心心][脸红][脸红],2022-03-24 15:08:01,1,0
没这么麻烦，他买的是现成驱动板，厂家有给上位机，根据上位机写就行了,2022-03-24 13:50:53,1,0
捞一捞[捂脸],2022-03-23 14:17:46,0,0
你真是高看我了[doge],2022-03-20 12:08:02,516,0
他是真的想教会我[doge],2022-03-20 12:17:30,180,0
回复 @正骨约吗 :自信点，有程序和建模了，你就差手了！当然还需一点点设备就行！,2022-03-24 02:52:02,96,0
你真是高看我了[doge],2022-03-20 12:08:02,516,0
他是真的想教会我[doge],2022-03-20 12:17:30,180,0
回复 @正骨约吗 :自信点，有程序和建模了，你就差手了！当然还需一点点设备就行！,2022-03-24 02:52:02,96,0
