评论,时间,点赞数,标签
极致还原！好耶！！来被砌进神像了！[doge][支持],2021-09-01 10:02:21,335,0
"那个，这刀能从胸口里拔出来嘛?
换个问法，我的意思是，这刀，保拔吗?[藏狐][藏狐]",2021-09-01 11:17:06,60,0
up能开一个粉丝群吗，我们线下制作的遇到问题也好交流询问什么的..这俩天买错工具不止三次了[笑哭][笑哭][热词系列_再来亿遍],2021-09-01 10:03:50,415,0
请未成年人在周五、六、日晚上8点到9点观看,2021-09-05 00:27:01,53,0
原宝如果出个角色叫才浅，可以造五星武器，我绝对抽爆[doge],2021-09-01 10:04:01,11313,0
这个男人已经放弃试图教会我们了[doge],2021-09-02 13:19:07,49,0
"每次看到才浅做新视频，我每次都以为还是老几样的工序配合卡点就行了，但是他每次都能让我惊出一句卧槽
第一次做紫光檀的小刀，我没想到木头这么强悍喊了卧槽
第二次做1:1的夜空之剑，我第一次见到这么还原这么厉害的视频，上了油以后这剑竟然和原版一模一样，还是中二少年最喜欢的刀剑武器，交出了卧槽
第三次做龙刃它竟然发出了漂亮的荧光，我又交了卧槽
第四次做了日轮刀，我以为这次应该不会让我喊卧槽了吧，卧槽才浅他说话了声音好好听，拿手镯制作刀镡就离谱
第五次不用多说了，震惊世界的魔刀千刃
第六次我一想魔刀应该就是他的极限了吧，md雷刃的雷纹竟然真的是用电来制作的给我震惊的不要不要的，交了卧槽
第七次制作的折扇那机关结构和电解操作使我至今难忘，又交了卧槽
第八次做的誓约胜利之剑，竟然是用的青金石来制作，交了卧槽
第九次做的伞中剑，这个男人竟然还会手工制作油纸伞，交了卧槽
第十次做的永恩的刀，这渐变的荧光简直太棒了，交了卧槽
第十一次做了附魔台，那本书竟然真的能飘起来啊啊啊啊，交了卧槽
第十二次做了朗基努斯之枪，我还以为是做成两部分来拼接，结果用的勺子来烫就离谱，做完那勺子还能用，交了卧槽
第十三次用鲍鱼壳做的螺钿，这就是五彩斑斓的黑？交了卧槽
第十四次也不多说，古今的金面具，直接卧槽
第十五次抓娃娃机自己都没想到可以变的如此酷炫，交了卧槽
第十六次玉米棒子能做的这么酷炫这么漂亮实在把我震惊了，交了卧槽
第十七次闪烁之光竟然用这么多金属材料来制作，成本极其巨大，这股肝动力使我卧槽
第十八次，简直是与古人心意相通之作的金杖，直接卧槽
第十九次也就是这次的奶香刀，卧槽它竟然真的可以放电啊啊啊啊啊啊，每次视频都三连，每次都给两个币，才浅nb！",2021-09-01 16:50:21,9390,0
我抽到雷神啦！！！！！她会水遁，我可开心啦,2021-09-01 10:13:51,50,0
想问下才浅 好像没复刻过魔杖吧（虽然好像主要复刻刀多一点）但是考虑一下吗[脱单doge][脱单doge][脱单doge] 加特效的豪华皮的那种[脱单doge][脱单doge][脱单doge]我17年在国外环球影城买的一根老魔杖贼tm轻 还有点劣质 一看made in China（没有说国货不好的意思！！！只是单纯觉得质量差那时有点刻板影响现在不会了！！！我一直用国货！！！只是国外买的made in China老别扭了 主要贼tm贵 好几百 小日…子过的不错的日本赚黑心钱[捂脸]）然后我本人是疯狂哈迷所以很期待[给心心],2021-09-01 11:26:50,257,0
第一遍关弹幕看，第二遍开弹幕看，第三遍边补弹幕边看[doge],2021-09-01 11:31:16,73,0
芜湖，想看才浅做明日方舟棘刺的刀！！！刀客塔跪求！[doge],2021-09-01 10:53:50,103,0
不错（字面含义，非引战，非水军，非反串，此话仅为个人感想无任何衍生含义，此话不代表任何其他团体、个人，此话无任何鄙视其他游戏、个人、团体的衍生含义，此话为本人真实个人想法非抄袭、此话仅为个人感想、无碰瓷、蹭热度、骗赞想法、如有雷同纯属巧合，构思相似不算做抄袭，本人玩过各种平台的数十款游戏、并非没玩过游戏，本人家庭和睦安康、请菩萨保佑，本人拥有本科以上的学历，本人无任何心理或精神疾病，若想复制、借鉴此话、本人十分欢迎，本人无任何垄断评论想法，此声明未来可能继续添加，此话及声明的最终解释权归本人所有）,2021-09-01 11:05:17,317,0
看加了个铁片就觉得不对劲，看到最后果然[doge]才浅啊才浅，你还有多少惊喜是朕不知道的[doge],2021-09-01 10:16:42,48,0
强[跪了],2021-09-02 00:50:57,197,0
我先来，《才浅制杖》哦不，《才浅做剑》[doge][doge][doge],2021-09-01 10:16:49,47,0
up主我看你骨骼清奇，是个练武的奇才，要不要跟我学剑术啊？[doge],2021-09-09 12:04:00,197,0
阿伟你又在按时间找🐵啊，休息一下吧[脱单doge],2021-09-02 15:45:02,38,0
卧槽！,2021-09-02 06:14:43,1918,0
才浅能表演一下胸口拔刀吗？[doge],2021-09-01 10:04:09,38,0
看这视频我居然想玩原神了，这广告费真值,2021-09-02 01:19:33,33,0
太惨了吧，实在捞不动了,2021-09-01 15:16:33,2,0
这都能看到你[跪了],2021-09-09 10:08:31,1,0
在？抽个学姐,2021-09-05 08:13:02,0,0
你这剑身是金子做的还是剑鞘是金子做的[藏狐],2021-09-01 22:26:46,4,0
回复 @慵懒の小哥 :章鱼哥！萨日朗！！,2021-09-01 13:28:39,4,0
回复 @Xiror团子 :你说的，这剑胚生的你自己吞下去[doge],2021-09-01 11:40:01,4,0
人多了管不过来的，再说开了你也不一定挤得进去呢[doge],2021-09-01 10:40:53,33,0
