评论,时间,点赞数,标签
特朗普7000多万的支持者可不是省油的灯,2021-04-23 02:08:37,1,0
不过是为了向国会要钱罢了,2021-04-23 02:07:23,1,0
就算让它们收上来了，真的投了2.2万亿做基建，那也跟中国没法比，这十几年下来中国基建投的钱最少也有2.2万亿的好多倍了吧[笑哭],2021-04-23 02:04:07,1,0
印两个星期的钱就好了。,2021-04-23 01:47:59,1,0
美国没有需求。,2021-04-23 01:39:12,1,0
其实最大问题还是钱太少，要赶上中国的基建，我估计至少也要10万亿以上的美金,2021-04-23 01:14:33,1,0
画饼人人都会啊,2021-04-23 01:04:56,1,0
谁还记得某位宋朝皇帝励志10年灭西夏来着[吃瓜],2021-04-23 00:58:49,1,0
用人成本怎么降低呢？？,2022-02-16 11:07:55,1,0
自相矛盾说法，那么以前怎么做到的？[滑稽],2021-05-03 23:10:45,0,0
先看看我们国家未来十年规划再看这[OK][OK],2021-05-02 11:35:39,0,0
你居然启发我想个可能可行的解决办法，把2.2万亿收上来[喜极而泣],2021-05-01 16:12:34,0,0
张司令说话鼻音好重，去看看耳鼻喉科吧,2021-04-28 06:51:20,0,0
2.2万亿办的事能有5000万的效率？,2021-04-26 23:48:12,0,0
美国洗脑把自己洗了....,2021-04-25 18:39:26,0,0
张司令说说美国基础建设怎么样呗，还有美国为什么不发展高铁,2021-04-25 07:30:01,0,0
不，拜登没想过超越咱们的“基建”，川普才想过。盖房子不是“基建”只是鸡的屁。,2021-04-25 02:34:40,0,0
人民币和美元1:1？,2021-05-13 10:25:15,0,0
光高铁都不止这个钱,2021-04-23 03:44:24,0,0
回复 @丑时飞天 :关键这两代机性能都不一样…用的材料不一样没法比较,2021-04-27 03:41:46,1,0
回复 @山东孙一峰 :[doge],2021-04-28 18:21:59,0,0
大胆一点，再加个零，然后乘以2。别的不说，看看5代机两国军方的采购价对比。,2021-04-23 01:29:18,0,0
如果没有金人这个天大的BUG，西夏已经被北宋磨的奄奄一息了。,2021-04-23 01:22:05,1,0
人家真干了，只不过没干成,2021-04-23 01:02:57,1,0
宋是碰上了两个BUG，不然搞不好真进工业化了，钢铁产量是当时世界产量的一多半，辽国钢铁产量是除去宋的产量剩下的一多半。,2021-04-23 01:26:24,0,0
