评论,时间,点赞数,标签
别问了，飞上去的,2023-03-17 04:20:08,0,0
挖掘机咋上去？没看见那么大一吊车在吊嘛蒙骨人？[doge],2023-03-18 10:02:52,1,0
看得我腿软……,2023-03-16 09:50:02,0,0
国外100万的活，被打工人5万给干完了,2023-03-14 12:49:41,105,0
这是散件上去组装成成品的[吃瓜],2023-03-21 07:59:09,0,0
什么，这不是挖机，这是压缩毛巾，遇水变大变高,2023-03-21 12:32:17,0,0
矮人科技压缩挖掘机遇水变答辩高,2023-03-20 13:07:48,0,0
好像水塔建造的时候是从最高点往下面建造的[思考],2023-03-21 06:29:59,0,0
一看就不专业  我们都是搞两个飞机翅膀插在两侧  就算倒了也能滑下去,2023-03-17 09:43:05,0,0
有没有可能挖机也是吊上去的[doge],2023-03-20 05:27:02,0,0
弱弱问下这个是什么啊。经常在我们这边荒郊野外看到[笑哭],2023-03-15 21:00:14,0,0
压缩挖掘机，遇水变大变高,2023-03-16 09:13:38,0,0
明明就是压缩挖掘机，遇水变大变高[doge],2023-03-21 06:16:56,0,0
挖机不系安全绳吗？,2023-03-15 11:01:44,0,0
欢迎观看野生挖掘机长大后，独自拆掉水巢下地的全过程,2023-03-16 13:43:20,0,0
什么，这不是饼干，这是我们的压缩挖机,2023-03-21 01:46:23,0,0
挖机怎么可能会长大，其实是水塔可以伸缩，水塔先缩到地上，挖机开进去，水塔再升高就可以了,2023-03-16 20:35:39,0,0
下面的吊车:都看不见我是吧,2023-03-21 04:58:30,0,0
虽然我知道这个很。稳定，但是我总感觉上去以后有命拿这个钱，没命花这个钱。,2023-03-18 13:39:19,0,0
戳啦，这是施工队收工时发现少了一台挖机和挖机师傅，无奈只好拆除水塔把挖机救出来,2023-03-20 11:21:32,1,0
国外是整个直升机整体吊走咋的？[妙啊],2023-03-15 00:25:07,10,0
回复 @红月hunter :直接研发制造一个反物质反应炉就地烧了[妙啊],2023-03-15 00:32:20,8,0
我蓝翔的。介绍一下呗，到时每个工程分你五万[doge],2023-03-15 05:35:43,4,0
像旧水塔，也可能是别的。,2023-03-16 05:30:58,0,0
