评论,时间,点赞数,标签
这是今天有人检查了，平时才懒得用。,2022-10-20 08:48:48,0,0
真想在这贴个膜,2022-10-19 22:17:01,1,0
家底扫灰都先洒水,2022-10-19 09:23:29,0,0
水炮冲击[奥比岛_击爪],2022-10-17 09:18:52,0,0
有没有可能我们不是原始人？     现在道路上降尘不都是喷洒水雾降尘吗？    怎么可能没见过,2022-10-17 04:08:30,0,0
目前基本都是水，但是水对爆破降尘没有大用。就视频这么小一个范围，这水车的作用都可见的小，别说爆破更大的范围。,2022-10-17 03:35:22,0,0
这个真心好啊，要普及推广,2022-10-16 05:45:17,0,0
讲降尘没有必要的朋友，是没有见过或关注过肺病新闻or不怎么做家务吧[笑哭],2022-10-14 04:13:01,0,0
封面还以为流浪地球挖石头[doge],2022-10-12 15:28:50,1,0
街上都是这种类型的水雾除尘车（边走边喷,2022-10-11 10:43:13,0,0
左边这车站位明显摸鱼，好车陪好人,2022-10-09 07:10:52,0,0
我觉得线喷十几秒在启爆效果会好点,2022-10-09 04:49:18,0,0
火力压制,2022-10-09 02:36:34,0,0
想起来我们这边市政施工了，一年365天施工，但是又都有喷雾降尘，所以灰尘不多，夏天热了，路过还能被水汽凉快一下,2022-10-08 15:07:19,0,0
浪费，接管上面，一个喷嘴，直接一个天幕罩住,2022-10-08 11:11:22,0,0
土方法，老房子扫地尘土飞扬就洒水,2022-10-08 07:28:13,1,0
很有用   只不过下次记得两辆车离远点   交叉开火[点赞],2022-10-08 04:15:07,0,0
为啥不是提前把地面洒湿呢？,2022-10-08 04:02:51,0,0
这个其实属于义务性的，但大多数工地都能省则省,2022-10-07 23:36:00,0,0
说没必要的，很简单一个道理，如果没市场需求的话，大概率是不会有研发投入的，更不可能有量产和实际运用(拼死一个原型机而已)。有一种东西，叫做市场调研～[脱单doge],2022-10-07 13:25:38,0,0
是啊，别人都没你聪明，赶紧用你的办法，,2022-10-22 07:42:03,0,0
