评论,时间,点赞数,标签
禁止双弓,2023-03-12 16:14:30,0,0
麦克风支架,2023-03-12 16:09:29,0,0
所以电车是靠上面的电来跑的嘛？没有自己的蓄电池？,2023-03-12 17:19:19,0,0
科学家这么闲？,2023-03-12 15:47:44,0,0
以后可能会无接触式了，无线供电,2023-03-12 15:07:10,1,0
最近在搞弓网磨损,2023-03-12 15:43:43,0,0
电:我又弓又受！[吃瓜],2023-03-12 15:46:58,0,0
这是不是用到电车上面的,2023-03-12 15:27:58,0,0
如何应对下雨的情况？,2023-03-12 15:01:55,0,0
现在用的科技还是80年代的[doge],2023-03-12 02:13:51,4,0
原来火车都是靠电力运行的吗[笑哭],2023-03-12 16:00:09,0,0
@yeyeye05 越看越精神系列[脱单doge],2023-03-12 15:00:04,0,0
原来真是裸线,2023-03-12 15:06:23,0,0
轨交专业点赞,2023-03-12 15:00:47,0,0
困惑我許久了,2023-03-12 11:51:33,1,0
整个半导体行业提升了几千倍了吧,2023-03-12 07:50:14,3,0
用磁感应受电呢？变压器？,2023-03-12 14:34:40,0,0
不是有第三轨授流,2023-03-12 14:11:03,0,0
为啥只有一根线,2023-03-12 13:37:27,0,0
蓄电池连汽车续航都满足不了，火车那么大功率更不够,2023-03-13 03:11:10,0,0
有蓄电池，不过只是给车内一些设备供电，比如受电弓降弓之后再想升弓就得靠蓄电池来供能,2023-03-14 08:57:16,0,0
回复 @SmallBadEgg :我只是想象，不负责实现[doge],2023-03-12 16:18:08,3,0
那得多少铜线呀，而且还一直在运动，怎么切割磁感线都是个问题,2023-03-12 15:43:10,2,0
那还不如直接造磁浮,2023-03-13 03:07:31,0,0
有电力机车和内燃机车。,2023-03-12 16:31:43,0,0
这比物理课有意思,2023-03-12 15:18:29,0,0
我也是 一直以为是挂上的,2023-03-12 12:08:05,0,0
磁感应受电需要全程轨道都铺线圈，成本比一根线高多了，磁悬浮就是这么干的,2023-03-13 03:16:26,0,0
三轨有区别？？无非就是把接触线放顶上变成放底下，反而更不安全,2023-03-13 23:40:56,0,0
"第三轨是地铁用的，只能用750V低压。
国铁是25kV高压，第三轨绝缘做不到。",2023-03-13 03:20:36,0,0
第三轨供电有安全隐患,2023-03-12 15:53:09,0,0
这是火线，轨道是零线,2023-03-12 13:48:31,1,0
lv2这么牛？,2023-03-14 05:29:59,38,0
回复 @-屑萝卜蔡- : 广撒网的搬运号,2023-03-14 09:48:21,22,0
视频一卡一卡的看着太难受了[灵魂出窍]  能不能流畅点,2023-03-24 06:32:56,0,0
lv2这么牛？,2023-03-14 05:29:59,38,0
回复 @-屑萝卜蔡- : 广撒网的搬运号,2023-03-14 09:48:21,22,0
视频一卡一卡的看着太难受了[灵魂出窍]  能不能流畅点,2023-03-24 06:32:56,0,0
