评论,时间,点赞数,标签
第一次上的时候你压根没捅到底,2023-03-18 02:20:03,0,0
我的建议是大力出奇迹[doge],2023-03-23 07:05:42,0,0
第二次时，短的那一头为什么会想到，要往垢尖那穿呢,2023-03-17 16:25:30,0,0
买这个的会不会装？,2023-03-16 22:54:17,1,0
"看第一遍：这很厉害吗？
看第二遍：⊙∀⊙！",2023-03-15 09:22:30,0,0
一般铁皮折弯的那种挡板占多数啊,2023-03-16 06:20:13,1,0
先切断。装上后再焊接起来,2023-03-14 13:06:24,1,0
你说为啥人家要设计这么装,2023-03-15 12:26:48,0,0
大力出奇迹,2023-03-14 10:35:04,0,0
换钩子不好拿下来,2023-03-15 03:35:31,0,0
艹，鲁班锁,2023-03-14 11:54:37,0,0
脑子是好东西   不用可以捐了[doge],2023-03-23 10:30:43,0,0
[脱单doge]炫技脱钩,2023-03-14 11:17:49,0,0
直接锤,2023-03-16 04:54:18,0,0
