评论,时间,点赞数,标签
这水坝至少能造福后背几十代人,2023-03-22 15:37:55,0,0
工人的力量,2023-03-22 13:50:17,0,0
看着很简单嘛,2023-03-22 12:16:13,0,0
小时候还是经常在排水沟建水坝的[嗑瓜子],2023-03-22 15:30:20,0,0
啊？不是拿点方块搭一搭就完事了吗？,2023-03-22 15:18:00,0,0
不计成本项目。吊的一比,2023-03-22 14:52:35,0,0
快进的方式,2023-03-22 12:12:11,0,0
每天定时拍照的这个人工资高吗？还缺这种职位吗[doge],2023-03-22 14:17:29,1,0
不懂就问，建大坝的时候那些水呢？在哪流？,2023-03-22 14:57:13,0,0
是中国工人牛逼,2023-03-22 14:11:28,0,0
小时候玩泥巴大坝,2023-03-22 13:02:53,0,0
要不然怎么说美国是人类之光呢？这种大坝也只有美国才能建得[OK]起来。,2023-03-22 16:20:48,0,0
这个怎么做预算,2023-03-22 12:18:55,0,0
超级工程,2023-03-22 12:15:22,0,0
嗯，学会啦[思考],2023-03-22 12:05:35,0,0
两边是拿胀管连接的吗,2023-03-22 11:31:37,1,0
玛丽亚之墙[微笑],2023-03-22 13:10:11,0,0
有没有大坝建完后白给的案例,2023-03-22 14:31:32,0,0
在这个项目当项目经理能挣多少钱？,2023-03-22 12:32:38,0,0
不懂就问，这个大坝肯定不拖欠工资吧,2023-03-22 14:57:12,0,0
两边山体打空分流,2023-03-22 15:05:48,0,0
