评论,时间,点赞数,标签
我摔倒了[doge]，没有一百万别想起来,2022-12-12 05:20:34,0,0
这要回收好多废铁[doge],2022-12-12 05:14:40,0,0
但凡有个人过去撑住或者扶一下 也不至于损失这一百万。,2022-12-12 05:05:19,1,0
这叫改建，改路线，或者原公司电路不需要了，也有换大塔的，或者大换小,2022-12-12 05:00:10,17,0
建了又拆，拆了又建？,2022-12-12 04:45:52,0,0
牛逼,2022-12-12 04:44:31,0,0
牛逼克拉斯,2022-12-12 04:36:36,0,0
塞班，塞班,2022-12-12 04:32:39,0,0
这被砸一下不得青一块紫一块的？,2022-12-12 04:30:52,1,0
我看见过，把原来矮塔换成高塔的，感觉没多久就拆了重新装好,2022-12-12 04:25:12,1,0
上去扶一下啊！,2022-12-12 04:13:59,37,0
起尼玛的标题,2022-12-12 04:09:21,1,0
刀塔,2022-12-12 03:39:32,0,0
不会起标题就别起,2022-12-12 03:32:02,0,0
炸鱼了[doge][doge],2022-12-12 03:00:57,1,0
来个专业的说说，旁边那个更高的跟这个O型的有什么区别，输电是多少的,2022-12-12 02:17:08,0,0
塞班,2022-12-12 01:57:40,0,0
"你记不记得有一招从天而降的掌法？
鱼:RNM[喜极而泣]",2022-12-12 01:13:51,17,0
这标题很幽默,2022-12-12 00:03:48,0,0
怎么老是建了拆，拆了建,2022-12-11 23:46:27,0,0
祖宗之法不可变？,2022-12-12 05:45:26,0,0
时间长了为什么不拆？没有保质期的？,2022-12-12 05:20:51,0,0
不是东一块西一块？,2022-12-12 04:40:32,1,0
耐耐都给你A砸成D[doge],2022-12-12 07:21:25,0,0
奥特曼没上班.,2022-12-12 04:49:27,1,0
回复 @恩斯瓦 :哥斯拉呢,2022-12-18 15:27:58,0,0
同塔双回四分裂，双避雷线保护角小于零，应该是500kv,2022-12-12 05:00:12,0,0
旁边四分裂  应该是500的,2022-12-12 03:18:27,0,0
我是外行我看能挂的线比拉倒这个多[doge],2022-12-12 02:59:15,0,0
老化了或不适合了就拆呗,2022-12-12 05:46:08,0,0
设计的时候没想到发展这么快,2022-12-12 04:12:22,0,0
