评论,时间,点赞数,标签
直接用钛合金钢水一次性浇筑吧[doge],2023-01-12 17:04:16,7,0
这阵仗，国防工程吗？[尴尬],2023-01-12 16:05:27,7,0
筏板基础？,2023-01-13 03:16:37,6,0
超筋 并不好,2023-01-13 01:55:40,6,0
高架的墩子也差不多是这密度,2023-01-12 19:32:04,6,0
这不会超筋破坏？,2023-01-12 15:53:05,6,0
这一看都是国家的工程,2023-01-12 15:33:36,6,0
这水泥灌的进去吗？,2023-01-13 02:44:49,5,0
超筋了[doge],2023-01-13 02:44:46,5,0
三峡大坝不是能防核弹吗好像[笑哭],2023-01-13 02:03:58,5,0
这是金库吧？,2023-01-13 01:21:43,5,0
估计迪拜那个未来城[笑哭],2023-01-12 18:23:33,5,0
防核爆吗[doge],2023-01-12 14:35:39,5,0
这种密度的见过  整体结构这么大的是干嘛的？,2023-01-12 14:27:33,5,0
这个项目经理家里头应该是开炼钢厂的吧,2023-01-12 02:44:20,5,0
这是修防核弹避难所呢?[doge],2023-01-12 02:38:10,5,0
我觉得钢筋是老板娘生产的,2023-01-13 03:10:41,4,0
住里头电话都打不通吧。,2023-01-13 02:26:55,4,0
鬼鬼这么密的钢筋,2023-01-13 01:23:13,4,0
这是地基？,2023-01-12 23:34:12,4,0
钛合金抗压性能没有混凝土好，而且高标准混凝土不比钛合金便宜,2023-01-13 04:05:48,0,0
暴殄天物啊,2023-01-13 03:50:28,0,0
回复 @轨迹起源 :超筋指构件受拉区配筋量很高 不实用浪费并且发生脆性破坏 确实 我学建筑的但建筑力学也有一年的课[微笑]攻击性这么高是我抢你饭碗了吗,2023-01-14 03:42:49,0,0
回复 @小阿凯阿- :反正不好施工浇混凝土的时候有的忙了,2023-01-13 03:52:51,0,0
回复 @御坂__19090号_ :防空洞 实验室之类的吧,2023-01-13 03:33:48,0,0
回复 @冰封王者冰帝 :高架立柱的钢筋也差不多是这个密度,2023-01-13 05:07:24,0,0
高架桥使用的钢筋密度没这多。,2023-01-12 21:31:12,0,0
既然已经在建了，就说明没有超筋。,2023-01-13 00:24:41,0,0
超筋破坏常出现在梁正截面受压破坏，这个应该是地下连续墙基础或者综合管廊系统，受弯矩剪力不高,2023-01-12 18:35:47,0,0
混凝土都灌不进去，怎么看超筋,2023-01-12 17:03:46,0,0
领导：小赵，今天晚上来300方c50的灰，打不下去就让瓦工慢慢震，实在不行加点水。,2023-01-13 04:36:06,0,0
就你一个老实人，给你点个赞,2023-01-13 03:43:34,0,0
回复 @最爱的沁沁 :我没有房[笑哭],2023-01-14 03:56:26,0,0
你家小区也能防核弹,2023-01-13 02:07:44,0,0
回复 @12357467 :[笑哭][笑哭]沙特还是迪拜的，搞混了,2023-01-12 18:30:27,0,0
一说真的像，豪气，黄沙土，成条状,2023-01-12 18:27:56,0,0
这地基质量这么好该不会拿来只是造个房子吧[doge],2023-01-12 18:00:53,0,0
应该是沙特那个工程,2023-01-12 16:34:32,0,0
按图施工钢筋多了就项目经理家开钢筋厂，少了就是项目经理偷工减料，事情都是你们说了算。[打call],2023-01-12 12:59:58,6,0
