评论,时间,点赞数,标签
光栅都没有吗,2023-03-02 19:09:18,0,0
违规操作 不涨教训 活该,2023-03-03 02:22:35,0,0
机器 没停下 你就敢上去 我还能说你什么 就这点工资 何必拿命开玩笑,2023-03-03 02:26:26,0,0
激光切割，这个我干过。怎么想的，加工床转换也敢直接上去,2023-03-03 02:28:30,0,0
一带一带一带,2023-03-02 23:30:01,0,0
几千块一个月，你拼什么命呀,2023-03-03 14:31:02,0,0
唉,2023-03-02 12:49:43,0,0
我滴妈。。。。变成烧饼了吧。,2023-03-02 16:22:27,0,0
人才啊 真敢了,2023-03-03 10:17:50,0,0
。。。机器坏了就坏了啊，管不了就先别管[tv_冷漠],2023-03-03 04:39:47,0,0
这种有大型机器的工厂出事的好多啊，我一堂哥就在那种厂工作，然后他们厂出了好多次这种事故了，好危险,2023-03-03 12:32:12,0,0
老板也怕员工出事,2023-03-03 03:38:10,0,0
违章作业,2023-03-02 13:36:14,0,0
还有推车掉进炼钢炉的,2023-03-03 14:35:08,0,0
你一个月拿3k，拼什么命啊,2023-02-24 06:50:50,0,0
人怎么样啊啊啊啊啊啊啊啊啊[大哭][大哭],2023-03-03 04:35:17,0,0
操作机器大不了提桶跑路拼什么命啊,2023-02-26 06:56:51,0,0
玩什么命啊？,2023-03-02 16:01:02,0,0
安全第一 干啥都记住了。,2023-03-03 13:22:40,0,0
这一年得挣十万吧,2023-03-03 02:03:45,0,0
回复 @热情哪去了 :只能说心急了,2023-03-03 15:03:32,0,0
激光切割交换台，应该还有料没卸下来跑上去拿的,2023-03-03 13:39:46,0,0
毕竟少了一个为他卖命的好员工[吃瓜],2023-03-03 07:01:10,0,0
