评论,时间,点赞数,标签
这种工友看了影响心情,2023-01-06 14:50:27,6,0
典看热闹不嫌事大。hihihihi[吃瓜]看别人吃亏比自己捡便宜还开心,2023-01-06 14:23:10,8,0
前一个工人个子矮，腿短，没法踩住旁边的铲车斗子。所以站在一边轮锤。红衣服的个子高，勉强能跨在两边。所以旁边的铲车能往前靠靠就行了,2023-01-06 22:48:55,7,0
这是混凝土没放干净结块了？,2023-01-06 22:41:31,3,0
"看完这个视频我的感受是：
哎呀呀，连这么点小事我都做不好，下次别找我了；
哎呦给你能耐坏了，这么能干，往后活儿都给你啊。",2023-01-07 02:02:48,7,0
干活那不叫挣钱 摸鱼才叫挣钱[doge],2023-01-18 09:12:12,2,0
水泥在这桶里凝结了一层？[辣眼睛],2023-01-07 07:37:04,2,0
后面那个大哥是有经验的，先砸洞的上面。会干活！,2023-01-07 06:17:10,5,0
不会有人觉得抡大锤像看上去那么简单吧,2023-01-07 04:22:53,5,0
拿锤子的手势不对 而且单手就想把锤子撸起来  但是力量不够,2023-01-07 04:13:21,5,0
"人矮没有大力气，
脚下位置发力困难。
就这么简单。",2023-01-07 04:00:41,2,0
不厚道的笑了,2023-01-07 03:45:33,2,0
快点靠，靠蛮，好像是我老家那边口音,2023-01-07 01:53:05,2,0
有没有可能是前面那个腿太短，分开够不到铲斗上面？所以才那样站？[思考],2023-01-07 01:26:40,5,0
为啥笑的那么开心[doge],2023-01-06 10:17:22,5,0
上抖音上的胶带粘上啊,2023-01-07 02:51:47,5,0
两千的跟两万的区别,2023-01-07 04:03:38,3,0
第一个站位不好发力，,2023-01-07 01:39:51,5,0
八十、八十、八十[妙啊],2023-03-09 12:15:04,1,0
这up你爸怎么不来抡大锤阿？,2023-01-27 12:08:42,1,0
这种人如果是你工友咋办,2023-01-07 04:28:08,0,0
一层都算好的，罐底那是一大坨的。[doge][doge],2023-01-07 08:18:44,0,0
大学金工实习抡过，真的不好抡,2023-01-07 04:48:02,0,0
搞笑,2023-01-07 04:24:51,0,0
回复 @日月凯冠军 :云南交投[doge]（云南人的口音不止一种哦）,2023-01-07 03:03:05,0,0
我可以肯定是四川话,2023-01-07 02:11:56,0,0
反正不是我的车车[吃瓜],2023-01-06 11:55:06,1,0
看热闹不嫌事大咯，他都拍视频了，嘻嘻一下怎么了[吃瓜],2023-01-06 12:51:44,0,0
