评论,时间,点赞数,标签
流浪地球里的重型机械就是徐工造的。我看过！,2022-08-07 04:17:50,1,0
就见过300顿而已[脱单doge],2022-08-06 15:02:53,1,0
还以为是蒸汽朋克风格的CG呢,2022-08-06 13:42:59,1,0
不愧是国企!,2022-08-06 04:34:45,1,0
开这个一定很爽吧[doge],2022-08-05 11:22:59,1,0
流浪地球既视感[doge],2022-08-04 05:04:56,1,0
这是反应塔吗？,2022-08-03 11:02:52,1,0
说一勾近百万的太小看它了。履带吊都是现场组装的，非直接运输。光分批运输费和组装费可能就得近百万。,2022-08-02 12:03:46,2,0
这多少钱一斤啊,2022-08-02 06:35:06,2,0
15年现场看过。还存着照片。,2022-08-01 21:17:25,2,0
XGC88000,2022-08-01 08:36:42,1,0
有柴油朋克那味了,2022-08-01 07:53:27,2,0
看到这些，再贫穷也会感到自豪[doge],2022-08-01 00:56:34,4,0
有点科幻的感觉了,2022-08-01 00:07:22,2,0
这要是天再有点雾，更震撼,2022-07-31 18:07:48,1,0
芳烃抽余液塔？,2022-07-31 16:09:34,1,0
让我想起了尼尔机械纪元序章的机器[妙啊],2022-07-31 15:13:46,1,0
焯，看到第一眼我竟然开始思考受力分析[辣眼睛],2022-07-31 14:24:48,2,0
这工作一小时得多少钱啊,2022-07-31 09:37:15,2,0
4.....千？在我认知里这太了不起了,2022-07-31 09:28:25,2,0
肯定有合同的，不会只吊这一个，会建设一个周期。这种大型化工厂像这类大型塔器还有不少,2022-08-06 14:35:30,0,0
可能得千万级了。,2022-08-06 05:15:10,0,0
回复 @喜欢伪学霸 :我找下。,2022-08-07 23:33:39,1,0
想看照片[呲牙]可以发我看看拓展眼界吗,2022-08-07 16:26:02,0,0
这里面展示的是工业的美，发病请到发病区去,2022-08-06 14:38:18,7,0
哎哎哎不是说这个的时候[doge],2022-08-06 06:04:17,1,0
回复 @一波琉璃 :[给心心]原来陈述客观事实就叫发病啊  属实是蒙住眼睛了,2022-08-08 23:38:11,0,0
有雾就不开工了[脱单doge],2022-08-07 14:46:19,0,0
臭打工的还想要多少？[傲娇],2022-08-06 11:09:43,1,0
五毛不能再多了,2022-07-31 16:11:15,0,0
