评论,时间,点赞数,标签
有弹幕说这玩意十几万，你去谈个十几万的下来看看有没有人干，有人干的话他干多少我吃多少,2023-01-25 03:21:17,0,0
这坍落度至少180了吧,2023-01-25 02:42:00,0,0
没有手机信号,2023-01-11 07:25:41,0,0
这配筋率多余了吧[辣眼睛],2023-01-08 12:40:53,1,0
建议换成全钢结构[doge],2023-01-05 17:32:22,0,0
这种风电工程像个小孩子,2023-01-05 16:06:43,0,0
这不是环形基础吗,2023-01-05 15:22:58,2,0
长城打地基呢[doge][doge],2023-01-05 11:43:01,0,0
钢筋混凝土就像番茄炒鸡蛋一样，全是番茄！,2023-01-05 09:22:57,0,0
城市地下综合管道仓,2023-01-05 03:06:35,0,0
秦始皇陵里面就是这样的，而且用的合金，所以才一直打不开。[tv_doge],2023-01-05 01:22:54,0,0
这不得好几万啊,2023-01-04 13:51:54,0,0
这么多钢筋，没有50万下不来,2023-01-04 09:42:17,1,0
能抗3000psi冲击载荷不[doge],2023-01-04 06:58:49,0,0
这三级地震震不坏吧,2023-01-04 05:00:10,0,0
这是我家鸟笼,2023-01-03 11:17:31,0,0
这还浇啥混凝土，换铁汁！,2023-01-03 03:18:24,0,0
建行星发动机,2023-01-02 14:34:51,0,0
外行看热闹,2023-01-02 11:42:50,0,0
以前做储煤筒仓差不多也是这结构,2023-01-02 09:09:23,0,0
