评论,时间,点赞数,标签
摄像头不要给我啊,2023-01-04 05:51:22,2,0
摄像头:我录着呢，你拆一个试试,2023-01-03 11:46:11,2,0
哪里来的二把手，这种房子从上往下拆，还去掏洞也不怕把油缸砸了。,2023-01-03 09:35:06,2,0
比很多人的房子都要好,2023-01-03 02:44:01,2,0
电都没断，就开挖？,2023-01-03 01:10:41,2,0
moss没有叛逃,2023-01-29 16:38:38,1,0
先给Moss拆了防止搞破坏是吧,2023-01-28 05:45:59,1,0
不在上风头，非要在下风头。。,2023-01-22 17:14:45,1,0
《挖机扒老房子》,2023-01-20 15:16:16,1,0
摄像头:谢谢你治好了我多年的颈椎病,2023-01-20 13:49:32,1,0
这种房子，视频长度一分46，才拆了一个角…玩呢？这种小房子，3分钟摆不平真的歇着吧,2023-01-11 15:56:12,1,0
挖机磨洋工[吃瓜],2023-01-09 07:24:31,1,0
赵三金快乐车[doge],2023-01-09 03:11:42,1,0
不知不觉看了3遍,2023-01-08 06:15:42,1,0
挖什么老房子？,2023-01-06 14:50:20,1,0
挖什么,2023-01-06 08:20:34,1,0
里面还亮着灯,2023-01-06 08:19:30,1,0
盖个茅屋住就行了。田地里盖这这么大房子。,2023-01-06 07:50:02,1,0
拿挖机拆房子，有点毁机器啊,2023-01-06 05:37:27,1,0
真敢站这 不怕飞出来一块石头给你爆头了,2023-01-06 02:26:33,1,0
我也想要,2023-01-05 10:58:48,0,0
八成是违建[doge],2023-01-03 04:25:16,0,0
给你点赞,2023-01-08 06:55:10,0,0
