评论,时间,点赞数,标签
我还以为想出啥,2022-12-27 13:07:16,0,0
厉害厉害,2022-12-27 04:41:03,0,0
上面有塌方的可能，还敢下去这得多少工资,2022-12-25 08:13:22,0,0
有钱，啥都不叫事。,2022-12-24 12:36:52,0,0
盾构机怕石头？开玩笑,2022-12-24 07:48:19,0,0
首先，这工作强度就不是三四百日薪有人干的，其次还那么危险。,2022-12-27 06:08:08,2,0
这个隧道就s了三个，好像是不知怎么搞得在进去带压操作时起火了。,2022-12-28 10:25:31,0,0
回复 @ysl果子 :的确，我平时用工人，正常作业大工350小工200，如果是高空作业看高度大工450起步。这高危作业最起码要700起步才有人干。,2022-12-28 05:10:50,0,0
把你装前面就好了,2022-12-26 08:10:30,10,0
真的怕石头，盾构机一般用于松软含水底层，不怕石头的是tbm,2022-12-24 17:26:16,4,0
不是怕石头的问题，而是这石头一开，上面的石头一坍塌，然后隧道会直接崩溃掉，厦门地铁一号线因为是高架跨海，所以说就没这烦恼,2022-12-24 08:00:49,3,0
