评论,时间,点赞数,标签
"大型齿环吗？
还是超大口径管道法兰？[辣眼睛]",2023-03-19 08:53:19,11,0
就这？这点强度？还没我嘴硬……[2233娘_第一],2023-03-21 14:31:16,1,0
这要给我来一下，我不得脱层皮,2023-03-20 05:45:15,1,0
你这都不算什么，中间体育生，后面忘了[doge],2023-03-20 02:49:19,154,0
这种力道下这金属的密度会增加吗[奥比岛_搬砖],2023-03-19 17:09:36,2,0
这呼啦圈我也就能转个万把圈吧，我们体育生基本都能做到,2023-03-21 03:29:52,1,0
硬的太妃糖,2023-03-19 17:13:28,1,0
没看到体育生我不是很认可,2023-03-20 05:02:09,1,0
重压之下必有星火,2023-03-22 01:58:54,1,0
这样压不会金属疲劳吗？[热词系列_知识增加],2023-03-22 13:05:16,1,0
法兰,2023-03-23 14:56:00,0,0
这个牙齿嚼得动吗,2023-03-24 05:10:46,0,0
轮毂吗,2023-03-23 11:58:53,0,0
不能先铸造一下吗,2023-03-24 04:51:51,0,0
妈蛋工地摸过刚停的挖机勾子，估计跟这原理差不多,2023-03-24 09:12:23,0,0
谁的甜甜圈，做好了,2023-03-23 14:41:36,0,0
这是大型旺仔牛奶糖,2023-03-23 18:00:06,0,0
直接生压？,2023-03-24 11:37:53,0,0
这牛轧糖我吃过，就是咋咬都咬不开,2023-03-24 01:25:30,0,0
着火的东西是什么？金属里面掺杂的碳吗？,2023-03-24 03:28:54,0,0
我知道，你是体育生是吧[脱单doge],2023-03-20 08:02:34,0,0
回复 @夜未央泪微凉 :人和人的体质不能一概而论[doge],2023-03-20 10:46:54,0,0
交白卷是吧,2023-03-20 09:05:22,3,0
开卷零分是吧[doge],2023-03-20 04:45:23,3,0
我觉得会,2023-03-20 07:05:05,0,0
回复 @陈小桥 :你是对的,2023-03-20 12:13:01,0,0
锻造是强化，后面的热处理去应力,2023-03-22 16:40:07,0,0
