评论,时间,点赞数,标签
所以主旨是啥,2021-08-08 15:10:07,0,0
印度没有文明,2021-08-08 06:03:45,0,0
多次说三峡没出问题很庆幸，合着作者你就没信任过这么大的国家工程，预设立场就是会出问题是吧,2021-08-02 18:19:15,0,0
。。。啥玩意。。拉黑拉黑,2021-08-01 13:43:20,0,0
我一个学水利的觉得你说的完全是放屁[藏狐],2021-07-30 17:17:45,0,0
这。。有点内味，说了一顿和什么没说一样,2021-07-30 15:49:54,0,0
水平太低了[捂脸],2021-07-30 09:28:46,0,0
但凡是钢筋混泥土也不至于被老鼠弄塌，白蚁倒是有点机会。,2021-07-30 04:55:54,0,0
元素周期表河,2021-07-19 15:24:47,0,0
这是我国的强项！可以帮助到邻国！,2022-10-28 17:52:48,0,0
"你在这说锤子呢，自己都不能，百分百搞清楚这件事情，各这骗播放量，就当你放了个
屁",2022-10-08 11:50:18,0,0
自嗨  宇宙第一强国,2022-09-21 08:56:14,0,0
该死的自媒体,2022-08-26 16:49:34,0,0
是列害 42年建造时间是牛逼,2022-07-27 10:42:02,0,0
乐色,2022-07-22 09:41:10,0,0
营销号,2022-07-01 22:24:30,0,0
我是在看印度笑话的，而不是在看印度对比中国的差距[呆],2022-06-24 14:54:29,0,0
听个寂寞……说个寂寞，点个寂寞，我无语,2022-06-21 01:33:25,0,0
