评论,时间,点赞数,标签
2015年的三分之二？怎么不说公元前300年全地球总量！,2021-05-07 00:27:58,1,0
您真有钱,2021-06-02 05:37:04,1,0
还是少，应该造20个以上。,2021-05-04 03:26:05,1,0
电费有下降了,2021-04-21 09:25:36,1,0
大国重器，我最喜欢了😘,2021-05-03 03:40:46,1,0
21年高考考题。,2021-06-02 04:59:51,1,0
请问UP主用的是哪个地图？看起来很好用呀[星星眼],2021-04-25 06:24:49,1,0
啥时候在雅鲁藏布江也修个水电站，看阿三还不对我们恭恭敬敬,2021-05-30 00:05:53,1,0
斩龙脉（,2021-06-02 11:41:50,1,0
1600亿=1700万千瓦，2300亿=2250万千瓦。,2021-04-20 16:28:06,0,0
当年我听说是说修个小水电站啊？[思考],2021-04-30 13:36:13,0,0
去参加培训的时候培训老师说其实云南许多水电站都没有火力全开，因为发电不是你想发就能发的，要看你有没有指标。为此许多电站到处求爷爷告奶奶的要指标。不然就要暂停部分机组。,2021-06-02 05:48:53,0,0
能别用来挖矿吗？,2021-04-27 16:44:03,0,0
不懂就问，北京耗电量这么高的么？世界第二的水电站一年发电量都不能供北京一年？,2021-06-02 05:48:32,0,0
80%的比特币从中国挖出,2021-04-19 12:34:18,0,0
红军长征渡过金沙江的地方,2021-04-20 03:48:24,0,0
up主这id我以为是西班牙语有关的视频[doge],2021-06-02 05:51:26,0,0
确实对家乡有作用，以前只有一破烂省道通西昌，前几年翻新了一遍，现在高速也在修了。,2021-04-29 14:20:34,0,0
https://b23.tv/BV1x64y117W8 都是建设者哈哈哈哈哈,2021-06-02 06:07:19,0,0
在地震带周围修电站真的好嘛,2021-06-02 06:08:43,0,0
[doge]也可以说至少够你敲键盘发一辈子评论,2021-05-10 21:51:42,2,0
