评论,时间,点赞数,标签
乌东德水坝（钨东的水坝）滑稽jpg,2017-11-22 00:52:02,0,0
我想要中国太阳,2017-11-21 14:12:13,0,0
一看到这个片头就点XX，能不能换个低调点的片头[洛天依_无言以对],2017-11-21 07:44:57,0,0
分镜不够，三峡来凑～(￣▽￣～),2017-11-20 23:48:14,0,0
简介写的什么乱七八糟的?,2017-11-20 17:44:10,0,0
金沙江已经驯服了，那么什么时候驯服怒江呢？(｀・ω・´),2017-11-20 15:49:21,0,0
2020年真是个神奇的年份(｀・ω・´),2017-11-19 04:18:00,0,0
当地人受罪←_←,2017-11-18 23:42:38,0,0
这个up在b站是不是有人，每次不是错别字一堆就是念错字，要不就是视频乱扯，就这样还高产,2017-11-18 14:45:10,0,0
我就想知道节约1000多万顿煤怎么会减少2000多万顿的二氧化碳排放？,2017-11-18 14:24:29,0,0
葛洲坝集团还是厉害→_→,2017-11-18 02:35:53,0,0
一看封面就知道是乌东德水电站,2017-11-17 12:35:49,0,0
85万千瓦概念。40台高铁同时在跑，12个85，大概这座水电站可以让400-500台16节的高铁同时跑起来,2017-11-17 11:51:08,0,0
2020神奇的一年,2017-11-17 11:32:54,0,0
看弹幕都在说2020年会是个神器的年份。没错，你们猜对了[微笑],2020-06-18 00:44:58,0,0
我认为这是在修一座桥,2020-01-21 01:08:08,0,0
除去三峡不是坝,2019-05-10 15:29:25,0,0
正义站在乌方！,2023-03-21 01:36:07,0,0
超级无敌哦~  （滑稽,2017-11-21 15:05:27,0,0
"“四大金刚”的体量之大，我只能说祸福难料。你希望家乡发展的心情我可以理解，但是我们应当从长远去看。当年我的发言也确实具有非理性的成分，希望你能理解。
长江三峡可以说是利大于弊。
但溪洛渡，向家坝，乌东德，白鹤滩这四大水库和上游在规划的上虎跳，两家人这几个体量小一些的，对于当地生态环境的影响在评估时却显然受到了一定的轻视。而且水电的弃电问题也很严重，其实很多水电站现在都无法完全地发挥它们预期的综合效益。这些内容如果感兴趣地话你也可以进行一些了解，也许能让你更加理解我的态度。",2019-10-29 15:27:22,0,0
哪受罪了？我就是云南的！巧家这个电站最少论证了15年！我还在小学就在计划！,2019-06-10 20:50:32,0,0
它的蓄洪，发电功能也让当地人受益←_←,2017-11-19 00:24:32,0,0
回复 @一个人用黄瓜:我也是,2017-11-20 04:52:50,0,0
我把它屏蔽，没想到换马甲了,2017-11-20 04:16:34,0,0
挑刺前先把初中化学学了→_→,2017-11-19 08:30:25,1,0
同学，多读书还是有用的,2019-05-08 01:36:03,0,0
同学，你是逗比吗,2017-11-29 17:06:29,0,0
瞎说啥,2017-11-18 05:39:39,0,0
全国同时在跑的高铁加动车估计也就2000-4000台左右。,2017-11-17 11:52:30,0,0
