评论,时间,点赞数,标签
建水坝一切为了减少越南人民的洪涝灾害伤害[滑稽],2020-07-20 18:07:40,2,0
猴子们，再闹让你们交水费。,2020-07-20 10:34:43,2,0
你这个三角洲还真nb,2020-07-20 09:12:39,2,0
越南北部这块地挺肥沃啊，挺好的。,2020-07-20 06:26:08,2,0
南水北调,2020-07-19 15:19:52,2,0
好地方啊，如何才能变成我们自己的,2020-07-19 12:50:13,2,0
红河盛产大红河,2020-07-19 11:37:20,2,0
在我自己家修水坝咋地了?,2020-07-19 09:58:33,2,0
越南不服越南也建不就行了,2020-12-22 04:29:22,1,0
真以为断流就能断水？xxs这么多,2020-08-28 16:16:37,1,0
这样一想，北越本来有成为中国永固领土的条件，云南都能控制，顺流而下攻打的话，应该也不难吧[思考],2020-08-05 13:02:02,1,0
越南猴子🐒要是不老实！水淹T娘的,2020-08-05 01:58:20,1,0
这不是高中地理的内容吗？不会还有人觉得建几座水电站就会断流吧，不会吧不会吧,2020-08-04 05:29:24,1,0
评论区fxs主义飞起,2020-08-03 04:09:49,1,0
我们不光要拦截他母亲，还要让他母亲的猕猴猴没有他母亲的水喝[OK],2020-08-02 07:20:14,1,0
把红河引导到中越边境河道,2020-08-01 19:54:57,1,0
呃，你确定几十个？不到六百公里的河流，很信口开河，不要搞的这么幼稚化观众,2020-07-23 00:37:14,1,0
讲讲曲靖[偷笑],2020-09-26 01:39:05,0,0
过桥米线之乡、中国石榴之乡、锡矿铅锌矿丰富、回族、哈尼族等多民族聚集地、有个大清真寺,2020-09-13 03:50:48,0,0
越南有皇帝吗？,2020-09-12 17:05:54,0,0
本来就交,2020-07-21 15:45:08,0,0
红河三角洲，就像中国的珠江三角洲和长江三角洲，都是冲积平原,2020-07-20 13:08:57,1,0
