评论,时间,点赞数,标签
永远不要高估网络上一些人的智商，尤其是愚民教育下的一些外国人的智商，真的很低,2019-07-08 12:48:29,2,0
大坝要进行抗裂验算的，有过大的裂纹都不行更别说形变了,2019-07-08 12:28:06,2,0
三峡在湾湾那儿已经跨了16次了，每年汛期跨一次,2020-07-04 16:33:24,1,0
我住秭归十几年了，我看着挺好啊[洛天依_看透一切],2020-06-24 14:34:16,1,0
时隔一年又有人信了[吃瓜],2020-06-22 06:59:03,1,0
谷歌地图每个星期一都会发现中国学校有大批的人在练武功！,2019-07-31 15:50:44,1,0
看到机场跑道瞬间笑喷[小电视_笑],2019-07-09 05:10:26,1,0
只能拭目以待，时间会决定一切,2019-07-09 04:19:24,1,0
我在推特上看人家说偏移了41米，真的，当时👴就傻了，这上面白痴咋这么多,2019-07-08 17:24:23,1,0
三峡大坝能拦住长江的力量，要是真的可以变形，是不是能吊打霸天虎，称霸塞伯坦了？,2019-07-08 16:26:42,1,0
看来是三峡大坝下的青铜城内的青铜与火之王苏醒了，是时候屠龙了。[蛆音娘_滑稽]所有在中国内B级以上的学员都集合了。,2019-07-08 15:40:43,1,0
又特么是第五纵队干的好事，油管上太多了，愚民太多了,2019-07-08 15:28:32,1,0
哈哈，我平时比较喜欢用谷歌地球看其他国家景致，经常看到车扭曲，人没头或没脚，阿尔卑斯雪山雪线之上突然没雪的。其实就是图片合成时，为了保证地图的衔接而导致错乱。,2019-07-08 15:16:20,1,0
我想会不会是热气流使光线发生曲折，超远距拍摄就会这样,2019-07-08 15:12:56,1,0
都是不能说的记忆，当年我们云岚宗大长老，飞升仙界，上半身刚挤进仙界，看到飞龙清啸，便擒拿巨龙，炼制仙器，塞回下界，后几经周折，便放在江上拦水，如果你看见它动了，千万不要惊讶，仙器有灵，翻了个身。[画风突变][画风突变],2019-07-08 15:06:52,1,0
美国怕是学我国的ps技术没学到位吧？这点点的弧度，想我们的美少女p图，连人脖子都能s形走位呢,2019-07-08 15:06:14,1,0
有的人的照片边上的桌子人都扭曲180度了，还能说这是真的？,2019-07-08 14:11:13,1,0
现在这时候出个这谣言，啥目的不言而喻，可惜国内还不少文盲起哄的,2019-07-08 13:35:31,1,0
你这是散光啊同学[滑稽],2019-07-08 13:21:26,1,0
三峡就是一座山，自己想,2019-07-08 12:59:11,1,0
外国人还有一帮傻子弄了个地平说，宣称地球是平的，关键还一群人信,2019-07-08 14:04:03,1,0
还有国内的,2019-07-08 14:34:30,0,0
最近tg有一群人天天大坝大坝😂看的笑死,2019-07-09 00:43:07,0,0
流弊,2019-07-08 17:16:39,0,0
回复 @黑白年華 :那条看看就好了，小心夏弥不爱你们了。[蛆音娘_滑稽],2019-07-08 23:10:16,0,0
要不要顺便看看北京地铁里的那条啊(〜￣▽￣)〜,2019-07-08 16:56:52,0,0
同学，你复读了,2019-07-08 14:53:42,0,0
回复 @ShunLeung2 :大陆叫语文老师，顺便说一下，三峡大坝每年都会变形一次[偷笑],2020-06-25 20:43:51,5,0
回复 @ShunLeung2 :这个新闻每年一次，我都懒得辟谣了。你们啊,2020-06-28 03:04:53,3,0
每年总有这么几天，哎，最可恨的是有人信,2020-07-11 08:44:09,2,0
回复 @ShunLeung2 :大陆叫语文老师，顺便说一下，三峡大坝每年都会变形一次[偷笑],2020-06-25 20:43:51,5,0
回复 @ShunLeung2 :这个新闻每年一次，我都懒得辟谣了。你们啊,2020-06-28 03:04:53,3,0
每年总有这么几天，哎，最可恨的是有人信,2020-07-11 08:44:09,2,0
