评论,时间,点赞数,标签
天天操心鱼鱼鱼的，你能想得到的，专家想不到？,2021-07-06 16:15:46,1,0
https://b23.tv/BV1pf4y1s7xj 羡慕up👏👏,2021-06-02 06:36:50,1,0
为什么最近会缺电？,2021-05-29 18:17:25,1,0
这两边的厂房可以拍电影了,2021-05-09 00:09:59,1,0
现在白鹤滩也收尾了[笑哭],2021-04-18 04:16:11,1,0
2021年4月，白鹤滩水电站开始蓄水拉！,2021-04-06 13:41:54,1,0
好像中国的那个在建水电站建成以后会是世界第三大水电站，我忘了[tv_白眼],2020-12-29 15:01:29,1,0
以前课程设计做水轮机的设计，感觉太复杂了，一直云里雾里,2020-12-24 08:24:24,1,0
嘿嘿，你猜洞里除了发电机组还有啥？[墨镜],2020-12-18 15:24:53,1,0
基础操作，并不激动 [doge],2020-12-18 14:43:15,1,0
为什么现在才验收啊，这什么说法,2020-12-13 12:25:06,1,0
十几年前就在想着雅鲁藏布江了[妙啊],2020-12-12 17:55:38,1,0
快进到开发雅鲁藏布江吧[打call],2020-12-12 15:17:18,1,0
唉，干水电工程的干2-3个这辈子就过去了……,2020-12-12 14:27:39,1,0
这些都是要载入史册的。,2020-12-12 12:01:50,1,0
拱坝[doge],2020-12-12 11:49:03,1,0
家乡发展越来越好，针不戳,2020-12-12 11:38:52,1,0
接下来去哪里[吃瓜]红旗河吗[doge],2021-04-18 04:16:41,0,0
汽车人,2021-05-21 15:24:28,0,0
三峡验收么？因为分为不同项目的检测，不同项目完成时间也不同，整体的验收就是最后一个项目完成后的验收时间，所以整体完工到整个三峡项目验收中间间隔很长时间,2020-12-13 15:18:10,1,0
