评论,时间,点赞数,标签
不怕天灾不怕敌人，就怕自己人祸害,2018-01-11 07:23:21,2,0
那我就放心了(⌒▽⌒),2018-01-11 06:57:07,0,0
对三峡的任何军事行动中国都将以核回应,2018-01-11 06:34:08,3,0
三峡大坝在我国腹地，不可能保护不了,2018-01-11 06:25:31,0,0
不怕人祸，就怕天灾。,2018-01-11 06:15:43,0,0
我不信(〜￣△￣)〜，哪怕是炸出裂痕也可能被水压冲破,2018-01-11 06:13:47,3,0
不敢保证未来美利坚未来恐惧 拼个你死我活的可能……,2018-01-11 04:46:46,4,0
那也抵不过涉密,2018-01-11 04:41:17,0,0
如果被打坏了我们可能在这个世界上直接看不到这个国家了[小电视_发愁],2018-01-11 04:36:31,2,0
感动歪脑筋的多的是，敢动手的就。。。,2018-01-11 04:11:36,2,0
17楼惊现逗逼,2018-01-11 03:50:03,0,0
天下谁敢动,2018-01-11 03:45:40,0,0
简介竟然是台词……,2018-01-11 03:13:53,0,0
天下歪脑筋,2018-01-11 03:10:13,2,0
说类和真类是屁类,2018-01-11 02:45:39,0,0
天下大坝,2018-01-11 02:40:02,0,0
天下大坝,2018-01-11 02:35:58,0,0
嘻嘻嘻,2018-01-11 02:35:31,0,0
前十 略略略,2018-01-11 02:34:16,0,0
10！,2018-01-11 02:34:06,0,0
感觉他就是在安慰老百姓,2018-01-11 07:37:20,1,0
这是混凝土重力坝……,2022-07-15 02:25:15,0,0
回复 @榆关千帐灯 :好像是，全世界核打击,2022-06-06 12:58:27,0,0
回复 @月球首富 :你当中国还是晚清时期?我告诉你，在第一岛链作战的情况下，八国联军来了也是送死,2018-11-21 11:02:40,1,0
回复 @马蓉小逼:中国赢不了，外国也不会赢，大不了一起死,2018-01-12 01:00:46,1,0
回复 @月球首富 :不要什么事都想的那么悲观，现在再来八国联军除了美国其他加一起都是送（我说的新八国联军不包括俄罗斯）,2023-02-06 03:35:07,0,0
你说嘞啥(≖͞_≖̥),2018-01-11 02:53:34,0,0
