评论,时间,点赞数,标签
按购买力来算，现在的电费比之前的八分还要低…我们这现在五毛多。三十年前的八分起码要等于现在的八毛，这样算的话，达标了,2020-09-04 10:28:03,5,0
8分要算还是可以的，货币是有时间价值。如果算上时间价值，现在电价才几个钱。算回来还真差不多是8分呢。求来个高手算下呗！,2020-09-04 10:19:52,5,0
现在的民用电价还不够低吗？这还有人不满意啊！,2020-09-04 10:20:24,13,0
通货膨胀了，90年8分钱和现在8分不是一个概念,2020-09-04 08:39:21,5,0
我只知道，三峡为筹集资金，在全国用电每度是多收钱的，多收的钱用于三峡建设，现在这个钱有没有降下来？或者是怎么弄？后来就不知道了,2020-09-04 08:30:51,33,0
失踪人口回归！,2020-09-04 06:05:57,5,0
[doge]有些人是为黑而黑，之后哪管洪水滔天,2020-09-04 05:28:40,11,0
"谣言的传播确实挺让人摸不着头脑。但是从早年战忽局前辈的实践来看，以“悖逆主流”且“主打信息差”的说辞最具潜力。一方面是人们的猎奇心理，另一方面也归功于当时某些非主流社区的扭曲文化。
比如当年穆好古的名作“三亿金卢布”，就是在另一个美分论坛由真相党们引爆的[吃瓜]",2020-09-04 05:12:57,10,0
国家电网是赔钱的，你还想咋地？,2020-09-04 08:49:29,8,0
点开评论区，丰富黑名单， 心满意足的离开,2020-09-06 03:35:36,10,0
连老外都知道三峡设计供电量预计占全国供电的10%，实际2%，还三分之二搁着造谣呢[疑惑],2020-09-04 12:37:53,6,0
三峡是恨国党，境外势力攻击污蔑最多的工程，没有之一，从开建到现在，从没停过。,2020-09-06 01:40:02,10,0
看到弹幕说美国晚上用电不花钱和美国电费更便宜 我突然感觉自己不是在美国生活了 美国晚上用电当然花钱 9点以后是谷电 但坑爹的是每个月谷电总额是有额度的 超过就会比峰电还要贵 不知道国内电费情况 我在加州 一家两口每月电费100刀左右 ps. 家里没有空调,2020-10-01 20:45:05,4,0
随便查一些数据或者论文都能查到，1990年全年用电量就有6000亿千瓦时了，三峡2014年一年的发电量988亿千瓦时，即将放到90年代，这个三分之二的发电量的说法也是很离谱,2020-09-05 21:47:43,8,0
库区人民记得真真的，那时候三峡大坝还没开始修，搞了个模型放在大会堂里展览，里面介绍的三峡大坝修好以后，库区电费降到8分一度，（大概有种补偿库区人民的意思）当时非常惊叹，现在还有印象,2020-09-05 15:59:06,10,0
租房2元电费？那是黑房东干的事，关国家什么事？？,2020-09-05 13:21:57,4,0
电费我不知道，我只知道三峡没建好之前老是停电，停电就是常事，现在除非线路有问题一般都不会停电,2020-09-05 11:32:41,4,0
供全国2/3的电量本身就是瞎扯蛋，8分钱一度电更是想屁吃,2020-09-05 09:01:16,4,0
九十年代的八分一度比现在贵好吧,2020-09-05 08:53:01,4,0
"电价这东西一般分民用  商用 工业用  商用最贵 一块多  民用基本在五六毛  各地物价局有民用指导线
工业用由于有的有补贴 加上错峰奖励 所以最低",2020-09-04 14:38:06,4,0
1990—1998年，我们家电费是2元一度，没有联网电，线路是私人承包的。,2020-09-04 11:25:41,0,0
三峡没有收电费的权利，它就是个发电的。国家电网从发电机构买电，再卖给我们。,2020-09-04 10:13:11,15,0
每度电加0.003元，西藏免，2009年彻底结束，三峡做好了。,2020-09-04 13:19:28,9,0
回复 @星海遗尘 :可能我表达有误，是三峡建设的时候，为筹集资金，提高了电费,2020-09-04 10:27:37,8,0
回复 @v浅色年华v :那倒是，国电承担的责任蛮多的，比三桶油还多。,2020-09-04 10:27:24,3,0
国家电网要是在国内赚钱，那得多黑。当然凭本事去国外拉电网挣钱是该鼓励的,2020-09-04 09:28:41,3,0
回复 @开心的小歪 :回复 @开心的小歪 :抱歉说错了，电网不包括国家修的发电基建投入。就是一个盈利单位，肯定是正利润,2020-09-04 10:23:13,2,0
哈哈哈哈俺也一样,2021-04-10 07:50:53,0,0
草，我忘了这个功能了,2020-09-26 18:16:54,0,0
嘿嘿，一年后回来打卡，得州大雪灾后，还有一个人说中国电费的坏话么？,2021-07-03 03:58:15,0,0
[跪了]占全国发点量的比例越来越小了，,2020-09-08 12:15:38,0,0
曼德拉效应,2020-09-07 00:55:38,0,0
