评论,时间,点赞数,标签
当年韩国最大的商场塌了，死了几百号人,2021-01-19 14:16:45,9,0
哈哈哈哈哈哈哈，肚子疼了[妙啊]泡菜一样的大水坝,2021-01-19 10:39:17,9,0
我记得十多年前的时候，中水珠江勘测设计院还去老挝那边勘测，准备建水电站呢，怎么后面给韩国搞啦？,2021-01-19 15:09:19,11,0
太惨了，我老窝淹水了[笑哭],2021-01-19 09:21:23,73,0
然后他们又会去请印度建水电站，结果发不出电而且过去的水味道也不对[doge],2021-01-19 10:22:44,8,0
宇宙韩国烂货只会推卸责任和抢夺别国文化,2021-01-19 16:56:41,54,0
我很怀疑你是营销号，只有动态地图，连图片视频都懒得放,2021-01-19 12:12:36,12,0
不能下雨，你搞个毛水电站？[喜极而泣],2021-01-19 10:36:37,47,0
"老挝就跟中国的一些辛辛苦苦干活但没多少钱的老人一样，我记得有一个老人，自己辛苦干一辈子没多少钱，以前买的一套房子，儿子还要他装修，他跑去装修公司，最后挑了一家最便宜的，说真的，能怪老挝吗？
按法理来说，多少钱出多少力，而老挝提出修建要求同时，韩国报出这个价，就表示他能做到，他不做到，错的就是韩国，这跟报价没关系，因为是你自己同意的。
就好像我买一样东西，比如我砍价到5块，你说进价就要5块，那你可以不卖给我，但你卖给我了，然后实际是假货，你能说，我进价5块，你要5块买，所以我才卖你假货，能这样说吗？
有些人说老挝活该，我不同意，一老挝跟中国关系不错，二老挝社会主义国家，三老挝是真正的穷，我们的主旨不就是帮助他们吗？
美国报价10亿，苏联报价11亿，同样质量的武器，中国选择哪个，中国不也选择美国吗？但美国如果偷工减料就是美国的错，而不是中国的错。
我买到假冒伪劣产品，不是我的错，而是厂家的错，觉得买到伪劣产品是消费者错误，祝你天天买到一一还有，不要说贪便宜，我曾经在京东上买到假货，花了更高的价格，淘宝上用更低的价格买到真货。
对于老挝这种贫困不发达国家，中日韩三国对他而言就是三个富人。",2021-02-11 06:04:32,7,0
棒子：欢迎收看今日天气思密达，未来24小时全国暴雨思密达，气温37°全国一样思密达，感谢你的收看思密达。,2021-01-21 14:30:21,7,0
一分钱一分货，这甩锅做法也是十分韩国，这可是最不要脸的国家。,2021-01-19 13:33:09,35,0
虽然嘲笑是很不礼貌的事，但我真的忍不住，哈哈哈哈哈哈哈哈哈哈嗝,2021-01-19 12:02:43,28,0
棒子怎么哪里都有你啊[热词系列_好家伙],2021-01-19 10:00:53,7,0
"三级号是一种可爱的猫科生物，它会用头蹭蹭所有路过点赞的人，并发出软乎乎的喵喵声
(=・ω・=)（每日乞讨0/1）",2021-01-19 13:38:18,29,0
这个新闻我也印象深刻,2021-02-03 05:18:59,0,0
因为穷，修完这个水库，一半的国家预算就没了,2021-02-12 08:27:45,0,0
请问是您尿床了吗?[doge][doge],2021-01-21 06:29:35,10,0
回复 @佬白嫖怪 :你这图挺有内涵[doge],2021-01-21 08:16:08,1,0
回复 @佬白嫖怪 :宁这图，一看就是lsp了[doge],2021-02-04 02:09:33,0,0
确实，空讲，可信度太低。而且“溃堤(dī)”这么简单的词都不会读。也不回复任何评论。就是偏营销的。,2021-01-20 17:32:47,5,0
回复 @丿価爺 :其实我觉得这种动态地图的风格挺好的，有种上课的感觉，可是非要当营销号，做科普视频多好啊,2021-01-19 16:39:41,5,0
回复 @誓要等天降 :我来看视频不就是来看这个事件的吗，还要再自己去找视频那我看这个视频有什么意义,2021-01-21 05:04:59,2,0
