评论,时间,点赞数,标签
土木老哥牛逼,2021-04-17 05:16:50,8,0
"How
dare
you
![doge]",2021-04-18 13:58:21,7,0
牛牛牛牛牛牛牛牛牛,2021-04-16 15:11:30,7,0
水利工程本就是一个需要不停论证，不断较真的事情，越是放大它的任意一面都是没有好处的，所以评论区里不要以为站在道德制高点民生角度就吹捧水利工程多好多好。没必要。引用星球研究所的话来说：“希望未来，海晏河清，再无洪水滔天、赤地千里。也希望未来，人类的开发更加规范、论证更加谨慎，有朝一日能找到更好的替代技术，将对人类工程对生活、环境的影响降到最低。这条路很长，每一代人都任重道远。”,2021-05-04 18:29:53,6,0
四川人的骄傲，四川省不愧水力发电第一大省,2021-04-17 10:33:47,6,0
好，黄←差不多得了，动物就该为人服务,2021-04-23 04:12:21,5,0
弹幕一个不少鱼虾杀身之祸也是服了,2021-04-18 12:58:26,5,0
工程很好很棒，同时希望给鱼留了道,2021-04-18 12:56:34,5,0
国之伟力[支持],2021-04-17 05:32:40,5,0
会不会引起地震？,2021-04-17 01:28:01,5,0
"四、环境影响报告书经批准后，项目的性质、规模、地点或者防止生态破坏、防治污染的措施发生重大变动的，应当重新报批环境影响报告书。自环境影响报告书批复文件批准之日起,如超过5年方决定工程开工建设的，环境影响报告书应当报我部重新审核。项目建成通过竣工环境保护验收后3-5年，应开展环境影响后评价工作。鉴于长江上游和金沙江下游河段主要由你公司统一进行水电开发，应尽快开展该河段流域环境影响回顾性研究，摸清河段梯级开发累积性环境影响，提出梯级生态调度和流域生态环境监测方案，制定流域生态修复环保措施规划。

五、我部委托西南环境保护督查中心和四川省、云南省环境保护厅，分别组织开展该项目的“三同时”监督检查和监督管理工作。

六、你公司应在收到本批复后20个工作日内，将批准后的环境影响报告书分送我部西南环境保护督查中心、四川省和云南省环境保护厅，以及凉山彝族自治州、昭通市、曲靖市和昆明市环境保护局，并按规定接受各级环境保护主管部门的日常监督检查。

环境保护部

2015年11月17日

抄送：发展改革委，能源局，中国国际工程咨询公司，水电水利规划设计总院，四川省环境保护厅，云南省环境保护厅，重庆市环境保护局，凉山彝族自治州环境保护局，昭通市环境保护局，曲靖市环境保护局，昆明市环境保护局，中国电建集团华东勘测设计研究院有限公司，环境保护部西南环境保护督查中心、环境工程评估中心。

环境保护部办公厅2015年11月18日印发",2021-04-22 12:56:07,4,0
这个是不是就是控制东南亚的那个[doge],2021-04-18 14:52:12,4,0
周边的生态修复怎么样,2021-04-17 11:35:54,4,0
行星发动机,2021-04-17 09:09:32,4,0
白鲟咋灭绝的？,2021-04-18 17:09:57,3,0
有幸去过两次，作为供应商之一感谢白鹤滩[星星眼],2021-04-18 09:30:24,3,0
蓄水位825米？？。,2021-04-17 07:28:59,3,0
国外的电费永远是企业比市民电价便宜，而中国正好相反，你要是能找着比中国电费便宜的国家跟我说一声[嗑瓜子][嗑瓜子][嗑瓜子],2021-05-12 06:20:01,2,0
看着爽，但是人人都不想成为土木老哥,2021-04-17 05:46:23,2,0
回复 @古い先生 :拉倒吧，人人都不想成为自己的专业，但是各个行业都有人,2021-04-26 09:22:01,1,0
它已经dare.不粗来了[doge],2021-04-18 23:37:53,1,0
回复 @为不被说是小号改名 :那隔着瞎回复啥？对象都表意不清[辣眼睛],2021-06-29 01:57:48,0,0
回复 @多年以后愿你不负所望 :你又自恋了？我是你不专业吗？我是说你瞎较真吗？,2021-06-28 20:00:16,0,0
回复 @为不被说是小号改名 :你又专业了？我学生态学的谢谢。,2021-06-28 11:50:06,0,0
回复 @峰源水榭 :是啊，还得努力，要发展出我们省该有的工业水平才行啊。,2021-04-30 11:20:48,0,0
回复 @性感老萨 :那有咋的，不见得丢脸啊，一起努力就好,2021-04-30 10:14:46,0,0
环保男孩[doge],2021-04-27 17:55:46,1,0
你多多少少沾点,2021-04-18 23:30:26,6,0
蚣蜘？,2021-04-19 01:01:31,5,0
???,2021-04-18 15:59:01,4,0
会引起海啸,2021-04-17 05:01:45,11,0
会引起宇宙大爆炸[辣眼睛]准备重启吧,2021-04-17 05:19:21,9,0
[笑哭]设计时只会防地震考虑,2021-04-17 01:36:05,8,0
白鹤滩是在长江流域的电站，不是怒江，你们搞错了。,2021-04-30 02:38:29,0,0
[doge]这可比核弹好使多了哦,2021-04-20 11:49:46,0,0
所谓生态就是扯淡 你别出生对生态贡献最高,2021-04-18 02:09:00,14,0
生态就是个伪命题，再你怎么板命，等人类消失了，植被很快铺满人类曾经生活过的地方,2021-04-17 18:22:14,13,0
大自然会自己修复到合适的范围，也就是新的生态圈,2021-04-18 09:14:01,10,0
嘘～,2021-04-17 10:59:28,1,0
你砸灭绝的？,2021-04-19 01:32:28,8,0
别尬黑，我们家没你家那儿体验过原子弹😅,2021-05-03 11:03:51,6,0
别尬黑，是小日本辐射水毒灭绝的,2021-04-20 14:31:25,6,0
蓄水位高程825米，用的是85高程,2021-04-18 15:14:10,0,0
海拔825米,2021-04-17 14:41:26,0,0
