评论,时间,点赞数,标签
"他们都是铁路工务段的外包劳务工，非在编人员。
铁路局在编人员有肩章，记录仪，对讲机，有“xx铁路局安全生产”的路徽。
在编人员只在现场进行防护，指挥劳务工进行作业。
但是当劳务工不够的情况下，在编人员要干一样的活，只是同工不同酬，且福利待遇天差地别。",2023-03-18 14:49:08,1,0
地上是磁铁么,2023-03-18 10:32:26,1,0
[蛆音娘_滑稽]之前在阿b看到个985的老哥都没面试过国企搬砖,2023-03-18 16:07:28,1,0
三个和尚没水喝，让我看看有没有偷懒的[doge],2023-03-18 08:53:23,5,0
太甜了,2023-03-18 09:08:20,1,0
体育生一个人就够了,2023-03-19 23:46:25,0,0
全是劳务工,2023-03-18 11:54:49,5,0
别说工资待遇什么的，在这个世界上干活的永远是干活的,2023-03-18 14:04:52,1,0
以前的铁路工多少比农民好一些，而且工作可以传给子女。,2023-03-19 06:33:24,0,0
"铺轨是老式的
合同是外包的
午饭是自带的
工资是一半的
福利是没有的
甜头的阿B朋友们网络烙饼的[吃瓜]",2023-03-19 03:00:33,1,0
"正式工主子能在办公室喝茶我们的日子都会好起来的。
外包铺轨机我们会替他说甜的[星星眼][星星眼][星星眼]",2023-03-19 03:07:51,0,0
"早上五点起凌晨一点睡叫我做题家
好不容易上个大学然后叫我孔乙己
抱怨两句叫我50w，还要说我是撅醒",2023-03-19 01:33:24,1,0
卧槽，好羡慕[藏狐],2023-03-19 03:39:41,0,0
这就是工人啊，有技术，工资真不低,2023-03-19 03:19:04,0,0
这么有社会责任感啊？希望路边看到乞丐的时候别绕道走[疼][疼],2023-03-19 02:48:17,0,0
甜就完了，,2023-03-19 01:04:54,0,0
铁路可是好工作，无论是本科还是专科，前提是你学的好，要不然最好是铁二代[蛆音娘_吃瓜群众],2023-03-19 03:13:59,0,0
这个嘎吱声有点神奇，似近非近[大笑],2023-03-19 01:53:06,0,0
甜！,2023-03-19 01:30:00,0,0
小工300/天，大工500/天，一天10小时工作时间。工人现在工资比我都高，虽然都是体力活，但是待遇一点都不差,2023-03-19 02:15:47,0,0
正式工有的时候还没临时工挣得多呢，你看看那些土木的大学生多少，论单天工资签合同进去的真不一定有临时的多，我姑父就是跟团队干焊工的临时工，只不过正式工待遇跟这个肯定不是一个级别，有的船厂什么的还有年终奖，单举这个例子。这活给少了真没人干，我们这穷地方工地招小工一天两百都没人去，五六十多岁报名就招。这种活更累，即便是外包的临时工挣得也不少，比很多人多，毕竟累，比同单位的一些不累正式工要多。单天工资不同酬也差不了多少了，福利待遇倒是差的多了，我舅就是铁路的，看得羡慕，上三天班休息两天[笑哭],2023-03-18 15:21:01,0,0
胡说八道，只有防护员和主任才带对讲机，平常上道干活就是一个黄马甲,2023-03-18 16:50:51,1,0
回复 @寂寞の海风 :视频里穿着解放鞋就开干了，会是正式员工？,2023-03-18 19:36:08,0,0
胶垫,2023-03-18 14:12:08,0,0
减缓磨损的胶垫[呲牙],2023-03-18 17:23:03,0,0
这个一天八小时好像600，确实甜,2023-03-18 09:53:57,8,0
我也想不工作就有钱拿，有没有富哥招我,2023-03-18 11:57:48,7,0
铁路香的一批，8000工资朝九晚五，双休,2023-03-18 10:51:54,7,0
工务段确实劳务工,2023-03-18 13:12:27,0,0
没有干活的创业成功过？,2023-03-18 21:51:24,0,0
回复 @经济五口 :有能力就行，我妈原本就是在毛绒玩具厂里上班，听她说她年轻时在工作的厂里就数一数二的快，后来做了组长兼师傅，前年开了个代加工的小厂，现在一个月稳赚四五万没什么问题，所以有能力的话想要赚点钱确实没太大问题，但那种眼高手低，自命不凡的就不一定了,2023-03-19 01:27:28,0,0
小丑演的挺好,2023-03-19 13:08:53,0,0
可以不上，可以不学，可以直接去学技术到铁路工地报道[吃瓜],2023-03-19 02:24:27,0,0
这么有社会责任感啊？希望路边看到乞丐的时候别绕道走[疼][疼],2023-03-19 02:49:42,0,0
回复 @丿煎饼鬼子 :我发现这些甜甜怪遇到怼他们的人从来都不回复的。,2023-03-21 04:08:40,0,0
这么有社会责任感啊？希望路边看到乞丐的时候别绕道走[疼][疼],2023-03-19 02:48:47,0,0
回复 @丿煎饼鬼子 :破防了？,2023-03-19 02:53:19,0,0
