评论,时间,点赞数,标签
好奇最好那样硬拉一块履带不会断吗？毕竟轮胎压着底下那段,2022-10-25 10:53:01,0,0
外附魂骨[OK],2022-10-22 04:37:17,1,0
他忘了很多事情[大哭],2022-10-21 20:56:50,0,0
ra3天启的轮履跟这个好像，参照物就是这种类型的车吧？[妙啊],2022-10-20 07:02:09,0,0
就他妈缺一节吧。,2022-10-18 03:19:11,0,0
你放放气不就勒上了嘛[doge],2022-10-16 12:34:48,0,0
我觉得还是得穿个袜子,2022-10-15 23:05:45,0,0
恐龙  侏罗纪看了都流泪,2022-10-15 14:08:26,0,0
我想知道你怎么转弯[口罩],2022-10-14 09:23:49,0,0
差好多,2022-10-11 13:15:57,0,0
"人：你已经长大了，要学会自己穿鞋子哦
车：鞋带系不上[大哭]
人：真拿你没办法，我来帮你系吧",2022-10-09 12:37:18,1,0
感觉像德国工业。,2022-10-09 04:24:37,0,0
自己穿鞋子是吧,2022-10-07 08:59:40,0,0
打这么紧，会不会把轮轴给打歪了,2022-10-05 09:35:03,0,0
转载还不转完👎,2022-10-03 11:16:37,1,0
这么大的车了连鞋带都不会系呀[偷笑],2022-10-02 12:58:20,2,0
不放气？,2022-10-02 11:07:44,2,0
盗视频投自制,2022-10-02 09:16:50,0,0
很有意思的大玩具，来自中国的爱,2022-10-02 08:34:04,1,0
脊骨附体,2022-10-02 00:35:06,0,0
铰接式的，转弯和装载机一个原理,2022-12-18 11:38:23,0,0
