评论,时间,点赞数,标签
这种活钱确实很多啊，一个月上万没有问题，但是这种活不是每天都有啊,2022-12-03 05:34:17,1,0
有机器他们就失业了真不懂弹幕的人是怎么想的,2022-12-03 05:15:53,1,0
比机器便宜,2022-12-03 05:10:57,1,0
这视频告诉了我男女平等，让我知道了女人也可以顶半边天，感谢[打call][打call][打call],2022-12-03 05:06:36,1,0
这个明显有问题明显层层分包,2022-12-03 04:12:36,1,0
干活这么辛苦，一定有50万存款吧,2022-12-03 03:56:07,1,0
嫁给这种人真的不如不嫁，嫁过去也是吃一辈子苦,2022-12-02 09:42:30,1,0
羡慕,2022-12-02 09:06:12,1,0
同甘更苦，不觉得令人羡慕吗？这样的他们应该会越来越好~,2022-12-02 02:28:28,1,0
哟，这不是基建狂魔嘛，几天不见，这么拉了,2022-12-01 12:50:48,1,0
没错，真相令人震惊路拍摄者回忆拍摄完以后两人开着迈凯伦扬长而去,2022-11-30 21:51:24,1,0
不了解铁路养护的人真不知道那个苦。我就是看到父亲的辛苦才在高考志愿里面放弃了上海铁道学院的，当然，也不知道当年的选择是对是错。铁路工务段的养路工那个年月最常用的工具是捣镐，4公斤左右，号称8斤半，比农村的锄头要重，用途就是两两相对往下砸枕木下的石头（道砟），保证铁轨能够坚实的支撑火车运行。8、9岁的时候跟着父亲做记录，他拿着道尺（纯木的）测量，我就记录，现在都记得轨距1435+-8以内算合格，弯道超高按照线路牌规定。夏天的时候，只要几个太阳天，背上就一遍血红，然后脱皮。雨天的时候就是雨越大越往外面跑，看危崖、堵路基，感觉这个职业简直就不是人干的。就是这么能吃苦的铁路工人在那个年月也有外包项目-----那就是清水沟和清筛。前一个很好理解，铁路两边的排水沟需要定期清理，沟里的湿泥特重，都是雇佣当地农民来干，一身汗一身泥，非常辛苦。我父亲所在工区60年代曾经有过为了给铁路边的农村子弟凑集学费提前把清水沟的工期、工钱提前结算给当地农民的善举，但这种工作真真的是太辛苦。至于清筛，就是把铁轨下面的石子（道砟）全部掏出来筛一遍再填回去，一撮箕石子能有几十斤，彻彻底底的重体力劳动，视频里面这两口子干的事情差不多也一样劳累。他们应该很富有？？？？？不知道你是怎么想的。,2023-01-27 20:32:52,0,0
年轻不知累，老来一身病。多少苦难由此来。,2022-12-21 07:51:34,0,0
男女退休早该年龄平等,2022-12-16 13:26:59,0,0
这个区域的人去哪了?  还是承包下来自己干?钱给大家赚，活要大家干，这样是否太贪心了。,2022-12-04 02:20:55,0,0
就这几下子，腰不行的已经入院了[囧][囧][囧],2022-12-03 10:36:52,0,0
感谢苦难个锤子,2022-12-03 09:35:05,0,0
機器呢[doge],2022-12-03 07:58:00,0,0
这玩意儿听说挺沉的。一个五六百斤[来古-注意],2022-12-03 07:48:39,0,0
他们这么辛苦，一定买得起房吧,2022-12-03 07:43:59,0,0
废话他俩一天保底1000多,2022-12-03 04:25:11,0,0
这个吧，如果没债务真的可以有，但是孩子一结婚就一切归零,2022-12-03 04:16:34,0,0
说不定人家真的有哦,2022-12-03 04:08:59,0,0
你说得对[脱单doge],2022-12-02 11:03:17,0,0
基建是国家基础。中国目前没有机器全覆盖的条件,2022-12-02 10:57:45,0,0
你真幽默[doge][doge],2022-12-01 18:26:13,0,0
540[doge],2022-12-05 14:41:43,0,0
