评论,时间,点赞数,标签
有小孩不小心跑出去咋办,2022-12-17 05:28:26,0,0
有种蚌埠铁道口的感觉,2022-12-17 02:36:15,0,0
厕所里往下冲答辩怎么办,2022-12-16 15:01:17,0,0
我家就在火车站旁边，离轨道十几米,2022-12-16 11:01:28,0,0
坐标大连，离市区内最繁华的区域——西安路不远处，就有这么个横穿马路的铁道。但不像视频里一样是客运，只是频次较低的运煤车，而且铁轨周边只有两栋居民楼,2022-12-15 15:59:25,0,0
哈哈哈哈哈哈,2022-12-15 14:33:12,0,0
这客车线？那通过频率得多高啊,2022-12-14 10:37:51,0,0
像广州越秀区,2022-12-14 07:23:00,0,0
油管有个越南火车头固定摄像头的频道更爽，长达6小时以上的越南火车vlog，越南云旅游级体验,2022-12-14 05:31:48,0,0
有什么必要说人家吗？我们自己以前不也是这样的吗？00没见过，8090后没见过？？[辣眼睛][辣眼睛],2022-12-13 20:02:22,0,0
我刚工作那会儿住的城中村简直一摸一样,2022-12-12 16:05:01,0,0
法国殖民时代修的米轨小火车[吃瓜],2022-12-11 17:26:30,0,0
铁路两边的房子框架都被震松了,2022-12-11 10:39:20,0,0
我们公司楼50米开外就是铁道口，一天几十趟车，过道口要鸣笛，吵的什么话都听不见。也不知道BOSS当时想的啥租这里。[翻白眼],2022-12-11 07:49:24,0,0
我擦 我记得这种车是有厕所的 我记得这种厕所都是直接排的,2022-12-09 04:50:20,0,0
南京也有,2022-12-08 15:39:57,0,0
我家这就有啊，现在光剩一点轨道了,2022-12-08 13:42:26,0,0
在泰国也看到过这样的，火车横穿市场，还当成一个景点,2022-12-08 12:41:37,0,0
铁景房,2022-12-08 10:23:22,0,0
我突然想画个火车娘了,2022-12-08 09:22:56,0,0
铁路距离房子没这么近的,2022-12-14 00:47:23,2,0
回复 @Game_B :当然能谈正规了，你以为是他们国啊？,2022-12-21 09:57:41,0,0
回复 @面具李严 :那个年代你和我谈正规？96年那会什么环境？现在什么环境？谁都是从落后走向富强的，何必找什么优越感。这就好比拿今天的我们去和1800年时期的米国比优越感。即是国籍思想不同，亦或者是敌人，都应该尊重别人的文化，尊重敌人比轻视敌人更有用。[笑哭],2022-12-20 18:24:24,0,0
其实以前湖南长沙也有这种火车，我小时候还有幸见过两次,2022-12-18 10:22:26,0,0
有点危险啊,2022-12-02 04:24:11,0,0
感谢支持[脱单doge],2022-12-01 14:21:51,0,0
其实以前湖南长沙也有这种火车，我小时候还有幸见过两次,2022-12-18 10:22:26,0,0
有点危险啊,2022-12-02 04:24:11,0,0
感谢支持[脱单doge],2022-12-01 14:21:51,0,0
