评论,时间,点赞数,标签
看了一遍还是没看懂→_→[doge],2023-01-08 14:03:43,5,0
Bgm是什么？,2023-01-08 10:55:40,0,0
电务的表示你这说的都是啥？[无语],2023-01-08 10:11:41,5,0
早就研究过了[热],2023-01-08 08:41:43,0,0
讲的很清楚,2023-01-08 08:24:46,1,0
奇怪的名词×n[doge],2023-01-08 07:36:13,1,0
大一学生看着视频里的名词陷入了沉思,2023-01-08 06:58:02,14,0
火车没有方向盘吗,2023-01-08 04:07:04,9,0
从小的疑惑[呲牙],2023-01-08 02:35:54,2,0
终于给我解惑了。[吃瓜],2023-01-07 17:04:24,0,0
我儿子说高一物理讲过,2023-01-07 14:59:22,2,0
只要橙色位置出一点问题就完蛋,2023-01-07 14:40:38,0,0
我都是选择御剑飞行的,2023-01-07 13:03:36,1,0
[tv_馋]解惑了，自己想了好多年，却没有百度,2023-01-07 12:42:52,5,0
我总觉得我在B站看过这个，一个老外讲的[思考],2023-01-07 11:15:09,1,0
道岔是驾驶员改的？,2023-01-07 10:49:43,9,0
原理说清楚了，但是措辞很不专业,2023-01-07 02:22:25,10,0
多少涨知识了，但对小白不友好，有错,2023-01-06 23:35:20,4,0
道岔尖轨和辙叉心啊...,2023-01-06 17:11:09,7,0
检查轨道，驾驶员。,2023-01-06 11:18:35,0,0
解释下里面的错误吧，好奇,2023-01-08 11:14:21,0,0
哈哈哈哈哈哈哈，看个乐就行,2023-01-13 19:36:55,0,0
你还想超车吗？,2023-01-08 06:46:49,11,0
肯定没有啊，要那玩意干嘛，按照铁轨走只能前后走,2023-01-08 05:30:48,2,0
应该有吧 不然他们怎么鸣喇叭的[向晚2.0_木头小向晚],2023-01-09 16:41:15,1,0
回复 @星空-剑魂 :英才计划,2023-01-08 12:16:54,0,0
高一物理哪讲什么变轨啊,2023-01-08 12:16:09,0,0
你这个年纪都有儿子了吗[吃瓜],2023-01-08 02:00:50,0,0
扯了🥚,2023-01-07 14:40:51,0,0
我想明白了变轨的原理，但是没考虑到脱轨和检查轨道[笑哭],2023-01-07 13:43:30,1,0
回复 @看夜月落长安 :也许这是事故的发生才有了这种设计的捏。[doge],2023-01-07 15:22:20,0,0
视频动画是油管的人创作的，b站有up搬运过,2023-01-07 11:56:14,0,0
回复 @东北的一只球 :如果是驾驶员能改的，会变得不可控，后果不堪设想,2023-01-07 12:41:27,3,0
铁路指挥中心改的,2023-01-07 10:59:34,1,0
回复 @里森堡总统府办公室 :高铁差不多都是ctc自动控制，你哪条线的不是自动控制还是人工扳动,2023-01-30 17:03:07,0,0
不要专业术语，专业术语，一般人听不懂,2023-01-07 10:16:51,5,0
笑死 感觉是外网的视频机翻然后再ai配音的,2023-01-09 16:32:15,2,0
"回复 @喵喵看bilibili :铁道上的专业术语都是大白话来的
我是线路工——北京地铁的
在北京这地方，线路工里大专生不算低学历，你就想想一般人听不懂的专业名词会不会出现在我们这个专业里吧",2023-01-10 23:25:21,1,0
