评论,时间,点赞数,标签
这个车会说白当无码吗？[doge],2022-12-18 19:15:03,0,0
前 方 展 望,2022-12-12 14:12:21,0,0
像cr400af,2022-12-11 13:20:00,0,0
我感觉高铁其实可以无人操控，这样是不是更安全点[doge],2022-12-05 05:20:04,0,0
能抽烟不,2022-11-27 04:42:16,0,0
我在想一个问题，高铁司机用高德地图还是百度地图,2022-10-23 08:57:39,1,0
是要铁路院校机车系专业毕业才能去开火车嘛[笑哭],2022-09-07 00:45:33,7,0
谁又可以了？,2022-08-22 04:14:55,0,0
很累啊辛苦了,2022-08-21 10:55:56,0,0
我以为高铁不用人开,2022-08-15 06:17:03,0,0
每次进出隧道不刺眼吗？,2022-07-13 19:02:27,0,0
我未来的职业,2022-04-21 13:15:55,3,0
前方限速拍照，限速60，当前时速300[doge],2022-03-27 01:01:44,0,0
两车对面相遇是你在车厢里明显会感觉到对面那辆车给你的推感，两辆车之间会有非常强大的气压场,2022-03-21 14:33:08,0,0
ATP报故障了，机械师有吗？来司机室一趟,2022-02-16 13:17:31,0,0
30秒踩一次，那如果要上厕所怎么办啊？[脸红],2022-02-15 03:36:01,0,0
这种工作好累，不能摸鱼,2022-02-07 04:41:34,0,0
我还是去玩ts吧。。。,2023-01-20 12:37:19,0,0
这张脸，太大铁了,2023-03-13 13:33:42,0,0
回复 @IAbenI :拉贝尔侧重机辆运输，光在这一块达到了和中国高铁一样的高度,2023-01-03 07:39:10,1,0
回复 @IAbenI :当然了像拉贝尔普速自动化的国家就是你说的那样,2023-01-03 07:37:18,1,0
回复 @繁音六洞洞幺 :过几年又更新换代了，自动化程度更高，现在高铁本身就具备一定的自动运行能力,2023-01-03 07:11:27,1,0
额，交通大学也可以[tv_斜眼笑],2022-11-11 12:53:20,1,0
回复 @der意志佛学研究院 :谢谢,2022-09-01 09:05:57,1,0
那祝您将来每趟都能安全运转[给心心],2022-08-31 16:30:26,1,0
当然是忍着啊,2022-02-18 07:43:25,0,0
