评论,时间,点赞数,标签
我估计跑不到200可能是铁路的问题，车估计能跑，以后升级了线路估计应该就能提速。,2021-11-29 13:57:59,13,0
动车组的全部定义是由若干动力车和拖车组成的固定编组列车，两端均有驾驶室并且可以由任意一端控制列车，这样说应该更好理解一些，这是动车组和机辆模式的最本质区别，机辆模式的列车在车头是控制不了车尾的,2021-11-29 15:24:23,22,0
本来想给币的但是结尾为坑钱洗涤就点了个踩,2021-11-30 04:43:08,19,0
任何东西都具有两面性，不能一概而论，比如动集这东西。其实很多管内的中短途动集性价比很高，其速度要优于管内的很多普速列车，而且乘车环境也比普速要好很多。在动集这方面西局做的就非常好，今年9月份全运会期间西局在陕西省内10个地级市都开行了动集，在陕西省以西安为中心的米字形高铁网尚未完善的情况下实现了市市通动车的壮举，并且盘活了许多濒临倒闭的小站，比如临潼，武功，铜川这些。而铜川身为一个地级市之前仅有一趟速度极慢的小票车通往省会西安，而动集的开通极大的方便了当地居民的出行。另外在一些没有高铁的偏远落后地区，像中老铁路，拉林铁路等，动集对于当地居民来说是非常快捷的交通方式。动集之所以被反对，主要是因为跑长途代替Z车确实太抢钱了，速度没有任何优势还贵很多。另外涂装的问题，大多数人也不会在意这个。车迷一开始觉得难看主要是因为看惯了白色动车有些不适应，再加上受到普速刷绿的阴影。其实现在动集看多了也觉得没那么难看了。,2021-12-01 14:36:53,22,0
倒座才是致命的好吧,2021-12-01 09:31:48,7,0
这催更有我我功劳吗[doge],2021-11-29 13:27:08,24,0
我怎么记得改了技规，现在动车组指可以两头驾驶的列车了[笑哭]，甚至固定编组都不再是必须的。,2021-11-29 14:09:20,19,0
"这车做到以下几点，我绝对夸！
①座椅支持换向；
②别刷绿；
③无面壁座；
④设计速度为200km/h。
设计时速为200km时，便可以适应多种线路。以T8次（成都——北京西）为例，车底换成时速200km动集，在陇海段、包西段、太中银段和京广段按160开行，而在石太客专段就可以按200开行，摆脱“移动路障”的骂名。",2021-12-17 07:53:06,14,0
支持客观看待技术进步，200J纵然技术理念很出彩，全被价格毁了——顺便还有那奇异的涂装。[doge],2021-12-06 13:16:43,6,0
大家好，我是汽车up主，在这除了汽车你什么都能看到[doge][doge][doge],2021-11-29 13:52:33,16,0
众所周知，浩月是汽车区up🐷,2021-11-29 13:42:08,6,0
怎么CR系列的番外先出了？算了给你个三联，CR300和CR400快安排上哈~[滑稽],2021-11-29 13:33:21,6,0
提升体验可以啊，价格别也涨啊[doge],2021-11-29 15:36:41,20,0
"https://www.bilibili.com/video/BV1uf4y1Q73B
[doge]",2021-12-01 07:10:30,12,0
你350和250差不多价格我就忍了，你这160的最少得便宜一截吧~还有，绿皮火车可真是童年记忆啊。不过这个绿皮火车环境挺不错。票价贵一些我觉得也没啥大不了,2021-11-29 21:45:54,5,0
没有的，复兴号200J的座位还是和普通火车硬座不一样的，明显比普通火车舒服多了，差不多相当于老火车的软座了！还有它的价格和实际上真正的D字头还是有点区别的，D字头的价格和车型有一定关系的，这个CR200J比CRH1或者2的价格还是低了一点点,2022-07-04 05:38:38,5,0
发现没高铁时代涂装颜色白蓝绿，对应了普速时代ZT K的25系列颜色，就是没红色了,2021-11-29 14:37:26,11,0
用垃圾桶换了Z车，z车卧铺可以用学生票，垃圾桶不能，杭州-北京一趟就多花100多，这就是我不喜欢垃圾桶的原因,2021-11-30 04:36:41,7,0
坐过这种C字头，夕发朝至。价格比Z的贵。这玩应跑160，然后收250的钱，就有点过分了。主要是禁烟和装修好了。对我来说禁烟最重要。,2021-11-29 20:07:23,4,0
不知道up知不知道广九直通车用的高级25t车厢，这说明老25t本身是可以更好的，之前一直没有普及,2021-11-29 18:46:34,11,0
还记得既有线路跑200-250的动车吗？那还是在北京奥运会之前的事了。甚至有些线路没有封闭，而是用人在路口守着。所以提速只是想不想的问题，因为不仅理论上可以，实际上有些干线已经具备条件了。,2021-11-29 15:24:40,17,0
不可以！垃圾桶以前做过极速测试，到200的时候会掉速，而且好像构造时速就是200公里吧，你跑到200公里不担心安全？,2021-11-29 14:46:19,15,0
别瞎猜，这个车设计运营时速就是140km/h到200km/h，允许正常运营速度最高是160公里每小时，实验最高速度好像是205公里每小时来着，它的的车型是FXD1/FXD3的车头拆开，中间加了可控制车门信号系统的25t车厢（就是以前常见的蓝色车厢），这车的原型现在应该是在郑局还是兰局来着，在兰州铁路局是在在兰州到中卫线上跑过管内，郑州铁路局有一段时间是洛阳到西安到焦作的线路跑管内。,2021-11-29 17:31:11,11,0
回复 @星舰执政川建国 :显然不是。。除了层主所说的还有非一体化整备加编组不固定。。。,2021-11-30 01:29:00,1,0
回复 @星舰执政川建国 :拆猪是前面的提供动力后面的当kd，也不是固定编组，不算,2021-12-03 00:51:10,0,0
那拆猪算不算动车组[doge],2021-11-30 00:37:41,0,0
加一，很少点踩的[辣眼睛],2021-11-30 08:02:57,4,0
其实我觉得动集长途顶多替换一些夕发朝至的直特（1500km以下）再套跑短途车就行了，再长一点是真的抢。并且卧铺的舒适度也要有提升，比如说鼓桶车体加高后可以加大床铺的尺寸和高度，让床铺更软，并且提升私密性，以及像洗手台加挡板这样的细节。舒适度这方面不是加个充电口和wifi就能草草了事的。价格方面，以京沪为例，普速硬卧304，动集二等卧404，涨了35%，如果相比现在舒适度有很大提高，同时价格控制在比普速上涨不超过20%还是很值的,2022-02-17 04:13:02,0,0
确实,2021-12-02 04:06:27,0,0
回复 @波仔正衰仔 :今天感冒请假了，没上班去,2021-11-29 16:22:41,0,0
回复 @浩月映画 :我记得你以前的火车视频都是凌晨更新的~[滑稽],2021-11-29 13:34:36,0,0
哈哈哈,2021-11-29 13:29:54,0,0
实际上纠结这个没意义，国铁说啥是动车组[吃瓜]，啥就是，因为这是国内首创的概念，以前国外区别火车，要不用速度区分，要不按动力集中和动力分散区分,2021-11-30 15:31:12,5,0
"实际上按""动车组""定义，欧洲那种机辆模式加控制车也算",2021-11-30 15:32:20,3,0
回复 @无名一世 :对啊[辣眼睛],2021-12-01 21:26:28,0,0
传说中的200动集就是这样,2021-12-18 09:13:18,0,0
还有动力车轴重加大，客车的重量减小,2023-01-20 06:52:08,0,0
同意,2022-01-29 00:45:03,0,0
为啥我感觉复兴号还挺好的，座位空间也大了一点点，还有充电插座了，就因为他慢吗[笑哭][笑哭][笑哭],2021-12-01 02:14:46,1,0
回复 @头孢拉定EX : 锁定关键词是吧,2022-10-03 04:02:00,0,0
好！,2021-11-29 14:35:35,0,0
普速几十年没涨了，这个车型立项肯定就有一部分因素是冲着涨价去的,2021-11-30 01:35:29,8,0
回复 @御坂16952号 :铁路本来就有一定福利的因素，所以赔钱也要干客运。,2021-12-03 04:01:16,5,0
提升体验后不让涨价可还行,2021-11-30 00:50:09,6,0
兄弟呀  满足吧  现在我们的票价已经够低啦,2021-11-30 02:24:55,2,0
价格在Z和D字头中间，稍微偏贵，贵的是乘车体验感比Z字头舒服，内饰环境升级了,2022-07-04 05:47:51,0,0
智能动车组：红色[doge],2021-11-29 23:21:02,0,0
25T这样搞，票价一样涨动集价格。主要问题就是国铁想搞动集模式,2021-12-18 09:09:39,1,0
制造的成本也会比普通的25T高的，国铁不是很愿意去采购,2021-11-29 20:51:51,1,0
