评论,时间,点赞数,标签
试问如果是按照商业化角度来讲 垄断性运营就不合理，那么按照公益性来讲价格高也是不合理。所以这么定价合理在哪里？,2022-01-21 15:55:23,88,0
抢铁是真贵  广深城际贵的离谱,2022-01-21 15:03:32,35,0
茂名到佛山，大巴80，动车均价200就离谱,2022-01-22 05:22:41,80,0
石长铁路，二百公里左右吧，以前的动车77元，现在取消了crh6，说是线路老化经不起高密度的行车撞击轨道，变成了绿皮，而且价格不降反升，提高到105元，这波操作就绝绝子[吃瓜],2022-01-22 03:17:01,28,0
单公司市场化不就是垄断嘛[脱单doge]管他国营民营,2022-01-22 02:13:41,28,0
三抢局紧随其后，大丽线，大临线也是贵的离谱，大丽才140的时速。。。,2022-01-21 14:56:43,28,0
"讲个笑话
南昌－－广州，高铁475。4小时30分钟。
南昌－－广州，飞机220。1小时30分钟。
[辣眼睛][辣眼睛][辣眼睛]",2022-02-08 19:12:19,77,0
只要你骂抢铁 我们就是兄弟,2022-01-21 15:10:25,74,0
肇庆东到广州南106公里，高铁运行30-40分钟，票价28，广州南到深圳北116公里，高铁30-40分钟，票价74.5[脸红],2022-01-22 01:52:09,24,0
不是杠啊，大学时候因为要写毕设设计，查论文时，有个论文说过，我国铁路定价已经是为了社会民生效益，考虑过后的结果，而且票价已经很多年都没涨过了。铁路为什么没有大量引入私有制，就是为了保民生。不要忘了，铁路可是一直在亏损的哦（铁总），负债可是好多好多的运营成本也是挺高的，还有养护成本，各行各业都不容易，铁路也得赚钱发工资不是[虎年],2022-01-23 14:26:06,99,0
不过有一说一，广州站的外立面是我最喜欢的，就因为那8个字，我感觉就因为这8个字，虽然它破，但是远远不是其他火车站，或者高铁站能比得不上，希望广州站站改那8个字一定要留下来,2022-01-30 15:01:20,26,0
本广东人苦抢铁久矣，只要你骂他，我们就是好兄弟[微笑],2022-01-23 15:50:14,71,0
长沙到常德的动车12月涨了22块钱,2022-01-22 01:15:54,22,0
我坐广深最离谱的一次是几年前晚上七八点系统就显示今日车票全部卖完，然后我买了第二天的车票上了最后一班车（当时广深有票就可以上车）[藏狐]明明票已经售罄的列车，却没有几个人[笑哭]我一个人包场了整节车厢,2022-01-21 15:24:48,22,0
广铁什么时候禁烟？,2022-01-22 01:58:57,79,0
广州南-汕头二等座210.5，属于是被抢习惯了[白神遥_阿巴阿巴],2022-01-21 20:07:14,21,0
广州铁路局很担心你.JPG,2022-01-21 15:18:02,70,0
市场化的恶果,2022-01-22 05:31:46,29,0
我深圳回老家鹰潭普速161，高铁562，真的是抢铁，速度由10小时变为四小时，我宁可花268买硬卧。,2022-01-21 15:46:55,78,0
广州到阳江131，广州到梅州240，广州到深圳北三十分钟快80，就离谱,2022-01-22 02:30:20,19,0
回复 @廑力信 :当年市民投诉广深城际票价过高，还上了报纸。说的是广猪城际从广州到珠海北36，不到广深一半。第二年广珠通到拱北，票价调整为70。[傲娇]后来又有市民投诉水鱼号票价过高，造成广东东西两翼发展不均衡，呼吁降价。经过多轮调价，广汕票价成功站在了220元以上，实现了东西两翼和谐共抢[大笑],2022-01-22 08:01:36,21,0
所以准备要打破垄断了🤔广州地铁深圳地铁要进场了,2022-01-21 20:14:37,19,0
回复 @阿K仔 :别高兴太早，东莞以一己之力拖慢了地铁圈的建设步伐[doge],2022-01-22 04:17:43,18,0
回复 @靓吱沈梦溪 :后面我都坐大巴了[笑哭],2023-01-17 15:18:42,1,0
广州南到唐家湾差不多60[脸红][脸红][脸红],2022-08-07 14:29:25,1,0
回复 @CoolSpring1293 :深圳机场方向是穗深城际，不是广深城际,2022-01-22 02:32:55,1,0
吴川去佛山每天一班车，还他妈的是早上七点[doge],2022-01-22 18:09:24,6,0
回复 @kusssoooo :高铁站还偏僻，吴川的公交差不多一小时一班,2022-01-24 19:28:18,4,0
回复 @今天快落了么 :255已经是几年前了 现在是271 嘻嘻[OK][OK],2022-01-22 17:33:20,3,0
回复 @老源源小啤酒 :座位比6F舒服，甚至比2A舒服,2022-01-23 02:52:38,4,0
广九直通车版的软座25T不比CRH6舒服多了?[吃瓜][吃瓜][脱单doge],2022-01-22 03:39:11,3,0
这条线路大概两百公里，三个半小时。  相比之下，京沪线二百公里左右的距离，只要四十分钟，且只要七十块钱左右……,2022-01-22 03:19:22,3,0
还好意思在电视上吹，比抢局还恶劣,2022-01-23 02:31:09,3,0
还有玉磨0.55的桶,2022-01-22 01:38:12,2,0
跟你讲个特殊笑话。机票价格贵起来的时候会很贵，便宜时候便宜的很，就这样。,2022-02-18 12:23:42,23,0
[脱单doge]老表，全国两大便宜的航班中转站，南昌和重庆，其他枢纽都贵得要死，听说机票价格跟当地政府的政策优惠有关,2022-05-03 04:13:29,13,0
220是二折机票，不是一直都是这个价。还有就是高铁的开通与飞机相互竞争才有了220这么便宜的机票。,2022-11-12 15:56:48,3,0
肇庆东到广州南属于南宁铁路局，广州南到深圳北属于抢铁的。,2022-01-24 18:49:20,4,0
回复 @niamoo :G开头的，同一趟车[脸红]是同一趟车哦,2022-01-22 04:28:44,3,0
回复 @VCVexen :你买票坐的车可能是从南宁局来的 但是肇广区间确实抢铁管辖 肇庆东栏杆也是写着抢铁的,2022-02-08 04:08:39,3,0
问题是最穷的地方最贵就不合理,2022-02-12 11:09:48,17,0
回复 @瓦甲卤蛋 :好吧[笑哭]真的是抢铁。我以前在广东的时候明显感觉广东火车贵的离谱。很多时候都宁愿坐汽车。这种民生工程真不适合市场化。,2022-02-17 10:18:53,11,0
这可能就是中等收入国家搞高铁的悲哀吧，钱没法赚回来，民众对高铁的价格也不满意，两边不讨喜。[笑哭][笑哭],2022-05-23 16:24:47,10,0
建议搜一下齐齐哈尔站老站房,2022-05-23 16:07:42,1,0
回复 @大魏天龙 :你只看到珠三角是富人，粤北山区跟贵州没啥区别了，人均比全国都低，粤东也不全是老板，大把穷人，粤西同理，不要何不食肉糜,2022-02-13 16:18:33,11,0
回复 @大魏天龙 :哪怕是珠三角内，也有还需要扶贫的清远。,2022-04-18 07:06:00,6,0
回复 @大魏天龙 :你找的是江苏，不是广东[2233娘_耶],2022-05-23 14:21:36,3,0
石长本来就是打过折的，现在是恢复原价，关键是还是160的城际6F[无语],2022-01-22 15:11:45,0,0
长沙到益阳的也涨了，大巴变得有性价比了,2022-01-22 11:01:04,0,0
去年开始变离谱了,2022-01-22 01:58:10,0,0
说不定都是搭前几班车走光了,2022-01-21 19:02:17,6,0
以前春运支援的时候我也放过提前车次或者第二天的票，反正你区间正确能帮就帮[藏狐]确实最后一班车会这样因为全前面的车超载走了,2022-01-21 19:41:42,5,0
回复 @NoviSad :我也是这么想的,2022-01-22 01:00:22,1,0
真实，上次我快下车了，大伙都在门口准备等下车，前面一男的一边打电话一边掏出烟来点上一根，直接把七八个等下车的人喂上满满一根二手烟的量[无语],2022-01-22 03:14:48,14,0
我武局是禁烟的啊哈哈[害羞],2022-01-22 04:40:11,8,0
回复 @炊生办主任 :不管是G   C  D都是全列禁烟的，普速不太清楚，我跑这么多年抓到抽烟的都要被收拾的！很严重的！罚款，拘留。,2022-01-23 21:45:14,7,0
我记得以前深圳北到普宁 和潮阳也才100多吧，不过200左右[藏狐],2022-01-22 10:50:24,1,0
看着从180涨到227,2023-02-21 05:01:48,0,0
涨了几十块，离谱[辣眼睛],2022-01-25 17:16:46,0,0
不，是市场化加垄断，市场化起码有竞争，这个东西他有竞争嘛？,2022-04-06 15:02:47,11,0
回复 @学长哈哈哈哈 :大托拉斯了属于是,2022-04-06 18:44:59,3,0
江西太难了，好不容易整条赣深还那么贵,2022-01-22 00:14:15,6,0
回复 @经由太绥新宝 :赣深他妈的我想打人[辣眼睛]，你要是卖200我他妈买爆好吧，奈何260[灵魂出窍],2022-01-22 01:08:44,4,0
赣深六毛钱[吃瓜],2022-01-21 17:02:50,4,0
广州到梅州不是85？,2022-01-22 16:22:54,0,0
