评论,时间,点赞数,标签
是德铁的车，我经常玩慕尼黑那条线路来着[笑哭],2022-07-03 16:22:22,0,0
插入,2022-07-03 14:00:59,0,0
标题改为：震惊，[doge]光天化日之下，居然当做众人之间干！,2022-07-03 03:37:14,0,0
TSW诚不欺我[doge],2022-06-30 07:59:47,0,0
哟哟哟哟哟，接上了接上了接上了！！！,2022-06-30 06:18:40,0,0
春天来了 火车站里的火车....,2022-06-30 04:26:22,0,0
为什么没看到Zugdeckungssignal？是拍摄角度的问题么？按说这种站台中段的Stärkung是需要看ZDS进行的吧？Betrieb的方面不是很懂，求解，谢谢🙏,2022-06-29 21:41:48,0,0
去看看re的对接尤其是erix的火车，那简直叫撞上去,2022-06-29 17:38:49,0,0
喂喂喂，亲一下就吸住了[滑稽],2022-06-29 02:21:47,0,0
原来小火车都是大火车生的啊,2022-06-28 10:27:17,0,0
兔崽子的原型,2022-06-28 09:02:15,0,0
詹式车钩,2022-06-28 07:40:00,1,0
大佬，有没有两列RE行驶中合体&分离的录像[doge],2022-06-26 11:15:14,0,0
啊，进了,2022-06-26 02:26:28,0,0
嘿嘿 看看,2022-06-25 05:50:53,0,0
舌吻,2022-06-25 02:50:47,1,0
和火车模拟2一摸一样，不过我大部分都是300公里超速行驶[大笑],2022-06-24 15:34:59,0,0
激情舌吻,2022-06-24 13:52:49,0,0
中间是不是还有数据线连接？这两节列车应该需要进行通信吧，协调动力和刹车啥的[思考][思考][思考],2022-06-23 08:32:50,1,0
也分公母啊,2022-06-23 05:38:05,0,0
其实不是，这个是夏芬伯格式自动车钩[脱单doge][抱拳],2022-06-28 07:54:19,1,0
是的[脱单doge]车钩挂上之后展开的那两个盖子里面就是,2022-06-23 08:47:21,1,0
电联,2022-10-12 16:30:51,0,0
点了[Cat2_Watching!],2022-06-16 13:20:01,2,0
这两列有没有做核酸，打疫苗在贴贴？？[doge][doge],2022-06-23 23:18:36,2,0
点了[Cat2_Watching!],2022-06-16 13:20:01,2,0
这两列有没有做核酸，打疫苗在贴贴？？[doge][doge],2022-06-23 23:18:36,2,0
