评论,时间,点赞数,标签
动车上配个安全带不好吗,2022-07-06 14:24:07,1,0
高铁最危险的不是对撞，是脱轨。,2022-07-06 13:16:09,1,0
这就是个营销号,2022-07-06 09:44:11,1,0
确实挺安全的,2022-07-06 08:49:44,1,0
撞车可能前几节车厢出事儿，真正可怕的是脱轨翻车,2022-07-06 05:30:05,1,0
这没啥意义啊，[藏狐],2022-07-06 03:02:01,1,0
埋车头的时候你不是这样说的啊[OK],2022-07-06 02:55:47,1,0
主要是高速侧翻，这样这年碰撞相比还好一点,2022-07-06 02:07:46,1,0
其实列车运行时那么快的速度，质量再好也白搭。向牺牲的驾驶员致敬！[保佑],2022-07-06 01:00:02,1,0
主要是，脱离轨道才是最大的出事问题,2022-07-05 23:16:09,1,0
保证79千米每小时不脱轨而已,2022-07-05 22:42:09,1,0
其实动车重点不是怕碰撞，而是怕脱轨,2022-07-05 16:42:29,1,0
就那么一点危险，都给我们乘务员了 你们放心坐吧。,2022-07-05 08:09:44,1,0
列车脱轨和碰撞是两码事，一般行驶速度在150—312时速之间，这个区间就算绿巨人被撞到也得肉痛，剩下的自求多福,2022-07-10 02:35:30,0,0
德国西门子，日本川崎重工，加拿大庞巴迪,2022-07-08 13:45:32,0,0
没看出来,2022-07-07 19:16:47,0,0
反正每天那么多人做高铁，安全性肯定是OK的,2022-07-07 18:07:26,0,0
多装几节车厢然后几乎满载情况下测试如果是这样的结果才是真的安全,2022-07-07 16:49:33,0,0
小轿车：你清高，你伟大。,2022-07-07 10:46:27,0,0
肯定是假的,2022-07-07 09:49:41,0,0
回复 @居微fu :这本来测试车头材料强度的,2022-07-06 09:21:44,0,0
回复 @居微fu :你是不是理解错了?,2022-07-06 09:21:55,0,0
回复 @Overbearing呀 :这种测试速度和真正行驶的区别很大，高铁撞击基本都脱轨，这种只弄个高铁头也没什么用[藏狐],2022-07-06 09:21:04,0,0
🐒🐒🐒,2022-07-06 09:20:04,0,0
你放心，有我给你在后面检查好CTC和CIR，你就放心开吧,2022-07-07 15:40:45,1,0
