评论,时间,点赞数,标签
做一个红豆馅的日式点心卖到日本去，起名字就叫红豆泥私密马赛,2021-07-16 13:04:47,12,0
红豆泥私密马赛.jpg,2021-07-16 12:01:34,12,0
评论区坏掉了，禁止正常反复横跳。。,2021-07-16 12:14:53,10,0
红豆泥，私密马赛,2021-07-16 13:02:36,6,0
韩国:我觉得他对我造假了，没收资产，商标干脆也扬了[doge],2021-07-16 12:32:36,6,0
"沉迷B站无事做？不如来冲拧薄宫程学院！复制粘贴这段话，一起做个复读机，每天收入0硬币，周围同志都在做，反正闲着也是闲着，不如挨顿夸[doge]
（一起把热度保持住，xdm求求了）",2021-07-16 12:21:35,6,0
我吃着火锅唱着歌，突然就被麻匪给打了！,2021-07-16 12:20:01,5,0
日本躬降精神[藏狐],2021-07-16 12:16:31,5,0
一刷新就关了评论  再刷新又好了。,2021-07-16 12:10:39,5,0
"u1s1,国内造假比日本严重得多，只是国内媒体只盯着国外的问题追着不放而已",2021-08-09 05:13:16,4,0
三菱电机老垃圾了，08年家里买了一个全进口的空调，md用了9年坏了不行了，人家来看是冷冻液的管子漏了，而且因为管子在里面修不了，得用一个月加一次冷冻液。从那时起对那些所为进口优秀产品的就无好感了。对了我外公家的海尔用了十几年，现在还好的很。,2021-07-17 02:07:13,4,0
这不封一个造假仙人？,2021-07-16 12:57:29,4,0
造假三十五年，背后的原因令人暖♂心♂,2021-07-16 12:44:11,4,0
它们就就真的只道歉，不赔偿吗[辣眼睛],2021-07-16 12:22:08,4,0
红豆泥斯密马赛[doge],2021-07-16 12:19:51,4,0
"私密马赛
鞠躬
镜头拉近
📷 📷 📷 📷",2021-07-16 12:03:47,4,0
工匠精神：坚持造假30多年,2021-07-31 08:04:41,3,0
额，之前在汽车零部件行业做过，按要求每个月需要主机厂回收客户反馈的。实际基本没有反馈，因为牵扯到的部门太多了，除了质量，还有物流，仓储，采购，技术等等，主机厂的人根本没精力也不想花时间帮你去收集这些信息，有时候半年才回复一次，有时候也是自己乱写的。我们作为供应商公司要考核客户回访指标，对主机厂的员工来说是单纯增加他们的工作。,2021-07-17 07:27:38,3,0
"封面我来啦！
[思考]🙇
三菱电机
造假35年",2021-07-16 18:01:13,3,0
有一说一国内不神化自己，三菱给自己造神那么多年，现在脸都打肿了,2022-07-17 15:55:49,2,0
我舅舅家日立空调用了快满20年了，还在客厅上岗。,2021-07-17 09:00:58,0,0
这种级别的造假不用负法律责任吗？！,2021-07-16 12:41:49,57,0
回复 @唯愿无梦长眠 :放普通公司要，放三菱，不会的，毕竟日本经济支柱之一，你就当他是日本背后点头才能决定走向的巨头之一,2021-07-16 12:55:55,208,0
回复 @唯愿无梦长眠 :欧美日都没有透明的问责机制，日本尤其奇葩。很多日本企业的责任是全体员工，出了像核电站那种大事平摊到所有人身上也约等于没有责任。造假这种小事儿就更别提了，鞠躬都是一排人一起鞠，鞠完了就没事了,2021-07-16 13:26:51,140,0
这种级别的造假不用负法律责任吗？！,2021-07-16 12:41:49,57,0
回复 @唯愿无梦长眠 :放普通公司要，放三菱，不会的，毕竟日本经济支柱之一，你就当他是日本背后点头才能决定走向的巨头之一,2021-07-16 12:55:55,208,0
回复 @唯愿无梦长眠 :欧美日都没有透明的问责机制，日本尤其奇葩。很多日本企业的责任是全体员工，出了像核电站那种大事平摊到所有人身上也约等于没有责任。造假这种小事儿就更别提了，鞠躬都是一排人一起鞠，鞠完了就没事了,2021-07-16 13:26:51,140,0
