评论,时间,点赞数,标签
单看高铁确实是赔的，但是高铁带动的经济效益，技术水平的提升是不可估量的,2023-03-14 09:07:58,5,0
其实可以适当涨涨价  给商务座一等座多涨点  二等座少涨点  那些人挣得多 没必要给他们贴钱  火车就别涨了  都是穷苦人,2023-03-14 01:04:50,10,0
"北京到上海，可以有多个航空公司飞，起码还有竞争。北京到上海铁路线就那么几条。
把铁路私有化之后，铁路线也是私有的了，公司会用大数据算出最盈利的速度和票价，你嫌贵可以不坐。春运时还可以自己当黄牛卖黄牛票。",2023-03-12 02:19:18,26,0
硬核科技迷这个号没发过科技科普知识，转发的全是反重内容，自己一发高铁的就翻车,2023-03-12 00:15:25,30,0
高铁哪天真的赚钱了 你猜赚谁的？ 怎么赚？,2023-03-15 03:46:57,3,0
高铁站就在我们村   从广州坐高铁可以直接到家  出了高铁站回家只要三公里[打call] 老家在湖南 感谢国家,2023-03-12 02:56:11,16,0
我举个例子，我家在一个偏远小县城，坐公交车要连着倒好几班才能到达大学，可是我们家小县城也修有高铁站，学生票90块钱，直接坐到学校在的市区，国家有些地方外人是黑不来的，因为有些东西真的很多人都是亲身体会过的，中国的高铁好不好？我能不知道吗？,2023-03-15 04:03:45,5,0
"这又是啥神奇话题（
国内常见8节编组300~350级高速动车组常见总功率是在9600上下 但是不代表按300/350定速巡航的时候就是这个功率 肯定要留加速度余量的
如果真是43度/h是啥神仙数据 日车现有大体思路是以牺牲部分车辆自身寿命等来达到目的 例如高加速（高度轻量化+高动分化）以提高行车密度 降低线路损耗 提高乘坐体验（使用小轮径轮对）等等的效果 但是真要每小时43度怕是物理学不存在了罢
当初新干线500系因为逆变技术相对不成熟+全动车编组 那玩意才是真的电老虎 现在都不敢随便跑满速度长距离巡航的车次 但是那玩意好看是真好看（",2023-03-13 01:59:25,8,0
高铁和电力，国外连碰瓷都没有，建设成本到运营成本全方位碾压,2023-03-12 03:13:27,10,0
马铁:把公有的，变成我背后老板的私产，就解决了。,2023-03-12 04:59:10,11,0
有一说一，我国的高铁真的是良心中的良心，我从家去上学，原来坐一夜的硬卧，现在只要两个多小时。,2023-03-24 18:33:52,1,0
要是赚钱了，你害不害怕？？？？,2023-03-15 03:51:56,2,0
事实就是日本外务省给狗发钱了。,2023-03-11 16:58:14,101,0
负债是因为不断在新修铁路，征地，车站，电网，路轨，桥梁，隧道，不需要投资啊？利润减去投资，不就是负数了？你今年赚了50万，花了100万买房子，看似亏损，但是100万变成不动产了。,2023-03-16 09:07:06,2,0
“亏了800亿，然后其他赚了5000亿”这是人能讲出来的话吗？都不是一个公司，你是想着别的公司赚了然后分给铁路局吗？什么鬼才逻辑,2023-03-14 01:40:17,3,0
我们家乡一个小镇高铁机场全都有[doge][doge][doge],2023-03-15 00:48:12,2,0
用屁股想都知道这是胡说八道[笑哭],2023-03-13 07:57:12,3,0
交通工具不管亏不亏损，高铁这类东西给国家经济、人民生活带来的好处太多了，眼光千万别那么狭隘,2023-03-15 01:43:52,2,0
这种言论你说我国高铁和新干线两个差1000度或者2000度我们也可能看不出来啥问题 差200倍？ 我们高铁装了俩车厢显卡一边跑一边挖矿是吧,2023-03-14 20:31:10,2,0
我老家县城都开始修高铁站了[滑稽],2023-03-14 02:06:48,2,0
带动周边经济，还有和高铁有关的全产业链，能提供多少工作岗位，未来还要去海外大建特建，怎么看都是稳赚不亏,2023-03-14 17:21:51,1,0
火车都要取消的差不多了，原来福州去北京的z60次都被D760那种开180的绿色假动车代替咯,2023-03-14 03:50:52,1,0
得了吧 商务座都已经贵60%了还涨 而且一列16厢的高铁只有1个厢8个座位是商务舱 涨价那几十块对于整个列车有任何意义吗,2023-03-14 23:04:33,2,0
回复 @尘尘Ecc :不过也确实是提了点速，Z60和D760我都坐过，总的来说D760车内环境比Z60要好，但全程票价贵了100多。,2023-03-25 08:35:33,0,0
说句难听话如果铁路私有10年之后俄亥俄惨剧就还要上演,2023-03-12 04:01:57,11,0
不要迷信西方经济理论对私有化优势的夸大，铁路私有化只在建设初期有些优点，后期劣势会越来越明显。,2023-03-12 08:45:18,9,0
