评论,时间,点赞数,标签
全球大桥总长度排行av55436643 【为了公平起见 请上面那个红色选手跑二个来回！】[奸笑],2019-06-13 04:46:36,20,0
基建狂魔，何以解忧唯有基建[惊喜],2019-06-07 14:38:03,68,0
2003-2011 刘志军 任铁道部部长[doge],2019-06-21 00:51:32,17,0
中国只要技术成熟了，直接使其白菜价，疯狂量产，可见其工业生产能力有多恐怖。碾压世界。。。,2019-06-20 15:21:23,64,0
全球水泥产量排行 av55151663 【基建狂魔：我要打你们一个世纪的量】,2019-06-10 05:22:48,15,0
"日本：这是一个小游戏，名字叫“连连看”，就是把2个城市用高铁连起来，很简单的，大家一起来玩玩？
中国：让我看看[抠鼻]，噢～嗖————[滑稽]
其他国家：[惊讶][惊讶]",2019-07-02 08:38:26,55,0
油管播放470万中国十大最美天际线评论翻译 外国网友：中国每个城市都像首都 av55872971,2019-06-17 06:02:46,20,0
美国不建造高铁，是因为他们根本就没法建，高铁穿过去的那条路的居民不让建造，民主的美国政府也无法征用土地，而且钱谁出，风头谁拿？╮(╯▽╰)╭,2019-06-25 15:22:43,59,0
虽然我是90后，没体验过我爷爷、父亲那一代的苦，但我亲身体验的，在我这个18县小县城，2010年以后和2010年前差距真的大，就是感觉突然一下子，智能机就普及了，突然一下子，4g卡免费换，wifi普及，家在农村也可以上网、通路通车，打车也方便了。以前读小学的时候，想都不敢想的,2020-07-31 15:51:18,14,0
"我们不如美国：看呐，落后的发展中国家和世界第一强国的差距起码有一百年，这国怎，定体问我陷思
我们比美国强：这都是发达国家玩剩下的，也就你国喜欢玩这种落伍的东西，还沾沾自喜，别人早就不屑于玩了，这些都没用[滑稽]",2019-06-16 11:41:49,61,0
我感觉08年南方雪灾以后，国家突然意识到了我们运输线的疲软与不足，后来马力全开的搞了十年高铁建设，把整个世界都震惊了。,2022-08-05 08:26:37,14,0
不论总量人均第几第几，反正我看到中国迅速发展并以压倒性的优势登上榜首，真的就莫名热泪盈眶，心中有股说不出的激动和自豪。搞不懂有些人怀的什么心思。中国的发展，你身边的社会和环境，你的生活变化都是肉眼可见和可亲身体会的，到底怎么样你该心里有点数！还有打着“独立思考”的旗帜捧外踩中。呵呵，独立思考，奉还给你们。,2019-06-19 05:27:07,46,0
中国：大爷我活了五千年，腿脚麻利得很～,2019-06-25 13:52:35,12,0
全球超算Top500排名 av55059504【其他国家:刚刚什么东西'嗖一下划过去了？】,2019-06-09 07:33:05,46,0
其实真正的原因是因为08年春运，雪灾广东火车站发生的事,2022-11-01 14:14:29,12,0
注意中国上线了，让我们看看他要...等等，wc什么玩意？,2019-06-17 15:57:24,45,0
八横八纵有几个国家铺的开的，铺的开的有几个能实现的,2019-06-14 03:36:11,16,0
我们不着急上场，因为我们上场便是势不可挡,2019-06-09 01:47:53,51,0
你知道超越已经先跑了500米的人需要付出多少努力吗？,2020-03-26 20:35:26,11,0
我最骄傲的反而不是总里程，而是建设速度。能在这么短的时间内铺设，这就是个奇迹。,2019-07-03 17:12:59,11,0
氪金使人快乐😁,2019-06-13 15:01:53,0,0
哈哈哈哈哈每个就算了吧,2019-06-18 08:34:04,0,0
是啊，有些人就是跪久了，不承认国家的好？跟全世界比也就算了，结果一跟美国比较，立马一群人说人家美国不需要高铁！说美国不想要高铁，这些人忽悠鬼呢？建不了就是建不了，找什么理由,2019-06-26 09:29:06,6,0
回复 @夜挽-东风 :你觉得修高铁的钱哪来的[吃瓜],2021-12-26 11:38:41,0,0
想问问那些睿智这100年的差距是怎么算出来，100年前美国能有中国这实力？,2019-06-30 16:07:04,3,0
回复 @小吴鱼 :百度百科1910年美国铁路里程，我直接告诉你吧是现在中国的四倍，113年前美国铁路总里程是现在中国的四倍，你没有听错，你再百度一下伦敦地铁通车时间，发达国家在100多年前就已经是基建狂魔了,2023-01-14 13:09:54,2,0
活了五千年，但仍是少年,2020-08-01 04:50:37,3,0
人呢？,2019-09-06 14:19:06,0,0
太快了[doge],2020-02-29 16:04:52,0,0
大雪,2022-01-30 04:23:44,0,0
