评论,时间,点赞数,标签
up主我想问一下重构版和原版0几年的有啥区别不，哪个版本更好,2023-03-16 09:09:27,0,0
和候捷的书相比，哪个更适合新手？,2022-11-18 23:47:03,0,0
个人愚见：只看书永远不会提高编程，多动手才是key point,2022-11-04 15:49:55,0,0
软件工程专业大几适合看这本书呢,2022-10-23 00:25:55,0,0
你们说会不会是掐钱买书的[思考],2022-10-14 12:45:36,0,0
没错这本书吹爆,2022-10-10 01:26:33,0,0
有没有python的例子啊,2022-10-07 14:48:40,0,0
没多大体量就先别收获。。。。,2022-10-06 09:51:06,0,0
我推荐一本书，SICP，是我的启蒙书[doge],2022-10-05 16:27:14,0,0
能让人编程水平突飞猛进的永远是多写多看 自己实现一遍 再看别人的实现,2022-10-05 07:37:41,0,0
里面用的是什么语言？,2022-10-04 14:02:04,0,0
时间长了只会写单体程序，对于接口设计，抽象层，该怎么管理依赖关系等就不知道咱办了。,2022-10-02 03:43:26,0,0
有适合Python的么,2022-09-23 22:09:20,0,0
啊啊啊啊宝藏博主呀,2022-09-22 23:21:42,0,0
谢谢up主的分享，一键三连,2022-09-22 06:09:21,0,0
200一本馕包羞涩啊,2022-09-22 01:48:45,0,0
我去，有点小贵,2022-09-19 11:42:28,0,0
想骗我买书，没门🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪,2022-09-19 06:32:52,0,0
java算了吧 对新人太不友好了,2022-09-17 14:11:45,0,0
封面第一眼普林斯顿微积分,2022-09-16 02:49:33,0,0
这本不适合新手,2022-11-18 23:47:59,0,0
这个最近似乎涨价了，发视频的时候100多一点。电子版也不错，不难找,2022-09-22 01:53:32,0,0
是“学起来对新人友好，到找工作时对新人不友好“的意思吗？[doge],2023-03-24 13:51:17,0,0
这本书我大学很喜欢,2022-10-11 15:17:21,0,0
我请UP喝两杯[doge],2022-08-28 04:32:45,21,0
就我个人感受，Clean Code、重构也可以着重看看。之前组里实习生，我就推荐他们简单浏览下,2022-09-17 13:29:13,2,0
我请UP喝-1杯[doge],2022-08-28 09:39:02,3,0
我请UP喝两杯[doge],2022-08-28 04:32:45,21,0
就我个人感受，Clean Code、重构也可以着重看看。之前组里实习生，我就推荐他们简单浏览下,2022-09-17 13:29:13,2,0
我请UP喝-1杯[doge],2022-08-28 09:39:02,3,0
