评论,时间,点赞数,标签
终于教到一期我会的东西了hhhh,2022-07-11 11:47:03,4,0
只有我是因为Minecraft中的replaymod知道FFmpeg的吗[捂脸],2022-07-11 11:11:55,13,0
vlc带了一个ffmpeg，一些简单功能点点鼠标就可以[doge]，复杂的功能还是得ffmpeg,2022-07-11 11:00:35,5,0
可以开一期讲讲用脚本剪视频是怎么做的，是指录完一段一段视频以后，用脚本拼到一起渲染吗？还是配音字幕都是用脚本生成的？,2022-07-11 09:53:50,8,0
我压视频就是直接编译静态库和ffmpeg，然后命令行压。用习惯了其实比各种GUI软件灵活的多。,2022-07-11 09:07:20,4,0
我就用这玩意在linux下自己写了python版的分割工具，还移植成c语言版本[吃瓜],2022-07-11 08:27:37,5,0
再来点VapourSynth入门教程，想看[妙啊],2022-07-11 08:04:20,5,0
UP的视频质量都好高啊，短小精悍,2022-07-11 07:32:14,9,0
问下各位这个有中文文档吗[脸红],2022-07-11 07:19:26,5,0
用这个做基础的转码很方便。基于这个的软件经常会带水印/广告之类的，至少我还不知有啥是纯净版的。,2022-07-11 07:12:24,8,0
哈哈哈哈，我昨天刚用ffmpeg做了个快速剪视频的，今天我最喜欢的UP就更新了相关视频，太有缘了,2022-07-11 07:09:05,4,0
正要学这个！谢谢up！,2022-07-11 07:06:57,5,0
我今天刚搜C++ FFMPEG的音视频开发[打call][打call],2022-07-11 06:44:57,8,0
关于用脚本来搭建一个视频剪辑的项目 可以单独出一期吗？,2022-07-14 07:48:27,6,0
up主你好，有个问题想咨询一下，假若我要获取很多个不同的视频的截图，有没有那种可以把这个命令写成bat的方法直接把视频拖上去就可以，就不用每获取一个视频缩略图就要重新改一下名字,2022-10-23 09:39:39,3,0
有大佬会用ffmpeg识别视频语音，导出srt吗？,2022-10-07 05:04:50,3,0
但是在Windows下的编译过程简直可怕,2022-07-13 15:38:32,4,0
[tv_大哭]爱了,2022-07-11 06:52:17,4,0
这个工具，感觉不常刷到，如果我想学习做视频，B站推给我的更多的还是PR之类带预览，还能用各种滤镜、插件的软件教程,2022-07-11 08:46:24,7,0
ffmpeg很好用，但是很可惜的是没有gui，打命令有点繁琐[笑哭],2022-09-03 10:20:54,4,0
我是因为字符动画来学ffmpeg的,2023-02-20 14:05:11,0,0
有个东西叫avisynth（对应的编辑器是megui）,2022-07-11 14:05:13,1,0
up短小精悍,2022-10-19 13:15:14,0,0
有中文书，是ffmpeg开发社区的国人大佬写的；但总体来说他社区的原本英文文档也不咋地，经常有滞后，具体调用都得现用现查,2022-07-11 23:46:54,4,0
回复 @与时代脱轨的级数 :还真没有，以前借着看的实体书，大概是对应3.x版本，现在已经是5.0+版了，语法好多简化的，很多新编码语法都得现查,2022-07-12 04:53:19,1,0
回复 @企鹅吃毛豆 :请问能分享下链接吗[捂眼],2022-07-12 04:05:03,0,0
handbrake，方便好用又开源免费,2022-07-15 15:55:21,2,0
找开源的gui,2022-07-13 05:17:52,0,0
这个更多是用来做批量工作的，个人做视频没必要，都是给视频网站做后台服务支持的,2022-07-11 17:44:10,10,0
这个不是用来做视频的“创意工具”，主要是视频应用的“开发工具”,2022-07-11 23:42:58,6,0
这是开发人员用的,2022-07-13 07:10:16,5,0
