评论,时间,点赞数,标签
太强了，学python的小白感觉像在看天书,2022-07-11 20:33:57,5,0
bgm满分啊,2022-07-11 10:20:23,4,0
你好像很怕我学会嘛[doge],2022-07-10 10:22:47,5,0
等上司关注岂不是要头套黑丝[doge],2022-07-09 13:07:13,5,0
[辣眼睛],2022-07-09 06:13:19,4,0
来啦来啦,2022-07-09 04:14:54,4,0
每早五点，不见不散[热词系列_吹爆],2022-07-09 04:11:21,4,0
高中生一直刷到，我一脸懵[思考],2022-07-09 23:08:10,5,0
不懂就问，UP说的坚持31天是指仰卧起坐吗[思考],2022-08-04 04:16:34,2,0
"楼主好！   过啦！
楼主，我有个问题。    过啦！
PHP语言咋样，",2022-07-31 02:48:36,2,0
"少林功夫好啊～真滴好～
少林功夫棒啊～真滴棒～",2022-07-29 10:00:16,2,0
UP主，我是新手，基础的东西学了一些了，想找一些题目做，但是力扣上的vector<int>和nums.size()之类的东西具体是什么，怎么用，mums.size()能不能参与运算等等很多东西都不是很清楚，能不能讲讲啊[大哭],2022-07-22 23:43:19,2,0
看完后脑子里都是过啦~过啦~,2022-07-22 14:39:57,2,0
看您的算法讲解，太爽啦！,2022-07-19 12:58:37,2,0
"我开学大二，现在有个疑问。
目前已经学了c和c++，开学还要继续学java，然后目前的疑惑就是不知道该深入哪个语言。前辈们有什么建议吗？我比较喜欢c++，但是据说java比较容易就业。我个人不是985高材生，没有那么厉害的数学能力，就是普通一本，未来想做的工作，也是大众类的，所以不必推荐那些极少数人的就业方向。",2022-07-14 02:29:04,4,0
有点像加钱哥[doge],2022-07-11 15:40:22,4,0
夜深人静的时候刷到了这个视频的我直接化身魔怔人看个三天三夜沉迷视频的节奏和风格不能自拔,2022-07-11 14:50:14,4,0
第一眼看成了英雄联盟结构[辣眼睛],2022-07-10 20:50:12,2,0
这未免也太nb了,2022-07-10 18:10:49,4,0
就凭你这么有意思，你现在是我的特别关心[tv_doge],2022-07-10 14:50:04,2,0
习惯就好了,2022-07-11 23:33:45,1,0
太真实了……,2022-07-10 22:34:31,1,0
已经关注了,2022-07-09 13:11:04,2,0
命运在召唤,2022-07-09 23:20:17,2,0
答对了你,2022-08-04 04:34:02,2,0
我的回答是，学C/C++ [妙啊],2022-07-31 02:50:24,1,0
有感觉了,2022-07-31 02:50:45,0,0
今天中午发视频讲这些,2022-07-23 00:11:05,1,0
回复 @英雄哪里出来 :谢谢UP[打call],2022-07-23 06:32:41,0,0
过~错辣！,2022-07-22 14:42:26,1,0
[doge],2022-07-19 14:44:27,1,0
深度钻研一门语言，不必纠结就业，把能力提升上去，自然会有一堆猎头来找你,2022-07-14 22:43:18,2,0
回复 @我爱学习233233 :okok,2022-07-19 10:35:27,0,0
回复 @Andygatesbuffet :喜欢哪个就钻研哪个，技术钻研到位了，哪个都不愁温饱,2022-07-19 05:20:44,0,0
[妙啊],2022-07-11 23:34:11,1,0
魔怔人 哈哈哈,2022-07-11 23:34:21,1,0
哈哈哈,2022-07-10 22:32:32,1,0
[doge],2022-07-10 22:32:41,1,0
难道不是 特别关注 嘛,2022-07-10 22:33:15,1,0
夜深人静写算法，一个不接任何广告的算法公众号[doge]，让天下没有难学的算法！,2022-07-20 00:18:40,17,0
回复 @英雄哪里出来 :CSDN那个专栏是你的嘛[笑哭],2022-07-23 08:25:05,3,0
up主更适合闯江湖[妙啊],2022-07-27 09:25:06,2,0
夜深人静写算法，一个不接任何广告的算法公众号[doge]，让天下没有难学的算法！,2022-07-20 00:18:40,17,0
回复 @英雄哪里出来 :CSDN那个专栏是你的嘛[笑哭],2022-07-23 08:25:05,3,0
up主更适合闯江湖[妙啊],2022-07-27 09:25:06,2,0
