评论,时间,点赞数,标签
有没有人给我推荐一个可以学科技的网站啊，找了好久都是几年前的教程不仅不全而且都过时了，想找一个能学科技的网站。学会了免费分享给大伙[大哭],2022-10-05 08:37:11,4,0
如果猜对了内存 且单机游戏道具生效  但我写的程序是修改变量值之前 先取本地这个值(也就是存档) 对比是否对等  不对就是作弊 对就修改变量并加密保存此值本地  这行嘛[doge],2022-10-05 07:33:50,4,0
我昨天正搞着cheat engine 结果今天就给我退这个视频，大数据实在是太恐怖了[脱单doge][脱单doge][滑稽],2022-10-05 00:50:34,2,0
我记得之前看过，用visual studio去监视内存，比如“子弹数量”是30，就去找所有的30，然后打一发子弹，再从刚才的30的地址里，筛出所有29的，多来几次，很快就能定位到内存位置,2022-10-04 23:00:25,2,0
那为什么内存地址不能动态变，确实一个固定地址呢？,2022-10-04 15:24:29,2,0
看标题莫名想到memset[doge],2022-10-04 15:15:22,2,0
以前用的是金山游侠[doge]暴露年龄了,2022-10-04 15:08:45,4,0
FPE YYDS,2022-10-04 14:25:42,2,0
猜：假设道具当前值为9，找到内存里所有值为9的地址，回到游戏用掉一个道具，再在上述地址里找到所有值为8的地址，如此反复，直到剩那么一两个，再改一下试试就行了。,2022-10-04 13:57:57,4,0
这不是二十年前用的金山游戏修改器嘛，先搜索一个数值，出来一些地址，然后游戏里这个数值变更以后再缩小范围,2022-10-04 13:36:04,2,0
我想要账户余额修改器,2022-10-04 12:39:16,4,0
我默默拿出了造梦西游3[doge],2022-10-04 12:11:12,2,0
会一点点CE[脱单doge],2022-10-04 12:10:38,2,0
终于更新了[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加],2022-10-04 12:08:32,4,0
外挂基础,2022-10-04 12:01:18,4,0
[doge]ce,2022-10-04 12:01:01,2,0
最近我正研究这些东西呢，迷糊老师就出这种视频了，三连了[打call],2022-10-04 11:59:35,4,0
八门神器[doge],2022-10-04 16:34:56,4,0
终于更新了,2022-10-04 11:55:21,3,0
有的数据有壳，改不了,2022-10-14 13:14:42,4,0
现在学会了吗？,2023-01-01 17:52:25,0,0
吾爱破解,2022-10-28 11:03:41,0,0
mooc中国大学和清华的学堂在线[doge],2022-10-08 03:52:24,0,0
hook对比代码，始终返回真,2022-10-05 15:48:07,1,0
代码注入，在回写那一步动手脚 [doge],2022-10-20 07:11:25,0,0
道高一尺，魔高一丈[脱单doge]。作弊与反作弊技术永远是在对抗中螺旋上升的。,2022-10-06 13:39:44,0,0
我玩ce已经好几个星期了，这才给我推视频，大数据反应太慢了。[doge],2022-10-05 11:45:48,1,0
幸存者偏差吧,2022-10-05 01:10:20,1,0
我弃坑半年才刷到（,2022-12-30 09:15:12,0,0
现在游戏的地址都不是固定的，你用这种方法找到的地址，下一次就用不了了，不想每次都重新搜索的话，还得用指针。,2022-10-05 00:47:36,2,0
回复 @LDxy0 :指针,2022-12-27 03:33:03,0,0
回复 @LDxy0 : 因为计算机就是变地址的，自己放哪自己能忘？所以自然地址就知道在哪啦[脱单doge],2022-10-20 10:32:46,0,0
可以啊，看你上面的评论。只不过大部分都不这么干,2022-10-04 17:22:34,1,0
还有人记得fpe浏览器啊,2022-10-04 16:04:35,0,0
回复 @赴约-T :有些游戏离谱，用数值的二倍来表示。如果是9得找18[热],2022-10-05 15:00:52,1,0
回复 @赴约-T : 还有全字符串储存的,2022-10-06 04:40:57,0,0
回复 @赤色火狐 :[吃瓜]这没见过，挺离谱的。,2022-10-06 04:05:45,0,0
就算是能改的话也只能本地生效，因为数据都在服务器上。要是改了真能用的话那也挺刑的[doge],2022-10-04 13:28:42,5,0
是不是支付宝破解版,2022-10-04 18:53:03,1,0
回复 @请输入内容404 :你说的这些我当然知道,2022-10-04 16:53:04,0,0
那个不会用,2022-10-20 06:53:45,0,0
有壳先脱壳,2022-10-28 11:04:41,0,0
回复 @烦人的名字呵 :就是加密的,2022-10-23 00:10:09,0,0
什么壳？,2022-10-20 06:52:43,0,0
