评论,时间,点赞数,标签
视频做的好,2022-11-26 13:33:53,0,0
不知道对嵌入式的学习帮助大不大[星星眼],2022-11-26 13:29:37,0,0
卧槽，牛逼，牛逼！！！,2022-11-26 03:38:49,0,0
visual c++6.0可以吗,2022-11-25 07:53:43,0,0
看了能过二级考试吗，还有九天好慌张[抠鼻][抠鼻],2022-11-24 03:04:15,1,0
有没有相关文档,2022-11-22 08:36:26,0,0
谁能告诉我各个语言的作用是什么？什么语言适合什么样人,2022-11-22 06:36:00,0,0
拜托拜托保佑稳过,2022-11-21 07:51:51,0,0
up主会出就多出点，做的太好了,2022-11-21 07:24:12,0,0
很棒！准备持续看下去啦,2022-11-21 07:14:36,0,0
请收下我的膝盖，C语言变得有趣了,2022-11-21 07:15:29,0,0
谢谢大佬！！！,2022-11-21 07:13:02,0,0
补考有希望了啊,2022-11-21 06:54:34,0,0
比我学校编程老师讲的好多了，学校老师什么都不解释就自己打一遍给我们看就直接让我们做题,2022-11-21 06:53:25,0,0
刚搞完51单片机流水灯，明天看这个来，三连利,2022-11-21 04:28:19,0,0
不错不错，讲的不错,2022-11-21 04:26:17,0,0
看了视频我都想学做视频了,2022-11-21 04:23:16,0,0
动画用什么做的呀,2022-11-21 04:20:15,0,0
考研可以用吗,2022-11-21 04:16:15,0,0
真好阿[笑哭],2022-11-20 02:07:27,2,0
谢谢[脱单doge]课也讲的好,2022-11-27 00:18:17,0,0
可以的，嵌入式基础是c语言,2022-11-27 00:18:32,0,0
[胜利][胜利][胜利],2022-11-27 00:18:38,0,0
加油，可以的,2022-11-24 04:13:31,1,0
[脱单doge][脱单doge],2022-11-21 01:19:52,1,0
