评论,时间,点赞数,标签
这才是真大佬，现在的国产剧都不知道怎么吐槽了，请专业的人咨询一下会怎样啊，为了突出爱情，一点专业性都不要了吗，最后，up主的源码能给康康吗[doge],2022-11-07 12:10:09,260,0
我说，最近这么多人来问我这个东西怎么画，原来如此,2022-11-07 16:25:54,63,0
"其实现在细分赛道，有个专门的东西叫【职场综艺】，观众也不傻，没人会把偶像剧当真。
所以骂是一回事，看又是一回事。如果你们知道过去几年国产偶像剧都是什么人在演，就知道观众为啥觉得这一部好歹能看了。
中年人演大学生，普通颜值演大帅哥，没啥身材露肌肉，双目无神演深情，床戏拍得像强jian，毫无逻辑的感情线…这些问题对偶像剧来说，比代码这种专业性的问题严重太多了……",2022-11-08 03:59:50,226,0
目测一大堆程序员给女朋友科普被女朋友要求做作业[doge],2022-11-07 11:32:14,83,0
"让我想起了前段时间看的一个说法，即：文艺作品必须首先是假的，然后才是真的。
比如一部奇幻作品，因为没人知道真正的魔法是什么样的，所以读者都可以轻易越过这个门槛，承认作品的虚构性，从而沉浸到叙事中
但是如果是一部现实题材的作品，例如程序员，那么想让人认可它的虚假就很困难，因为现实中有大量从业者，互联网上也有充分的资料，读者会认为这与现实相差太大以至于非常愚蠢，从而很难首先去认可这层虚构，也就更不能接受建立在这种虚构上的剧情
这可能也就是为何写实作品要比奇幻架空更难创作的原因",2022-11-08 03:32:33,283,0
想起星际穿越别人请了个获得诺贝尔物理学奖的物理学家来当科学顾问，这部剧连个请个程序员的钱都不愿意花，不说程序员，哪怕请个学过一点c语言的大学生都不会这样,2022-11-09 01:24:36,67,0
"我的看法是，不如
$import ‘stdoi.h’
void mian(): 
{
    println(hellow, word!); 
    retturn
};
[脱单doge][脱单doge][脱单doge][哦呼][哦呼][哦呼]",2022-11-08 06:36:55,141,0
他这个代码不就是直接网上下载的吗，还专门删了‘#’号，笑死我啦，哈哈哈哈,2022-11-09 08:42:48,48,0
我的朋友 闹着要这个心 我说他这是ae画的 但是还是去网上扒了个html 改了下参数发给她 女孩子就很开心 她们才不管一不一样到底怎么实现的 她们确实只要个 态度,2022-11-09 03:04:39,222,0
我和她解释电视剧里那个不可能是用c语言写的[微笑][微笑][微笑],2022-11-08 00:26:09,48,0
c语言期中考试考个冒泡排序或者仨数比大小都撑死了。我们确实考过画爱心不过不是这种动态的，我是打了几十行printf（*），手动画的哈哈哈哈哈哈哈,2022-11-08 01:59:42,127,0
