评论,时间,点赞数,标签
"[吃瓜]这   电子设备 

那 也不可能防得了电磁脉冲吧",2022-10-29 04:22:48,11,0
脚砍了再接上,2022-10-29 03:39:52,8,0
除了束带和电击，手机别的功能手机几乎都能实现,2022-10-28 21:51:13,3,0
小时候幻想过一种外观漂亮的脚链，但是脚链是有定位，而且脚链很结实，很不容易打开，砸开，,2022-10-28 20:04:25,9,0
大功率emp行不行，真想跑的大佬能被这种东西限制吗,2022-10-28 17:40:43,7,0
把脚剁了就自由了,2022-10-28 17:06:56,1,0
还以为会像紧箍咒一样缩紧呢,2022-10-28 16:48:25,2,0
直接把脚锯了[doge],2022-10-28 16:20:40,8,0
其实就是个定位装置而已,2022-10-28 15:41:09,4,0
把脚跺了,2022-10-28 13:48:53,1,0
那我要是把脚砍了呢[doge],2022-10-28 13:43:30,1,0
截肢可以吗,2022-10-28 13:31:24,1,0
这种就是一个信号传输，只要干扰器，不过一般人不会，只要屏蔽这个范围，再藏起来,2022-10-28 13:16:24,18,0
直接把腿锯掉就行了[doge],2022-10-28 13:11:15,1,0
腿锯了能跑吗？[doge],2022-10-28 13:11:27,2,0
什么煞费苦心，不就是通知警察罢了,2022-10-28 11:44:30,6,0
直接到屏蔽室里拆就可以了。,2022-10-28 09:07:11,1,0
直接把脚踝切掉 [doge],2022-10-28 02:13:34,6,0
哪里痛苦了？,2022-11-02 10:29:58,2,0
我还以为能电击或者爆炸呢,2022-10-28 14:22:25,2,0
你猜那么大的能量对人有没有伤害,2022-10-29 07:11:16,2,0
只要他们发现信号有干扰或者直接没有信号的时候  他们直接会出现,2022-10-29 08:49:50,1,0
回复 @扶柳若风 :关键是也可以弄成有信号的，改造WIFI就行。,2022-11-01 16:02:10,0,0
脚被砍了就基本已经无法行走了,2022-10-29 06:00:00,0,0
难得不是脱离定位。难的是在警方得知脱离后，逃出国境,2022-10-29 08:41:58,1,0
里面加一个监视脉搏的功能就能防。,2022-10-29 07:45:56,0,0
你觉得华为是做什么的？信号持续传输，一旦屏蔽就报警了。藏不起来。,2022-10-29 09:26:05,2,0
额，包个锡纸啥的？,2022-10-30 08:59:14,1,0
回复 @Tomokosophon :我记得在电梯里手机瞬间变成2g，还不满格，定位瞬间瘫痪[doge],2022-11-18 07:29:35,0,0
什么金狮子？,2022-10-28 09:45:59,0,0
